onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.71365079365;0.150929705215;4;2;0;4;2;0.392766439909;"""4/4""";50;1;1;-1;NC;I1;lick
4.89215419501;0.148027210884;4;2;1;1;1;0.406825396825;"""4/4""";52;1;0;1;C;A1;lick
5.12;0.127709750567;4;2;1;1;2;0.406825396825;"""4/4""";55;1;0;1;C;A1;lick
5.30285714286;0.111746031746;4;2;1;2;1;0.413537414966;"""4/4""";57;1;0;1;C;A1;lick
5.50893424036;0.470204081633;4;2;1;2;2;0.413537414966;"""4/4""";60;1;0;1;C;A1;lick
6.87310657596;0.065306122449;4;4;2;2;1;0.416553287982;"""4/4""";62;2;1;1;F;A1;lick
6.94857142857;0.12335600907;4;4;2;2;2;0.416553287982;"""4/4""";64;2;0;1;F;A1;lick
7.15900226757;0.0783673469388;4;4;2;2;4;0.416553287982;"""4/4""";63;2;0;1;F;A1;lick
7.2547845805;0.13641723356;4;3;2;3;1;0.405691609977;"""4/4""";64;2;0;1;F;A1;lick
7.53487528345;0.156734693878;4;3;2;3;3;0.405691609977;"""4/4""";60;2;0;1;F;A1;lick
7.71482993197;0.185759637188;4;2;2;4;1;0.405918367347;"""4/4""";57;2;0;1;F;A1;lick
7.96299319728;0.146575963719;4;2;2;4;2;0.405918367347;"""4/4""";51;2;0;1;F;A1;lick
8.12553287982;0.143673469388;4;1;3;1;1;0.403446712018;"""4/4""";52;2;0;1;C;A1;lick
10.8872562358;0.0522448979592;4;6;4;4;1;0.41433106576;"""4/4""";63;3;1;1;C;A1;void->lick
10.9627210884;0.0972335600907;4;6;4;4;2;0.41433106576;"""4/4""";64;3;0;1;C;A1;void->lick
11.1557369615;0.0638548752834;4;6;4;4;5;0.41433106576;"""4/4""";63;3;0;1;C;A1;void->lick
11.2210430839;0.101587301587;4;6;4;4;6;0.41433106576;"""4/4""";64;3;0;1;C;A1;void->lick
11.5170975057;0.232199546485;4;2;5;1;2;0.378458049887;"""4/4""";64;3;0;1;F;A1;void->lick
11.906031746;0.185759637188;4;2;5;2;2;0.396077097506;"""4/4""";64;3;0;1;F;A1;void->lick
12.1353287982;0.0957823129252;4;1;5;3;1;0.405782312925;"""4/4""";60;3;0;1;F;A1;void->lick
12.8857142857;0.0785714285714;4;6;6;1;1;0.415396825397;"""4/4""";63;4;1;1;F;A1;#3lick
12.9755102041;0.0969387755102;4;6;6;1;2;0.415396825397;"""4/4""";64;4;0;1;F;A1;#3lick
13.1785714286;0.069387755102;4;6;6;1;5;0.415396825397;"""4/4""";63;4;0;1;F;A1;#3lick
13.2602040816;0.084693877551;4;6;6;1;6;0.415396825397;"""4/4""";64;4;0;1;F;A1;#3lick
13.5326530612;0.148979591837;4;2;6;2;2;0.405941043084;"""4/4""";64;4;0;1;F;A1;#3lick
13.9029478458;0.156734693878;4;2;6;3;2;0.395963718821;"""4/4""";60;4;0;1;F;A1;#3lick
14.0770975057;0.226394557823;4;2;6;4;1;0.386281179138;"""4/4""";57;4;0;1;F;A1;#3lick
14.3265306122;0.2;4;2;6;4;2;0.386281179138;"""4/4""";51;4;0;1;F;A1;#3lick
14.5448979592;0.240816326531;4;1;7;1;1;0.405510204082;"""4/4""";52;4;0;1;C;A1;#3lick
17.1040816327;0.0979591836735;4;2;8;3;2;0.388594104308;"""4/4""";60;5;1;1;C;A1;void->lick
17.2183673469;0.120408163265;4;4;8;4;1;0.387619047619;"""4/4""";62;5;0;1;C;A1;void->lick
17.5102040816;0.355102040816;4;4;8;4;4;0.387619047619;"""4/4""";62;5;0;1;C;A1;void->lick
18.0723809524;0.187210884354;4;6;9;2;2;0.405600907029;"""4/4""";59;5;0;1;G7;A1;void->lick
18.2770068027;0.103038548753;4;6;9;2;5;0.405600907029;"""4/4""";58;5;0;1;G7;A1;void->lick
18.3887528345;0.127709750567;4;6;9;2;6;0.405600907029;"""4/4""";59;5;0;1;G7;A1;void->lick
18.5890249433;0.168344671202;4;2;9;3;2;0.396077097506;"""4/4""";55;5;0;1;G7;A1;void->lick
19.1897959184;0.179954648526;4;6;9;4;6;0.405691609977;"""4/4""";60;6;1;1;G7;A1;lick_blues
19.5163718821;0.203174603175;4;4;10;1;4;0.386326530612;"""4/4""";58;6;0;1;F;A1;lick_blues
19.8472562358;0.139319727891;4;2;10;2;2;0.398072562358;"""4/4""";57;6;0;1;F;A1;lick_blues
20.0620408163;0.133514739229;4;4;10;3;1;0.414467120181;"""4/4""";55;6;0;1;F;A1;lick_blues
20.3711564626;0.188662131519;4;4;10;3;4;0.414467120181;"""4/4""";50;6;0;1;F;A1;lick_blues
20.6889795918;0.0986848072562;4;2;10;4;2;0.395827664399;"""4/4""";52;6;0;1;F;A1;lick_blues
20.8367346939;0.124807256236;4;1;11;1;1;0.40589569161;"""4/4""";48;6;0;1;C;A1;lick_blues
