onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
2.65510204082;1.08163265306;4;1;0;2;1;0.355102040816;"""4/4""";63;1;1;-1;NC;I1;lick
3.75102040816;0.124489795918;4;1;1;1;1;0.35433106576;"""4/4""";68;1;0;1;Ab;A1;lick
4.16217687075;0.16253968254;4;1;1;2;1;0.365419501134;"""4/4""";63;1;0;1;Ab;A1;lick
4.46984126984;0.174149659864;4;1;1;3;1;0.344058956916;"""4/4""";60;1;0;1;Ab;A1;lick
4.80072562358;0.139319727891;4;3;1;4;1;0.313151927438;"""4/4""";65;1;0;1;Ab;A1;lick
5.01260770975;0.133514739229;4;3;1;4;3;0.313151927438;"""4/4""";63;1;0;1;Ab;A1;lick
5.32317460317;0.112471655329;4;2;2;1;2;0.31970521542;"""4/4""";60;1;0;1;Ab;A1;lick
5.46975056689;0.145124716553;4;1;2;2;1;0.360657596372;"""4/4""";56;1;0;1;Ab;A1;lick
5.80498866213;0.150929705215;4;1;2;3;1;0.311995464853;"""4/4""";51;1;0;1;Abo;A1;lick
6.10684807256;0.150929705215;4;2;2;4;1;0.30768707483;"""4/4""";61;1;0;1;Abo;A1;lick
6.28680272109;0.156734693878;4;2;2;4;2;0.30768707483;"""4/4""";58;1;0;1;Abo;A1;lick
7.05306122449;0.168344671202;4;4;3;3;1;0.321020408163;"""4/4""";51;2;1;1;Eb7;A1;lick
7.28453514739;0.11537414966;4;4;3;3;4;0.321020408163;"""4/4""";53;2;0;1;Eb7;A1;lick
7.56970521542;0.121904761905;4;2;3;4;2;0.337029478458;"""4/4""";54;2;0;1;Eb7;A1;lick
7.7112244898;0.140816326531;4;1;4;1;1;0.319501133787;"""4/4""";55;2;0;1;Eb7;A1;lick
8.03367346939;0.148979591837;4;3;4;2;1;0.314693877551;"""4/4""";61;2;0;1;Eb7;A1;lick
8.23727891156;0.150929705215;4;3;4;2;3;0.314693877551;"""4/4""";60;2;0;1;Eb7;A1;lick
8.55714285714;0.133514739229;4;2;4;3;2;0.31798185941;"""4/4""";58;2;0;1;Eb7;A1;lick
9.21734693878;0.0986848072562;4;2;5;1;2;0.317120181406;"""4/4""";63;3;1;1;Ab;A1;rhythm_mr
9.31700680272;0.104489795918;4;4;5;2;1;0.307188208617;"""4/4""";60;3;0;1;Ab;A1;rhythm_mr
9.55501133787;0.087074829932;4;4;5;2;4;0.307188208617;"""4/4""";56;3;0;1;Ab;A1;rhythm_mr
9.65612244898;0.107142857143;4;3;5;3;1;0.320204081633;"""4/4""";63;3;0;1;Ab;A1;rhythm_mr
9.87040816327;0.087074829932;4;3;5;3;3;0.320204081633;"""4/4""";60;3;0;1;Ab;A1;rhythm_mr
10.2030612245;0.0734693877551;4;4;5;4;4;0.329614512472;"""4/4""";63;3;0;1;Ab;A1;rhythm_mr
10.2980498866;0.0928798185941;4;4;6;1;1;0.308390022676;"""4/4""";60;3;0;1;Ab;A1;rhythm_mr
10.5302494331;0.0565986394558;4;4;6;1;4;0.308390022676;"""4/4""";56;3;0;1;Ab;A1;rhythm_mr
10.6325623583;0.0921541950113;4;2;6;2;1;0.323900226757;"""4/4""";63;3;0;1;Ab;A1;rhythm_mr
10.8321088435;0.0928798185941;4;2;6;2;2;0.323900226757;"""4/4""";60;3;0;1;Ab;A1;rhythm_mr
10.940952381;0.0624036281179;4;1;6;3;1;0.302335600907;"""4/4""";56;3;0;1;Ab;A1;rhythm_mr
11.5693424036;0.139319727891;4;1;7;1;1;0.336349206349;"""4/4""";65;4;1;1;Bb7;A1;theme
12.0729251701;0.11029478458;4;2;7;2;2;0.332199546485;"""4/4""";66;4;0;1;Bb7;A1;theme
12.8420861678;0.11029478458;4;4;7;4;4;0.332789115646;"""4/4""";67;4;0;1;Bb7;A1;theme
13.387755102;0.757142857143;4;2;8;2;2;0.298276643991;"""4/4""";63;4;0;1;Eb7;A1;#4lick
14.1693877551;0.126530612245;4;1;9;1;1;0.322335600907;"""4/4""";68;4;0;1;Ab;A1;#4lick
14.4863492063;0.14947845805;4;1;9;2;1;0.329682539683;"""4/4""";63;4;0;1;Ab;A1;#4lick
14.8012698413;0.16253968254;4;1;9;3;1;0.322970521542;"""4/4""";60;4;0;1;Ab;A1;#4lick
15.1278004535;0.139319727891;4;2;9;4;1;0.309546485261;"""4/4""";65;4;0;1;Ab;A1;#4lick
15.3121088435;0.116099773243;4;2;9;4;2;0.309546485261;"""4/4""";63;4;0;1;Ab;A1;#4lick
15.6183219955;0.0986848072562;4;2;10;1;2;0.298594104308;"""4/4""";60;4;0;1;Ab;A1;#4lick
15.7431292517;0.185759637188;4;1;10;2;1;0.327188208617;"""4/4""";56;4;0;1;Ab;A1;#4lick
16.0769160998;0.338140589569;4;1;10;3;1;0.319047619048;"""4/4""";51;4;0;1;Ab;A1;#4lick
16.4585941043;0.148027210884;4;4;10;4;2;0.330158730159;"""4/4""";52;4;0;1;Ab;A1;#4lick
16.631292517;0.208979591837;4;4;10;4;4;0.330158730159;"""4/4""";53;4;0;1;Ab;A1;#4lick
17.3757823129;0.336689342404;4;1;11;3;1;0.321519274376;"""4/4""";61;4;0;1;F7;A1;#4lick
18.1754195011;0.11029478458;4;2;12;1;2;0.312789115646;"""4/4""";51;5;1;1;Bb-;A1;lick
18.3437641723;0.156734693878;4;2;12;2;1;0.304693877551;"""4/4""";56;5;0;1;Bb-;A1;lick
18.5280725624;0.156734693878;4;2;12;2;2;0.304693877551;"""4/4""";60;5;0;1;Bb-;A1;lick
18.9648979592;0.208979591837;4;1;12;4;1;0.324444444444;"""4/4""";63;5;0;1;Bb-;A1;lick
19.2493424036;0.214784580499;4;1;13;1;1;0.33589569161;"""4/4""";62;5;0;1;Bb7;A1;lick
19.9270748299;0.433922902494;4;1;13;3;1;0.322789115646;"""4/4""";61;5;0;1;Eb7;A1;lick
20.3842176871;0.161088435374;4;2;13;4;2;0.306893424036;"""4/4""";60;5;0;1;Eb7;A1;lick
20.5699773243;0.198820861678;4;1;14;1;1;0.331678004535;"""4/4""";60;5;0;1;Ab;A1;lick
