onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.00612244898;0.138775510204;4;4;1;1;1;0.467800453515;"""4/4""";67;1;1;1;G7;A1;lick
3.34693877551;0.110204081633;4;4;1;1;4;0.467800453515;"""4/4""";62;1;0;1;G7;A1;lick
3.47142857143;0.15306122449;4;2;1;2;1;0.449841269841;"""4/4""";59;1;0;1;G7;A1;lick
3.74421768707;0.133514739229;4;2;1;2;2;0.449841269841;"""4/4""";55;1;0;1;G7;A1;lick
4.86326530612;0.116099773243;4;4;2;1;1;0.453287981859;"""4/4""";67;2;1;1;C7;A1;#-lick
5.0;0.0775510204082;4;4;2;1;2;0.453287981859;"""4/4""";66;2;0;1;C7;A1;#-lick
5.22346938776;0.069387755102;4;4;2;1;4;0.453287981859;"""4/4""";62;2;0;1;C7;A1;#-lick
5.32142857143;0.0918367346939;4;2;2;2;1;0.487959183673;"""4/4""";59;2;0;1;C7;A1;#-lick
5.60761904762;0.220589569161;4;2;2;2;2;0.487959183673;"""4/4""";55;2;0;1;C7;A1;#-lick
6.69170068027;0.179954648526;4;4;3;1;1;0.468367346939;"""4/4""";67;3;1;1;G7/D;A1;#lick
6.88616780045;0.0957823129252;4;4;3;1;3;0.468367346939;"""4/4""";66;3;0;1;G7/D;A1;#lick
7.06031746032;0.255419501134;4;4;3;1;4;0.468367346939;"""4/4""";62;3;0;1;G7/D;A1;#lick
7.64952380952;0.129160997732;4;4;3;3;1;0.472426303855;"""4/4""";65;3;0;1;G7/D;A1;#lick
7.99782312925;0.0856235827664;4;4;3;3;4;0.472426303855;"""4/4""";62;3;0;1;G7/D;A1;#lick
8.09505668934;0.14947845805;4;1;3;4;1;0.458299319728;"""4/4""";59;3;0;1;G7/D;A1;#lick
8.56671201814;0.233650793651;4;4;4;1;1;0.456462585034;"""4/4""";67;3;0;1;G7/D;A1;#lick
8.80616780045;0.0725623582766;4;4;4;1;3;0.456462585034;"""4/4""";64;3;0;1;G7/D;A1;#lick
8.90049886621;0.114285714286;4;4;4;1;4;0.456462585034;"""4/4""";62;3;0;1;G7/D;A1;#lick
9.03256235828;0.122448979592;4;2;4;2;1;0.454988662132;"""4/4""";59;3;0;1;G7/D;A1;#lick
9.30975056689;0.161088435374;4;2;4;2;2;0.454988662132;"""4/4""";55;3;0;1;G7/D;A1;#lick
10.4408163265;0.0734693877551;4;6;5;1;2;0.486485260771;"""4/4""";58;4;1;1;C7;A1;lick
10.5265306122;0.159183673469;4;6;5;1;3;0.486485260771;"""4/4""";59;4;0;1;C7;A1;lick
10.7306122449;0.0673469387755;4;6;5;1;5;0.486485260771;"""4/4""";58;4;0;1;C7;A1;lick
10.8132653061;0.211224489796;4;6;5;1;6;0.486485260771;"""4/4""";59;4;0;1;C7;A1;lick
11.0357142857;0.126530612245;4;3;5;2;2;0.463854875283;"""4/4""";58;4;0;1;C7;A1;lick
11.1795918367;0.338775510204;4;3;5;2;3;0.463854875283;"""4/4""";55;4;0;1;C7;A1;lick
12.2816326531;0.0551020408163;4;4;6;1;1;0.469387755102;"""4/4""";58;5;1;1;C7;A1;#lick
12.3418367347;0.231632653061;4;4;6;1;2;0.469387755102;"""4/4""";59;5;0;1;C7;A1;#lick
12.5948979592;0.141836734694;4;4;6;1;4;0.469387755102;"""4/4""";58;5;0;1;C7;A1;#lick
