onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
9.33673469388;0.179591836735;4;3;-12;2;1;0.29387755102;"""4/4""";67;1;1;-1;C7;I1;line_w
9.5387755102;0.122448979592;4;3;-12;2;3;0.29387755102;"""4/4""";65;1;0;-1;C7;I1;line_w
9.68775510204;0.124489795918;4;2;-12;3;1;0.30612244898;"""4/4""";64;1;0;-1;C7;I1;line_w
9.84081632653;0.112244897959;4;2;-12;3;2;0.30612244898;"""4/4""";62;1;0;-1;C7;I1;line_w
10.1428571429;0.10612244898;4;2;-12;4;2;0.28380952381;"""4/4""";64;1;0;-1;C7;I1;line_w
10.287755102;0.157142857143;4;4;-11;1;2;0.275215419501;"""4/4""";67;1;0;-1;F-7;I1;line_w
10.4632653061;0.0755102040816;4;4;-11;1;4;0.275215419501;"""4/4""";65;1;0;-1;F-7;I1;line_w
10.5653061224;0.148979591837;4;4;-11;2;2;0.305170068027;"""4/4""";68;1;0;-1;F-7;I1;line_w
10.7591836735;0.114285714286;4;4;-11;2;4;0.305170068027;"""4/4""";70;1;0;-1;F-7;I1;line_w
10.8857142857;0.142857142857;4;4;-11;3;2;0.322040816327;"""4/4""";72;1;0;-1;F-7;I1;line_w
11.056122449;0.0979591836735;4;4;-11;3;4;0.322040816327;"""4/4""";70;1;0;-1;F-7;I1;line_w
11.1857142857;0.161224489796;4;1;-11;4;1;0.312630385488;"""4/4""";68;1;0;-1;F-7;I1;line_w
11.5397959184;0.151020408163;4;4;-10;1;2;0.323310657596;"""4/4""";70;1;0;-1;Bb-7;I1;line_w
11.7081632653;0.0928571428571;4;4;-10;1;4;0.323310657596;"""4/4""";69;1;0;-1;Bb-7;I1;line_w
11.8153061224;0.140816326531;4;4;-10;2;2;0.295056689342;"""4/4""";70;1;0;-1;Bb-7;I1;line_w
11.9867346939;0.159183673469;4;4;-10;2;4;0.295056689342;"""4/4""";72;1;0;-1;Bb-7;I1;line_w
12.1632653061;0.144897959184;4;2;-10;3;2;0.303673469388;"""4/4""";73;1;0;-1;Bb-7;I1;line_w
12.3408163265;0.0795918367347;4;3;-10;4;1;0.306099773243;"""4/4""";65;1;0;-1;Bb-7;I1;line_w
12.4387755102;0.277551020408;4;3;-10;4;2;0.306099773243;"""4/4""";68;1;0;-1;Bb-7;I1;line_w
12.7680725624;0.150929705215;4;2;-9;1;2;0.312517006803;"""4/4""";72;1;0;-1;Eb7;I1;line_w
12.9552834467;0.0856235827664;4;4;-9;2;1;0.313514739229;"""4/4""";70;1;0;-1;Eb7;I1;line_w
