onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.65306122449;0.0734693877551;4;4;0;4;4;0.267868480726;"""4/4""";64;1;1;-1;NC;I1;lick
4.7387755102;0.114285714286;4;2;1;1;1;0.268571428571;"""4/4""";67;1;0;1;Gj7;A1;lick
4.90408163265;0.120408163265;4;2;1;1;2;0.268571428571;"""4/4""";67;1;0;1;Gj7;A1;lick
5.18979591837;0.0938775510204;4;2;1;2;2;0.288526077098;"""4/4""";67;1;0;1;Gj7;A1;lick
5.29795918367;0.163265306122;4;2;1;3;1;0.287142857143;"""4/4""";69;1;0;1;Gj7;A1;lick
5.47142857143;0.108163265306;4;2;1;3;2;0.287142857143;"""4/4""";67;1;0;1;Gj7;A1;lick
5.61224489796;0.114285714286;4;2;1;4;1;0.288163265306;"""4/4""";64;1;0;1;Gj7;A1;lick
5.73673469388;0.389795918367;4;2;1;4;2;0.288163265306;"""4/4""";67;1;0;1;Gj7;A1;lick
6.63945578231;0.0493424036281;4;4;2;3;4;0.278390022676;"""4/4""";64;2;1;1;G6;A1;line_a
6.70185941043;0.104489795918;4;4;2;4;1;0.278344671202;"""4/4""";67;2;0;1;G6;A1;line_a
6.81650793651;0.0711111111111;4;4;2;4;3;0.278344671202;"""4/4""";70;2;0;1;G6;A1;line_a
6.89922902494;0.0856235827664;4;4;2;4;4;0.278344671202;"""4/4""";72;2;0;1;G6;A1;line_a
6.99646258503;0.252517006803;4;1;3;1;1;0.287551020408;"""4/4""";74;2;0;1;Gj7;A1;line_a
8.2822675737;0.104489795918;4;2;4;1;2;0.26306122449;"""4/4""";67;3;1;1;G6;A1;lick
8.3998185941;0.150929705215;4;4;4;2;2;0.268367346939;"""4/4""";72;3;0;1;G6;A1;lick
8.55945578231;0.105941043084;4;4;4;2;4;0.268367346939;"""4/4""";71;3;0;1;G6;A1;lick
8.68281179138;0.155283446712;4;4;4;3;2;0.277732426304;"""4/4""";69;3;0;1;G6;A1;lick
8.84680272109;0.107392290249;4;4;4;3;4;0.277732426304;"""4/4""";70;3;0;1;G6;A1;lick
8.96870748299;0.127709750567;4;4;4;4;2;0.278571428571;"""4/4""";71;3;0;1;G6;A1;lick
