onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.18095238095;0.145124716553;4;2;1;2;2;0.411451247166;"""4/4""";70;1;1;1;Eb-79;A1;lick
6.71746031746;0.0812698412698;4;2;2;2;1;0.44179138322;"""4/4""";69;1;0;1;Eb-79;A1;lick
6.90285714286;0.104489795918;4;2;2;2;2;0.44179138322;"""4/4""";70;1;0;1;Eb-79;A1;lick
7.11836734694;0.107755102041;4;3;2;3;1;0.446213151927;"""4/4""";71;1;0;1;Eb-79;A1;lick
7.25551020408;0.0832653061224;4;3;2;3;2;0.446213151927;"""4/4""";70;1;0;1;Eb-79;A1;lick
7.3387755102;0.150204081633;4;3;2;3;3;0.446213151927;"""4/4""";71;1;0;1;Eb-79;A1;lick
7.52653061224;0.189387755102;4;2;2;4;1;0.44179138322;"""4/4""";70;1;0;1;Eb-79;A1;lick
7.73804988662;0.119002267574;4;2;2;4;2;0.44179138322;"""4/4""";67;1;0;1;Eb-79;A1;lick
7.98984126984;0.124444444444;4;3;3;1;1;0.431814058957;"""4/4""";69;1;0;1;F7;A1;lick
8.11428571429;0.133514739229;4;3;3;1;2;0.431814058957;"""4/4""";68;1;0;1;F7;A1;lick
8.27142857143;0.131632653061;4;3;3;1;3;0.431814058957;"""4/4""";69;1;0;1;F7;A1;lick
8.45204081633;0.0897959183673;4;1;3;2;1;0.42768707483;"""4/4""";68;1;0;1;F7;A1;lick
10.0716553288;0.255419501134;4;4;4;1;4;0.466780045351;"""4/4""";67;2;1;1;F7;A1;melody
10.3285260771;0.592108843537;4;2;4;2;2;0.422176870748;"""4/4""";62;2;0;1;F7;A1;melody
11.6729705215;0.0528798185941;4;2;5;1;2;0.446235827664;"""4/4""";64;2;0;1;E7;A1;melody
11.8537868481;0.580498866213;4;1;5;2;1;0.432063492063;"""4/4""";68;2;0;1;E7;A1;melody
13.5923809524;0.0841723356009;4;2;6;2;1;0.421179138322;"""4/4""";70;3;1;1;E7;A1;melody
13.8013605442;0.087074829932;4;2;6;2;2;0.421179138322;"""4/4""";71;3;0;1;E7;A1;melody
14.0843537415;0.248163265306;4;1;6;3;1;0.437414965986;"""4/4""";68;3;0;1;E7;A1;melody
14.4787301587;0.174149659864;4;2;6;4;1;0.441723356009;"""4/4""";63;3;0;1;E7;A1;melody
14.6793650794;0.188662131519;4;2;6;4;2;0.441723356009;"""4/4""";59;3;0;1;E7;A1;melody
14.8995918367;0.751020408163;4;1;7;1;1;0.42253968254;"""4/4""";58;3;0;1;Eb-79;A1;melody
