onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
0.0367346938776;0.220408163265;4;2;0;4;1;0.450068027211;"""4/4""";53;1;1;-1;NC;I1;lick
0.30612244898;0.124489795918;4;2;0;4;2;0.450068027211;"""4/4""";55;1;0;-1;NC;I1;lick
0.473469387755;0.297959183673;4;1;1;1;1;0.373310657596;"""4/4""";58;1;0;1;Bb7;A1;lick
2.52040816327;0.065306122449;4;6;2;2;3;0.386507936508;"""4/4""";52;2;1;1;Bb7;A1;#lick
2.60408163265;0.108163265306;4;6;2;2;5;0.386507936508;"""4/4""";55;2;0;1;Bb7;A1;#lick
2.7306122449;0.102040816327;4;6;2;2;6;0.386507936508;"""4/4""";58;2;0;1;Bb7;A1;#lick
2.84081632653;0.240816326531;4;6;2;3;2;0.377596371882;"""4/4""";61;2;0;1;Bb7;A1;#lick
3.10816326531;0.265306122449;4;6;2;3;6;0.377596371882;"""4/4""";62;2;0;1;Bb7;A1;#lick
3.39795918367;0.0530612244898;4;6;2;4;5;0.392494331066;"""4/4""";61;2;0;1;Bb7;A1;#lick
3.47551020408;0.0938775510204;4;6;2;4;6;0.392494331066;"""4/4""";62;2;0;1;Bb7;A1;#lick
3.58163265306;0.24693877551;4;3;3;1;1;0.407074829932;"""4/4""";58;2;0;1;Bb7;A1;#lick
3.83469387755;0.173469387755;4;3;3;1;3;0.407074829932;"""4/4""";53;2;0;1;Bb7;A1;#lick
4.08961451247;0.159637188209;4;4;3;2;2;0.406485260771;"""4/4""";49;2;0;1;Bb7;A1;#lick
4.28843537415;0.0696598639456;4;4;3;2;4;0.406485260771;"""4/4""";50;2;0;1;Bb7;A1;#lick
4.40612244898;0.212244897959;4;3;3;3;1;0.397755102041;"""4/4""";53;2;0;1;Bb7;A1;#lick
4.66530612245;0.344897959184;4;3;3;3;3;0.397755102041;"""4/4""";58;2;0;1;Bb7;A1;#lick
6.25714285714;0.0836734693878;4;4;4;3;4;0.377074829932;"""4/4""";54;3;1;1;Bb7;A1;lick
6.37755102041;0.234693877551;4;4;4;4;1;0.397074829932;"""4/4""";55;3;0;1;Bb7;A1;lick
6.67346938776;0.108163265306;4;4;4;4;4;0.397074829932;"""4/4""";58;3;0;1;Bb7;A1;lick
6.79387755102;0.236734693878;4;3;5;1;1;0.392811791383;"""4/4""";61;3;0;1;Eb7;A1;lick
7.05306122449;0.167346938776;4;3;5;1;3;0.392811791383;"""4/4""";63;3;0;1;Eb7;A1;lick
7.24317460317;0.177052154195;4;4;5;2;2;0.387188208617;"""4/4""";65;3;0;1;Eb7;A1;lick
7.43038548753;0.043537414966;4;4;5;2;4;0.387188208617;"""4/4""";66;3;0;1;Eb7;A1;lick
7.48553287982;0.0856235827664;4;4;5;3;1;0.41231292517;"""4/4""";65;3;0;1;Eb7;A1;lick
7.57841269841;0.268480725624;4;4;5;3;2;0.41231292517;"""4/4""";63;3;0;1;Eb7;A1;lick
7.86866213152;0.116099773243;4;4;5;3;4;0.41231292517;"""4/4""";58;3;0;1;Eb7;A1;lick
7.99056689342;0.262675736961;4;1;5;4;1;0.421315192744;"""4/4""";61;3;0;1;Eb7;A1;lick
8.44916099773;0.377324263039;4;1;6;1;1;0.422222222222;"""4/4""";63;3;0;1;Eb7;A1;lick
9.09693877551;0.0887755102041;4;4;6;2;4;0.377256235828;"""4/4""";63;4;1;1;Eb7;A1;lick_blues
9.19387755102;0.168367346939;4;2;6;3;1;0.402653061224;"""4/4""";64;4;0;1;Eb7;A1;lick_blues
9.38979591837;0.459183673469;4;2;6;3;2;0.402653061224;"""4/4""";65;4;0;1;Eb7;A1;lick_blues
9.86557823129;0.169795918367;4;4;6;4;4;0.42283446712;"""4/4""";63;4;0;1;Eb7;A1;lick_blues
10.0687528345;0.271383219955;4;1;7;1;1;0.402698412698;"""4/4""";61;4;0;1;Bb7;A1;lick_blues
10.3677097506;0.319274376417;4;6;7;2;1;0.387210884354;"""4/4""";62;4;0;1;Bb7;A1;lick_blues
10.7160090703;0.0943310657596;4;6;7;2;6;0.387210884354;"""4/4""";58;4;0;1;Bb7;A1;lick_blues
10.8591836735;0.34387755102;4;1;7;3;1;0.412335600907;"""4/4""";53;4;0;1;Bb7;A1;lick_blues
12.0772789116;0.220589569161;4;2;8;2;1;0.431904761905;"""4/4""";69;5;1;1;G7;A1;lick
12.3109297052;0.130612244898;4;2;8;2;2;0.431904761905;"""4/4""";65;5;0;1;G7;A1;lick
12.4618594104;0.206077097506;4;2;8;3;1;0.383174603175;"""4/4""";62;5;0;1;G7;A1;lick
12.6940589569;0.116099773243;4;2;8;3;2;0.383174603175;"""4/4""";68;5;0;1;G7;A1;lick
12.8391836735;0.278639455782;4;4;8;4;1;0.386303854875;"""4/4""";56;5;0;1;G7;A1;lick
13.1468480726;0.384580498866;4;4;8;4;4;0.386303854875;"""4/4""";55;5;0;1;G7;A1;lick
13.5517460317;0.574693877551;4;4;9;1;4;0.422131519274;"""4/4""";63;5;0;1;C-7;A1;lick
14.3142857143;0.155102040816;4;2;9;3;2;0.422199546485;"""4/4""";55;6;1;1;C-7;A1;melody
14.5010204082;0.212244897959;4;3;9;4;1;0.396054421769;"""4/4""";54;6;0;1;C-7;A1;melody
14.7704081633;0.235714285714;4;3;9;4;3;0.396054421769;"""4/4""";52;6;0;1;C-7;A1;melody
15.0214285714;0.0816326530612;4;4;10;1;3;0.412517006803;"""4/4""";53;6;0;1;F7;A1;melody
15.1418367347;0.109183673469;4;4;10;1;4;0.412517006803;"""4/4""";50;6;0;1;F7;A1;melody
15.2765306122;0.286734693878;4;4;10;2;1;0.387074829932;"""4/4""";51;6;0;1;F7;A1;melody
15.5765306122;0.109183673469;4;4;10;2;4;0.387074829932;"""4/4""";50;6;0;1;F7;A1;melody
15.712244898;0.181632653061;4;4;10;3;2;0.412448979592;"""4/4""";51;6;0;1;F7;A1;melody
15.956462585;0.06820861678;4;4;10;3;4;0.412448979592;"""4/4""";53;6;0;1;F7;A1;melody
16.026122449;0.290249433107;4;1;10;4;1;0.386394557823;"""4/4""";54;6;0;1;F7;A1;melody
16.5137414966;0.232199546485;4;4;11;1;2;0.402766439909;"""4/4""";53;6;0;1;Bb7;A1;melody
