onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.00408163265;0.183673469388;4;1;0;4;1;0.233038548753;"""4/4""";55;1;1;-1;NC;I1;lick
3.25714285714;0.461224489796;4;1;1;1;1;0.238344671202;"""4/4""";60;1;0;1;C;A1;lick
4.24925170068;0.185714285714;4;1;2;1;1;0.243537414966;"""4/4""";55;2;1;1;C;A1;#lick
4.47959183673;0.148979591837;4;3;2;2;1;0.252743764172;"""4/4""";60;2;0;1;C;A1;#lick
4.64285714286;0.0673469387755;4;3;2;2;3;0.252743764172;"""4/4""";62;2;0;1;C;A1;#lick
4.73469387755;0.0775510204082;4;4;2;3;1;0.233718820862;"""4/4""";63;2;0;1;C;A1;#lick
4.8387755102;0.0551020408163;4;4;2;3;3;0.233718820862;"""4/4""";65;2;0;1;C;A1;#lick
4.90612244898;0.065306122449;4;4;2;3;4;0.233718820862;"""4/4""";63;2;0;1;C;A1;#lick
4.99591836735;0.138775510204;4;1;2;4;1;0.248344671202;"""4/4""";62;2;0;1;C;A1;#lick
5.2883446712;0.45306122449;4;1;3;1;1;0.252517006803;"""4/4""";55;2;0;1;G7;A1;#lick
6.81650793651;0.148027210884;4;2;4;3;2;0.242607709751;"""4/4""";63;3;1;1;C;A1;melody
7.01097505669;0.190113378685;4;2;4;4;2;0.248027210884;"""4/4""";63;3;0;1;C;A1;melody
7.25623582766;0.159637188209;4;2;5;1;2;0.253764172336;"""4/4""";64;3;0;1;C;A1;melody
7.43328798186;0.16253968254;4;4;5;2;1;0.233832199546;"""4/4""";65;3;0;1;C;A1;melody
7.61904761905;0.301859410431;4;4;5;2;4;0.233832199546;"""4/4""";66;3;0;1;C;A1;melody
7.98476190476;0.0290249433107;4;4;5;4;2;0.253378684807;"""4/4""";66;3;0;1;C;A1;melody
8.02249433107;0.40925170068;4;4;5;4;3;0.253378684807;"""4/4""";67;3;0;1;C;A1;melody
