onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.57433106576;0.261224489796;4;4;1;2;1;0.600249433107;"""4/4""";69;1;1;1;Eb;A1;lick
4.87619047619;0.156734693878;4;4;1;2;3;0.600249433107;"""4/4""";70;1;0;1;Eb;A1;lick
5.0822675737;0.211882086168;4;4;1;2;4;0.600249433107;"""4/4""";75;1;0;1;Eb;A1;lick
5.50893424036;0.246712018141;4;2;1;3;2;0.630997732426;"""4/4""";69;1;0;1;Eb;A1;lick
5.78467120181;0.325079365079;4;1;1;4;1;0.62029478458;"""4/4""";70;1;0;1;Eb;A1;lick
6.40580498866;0.159637188209;4;4;2;1;1;0.580544217687;"""4/4""";60;2;1;1;Eb;A1;lick
6.57124716553;0.0928798185941;4;4;2;1;2;0.580544217687;"""4/4""";61;2;0;1;D7;A1;lick
6.68154195011;0.188662131519;4;4;2;1;3;0.580544217687;"""4/4""";63;2;0;1;D7;A1;lick
6.91083900227;0.211882086168;4;4;2;1;4;0.580544217687;"""4/4""";60;2;0;1;D7;A1;lick
7.18367346939;0.104489795918;4;4;2;2;2;0.601405895692;"""4/4""";66;2;0;1;D7;A1;lick
7.32299319728;0.159637188209;4;4;2;2;3;0.601405895692;"""4/4""";69;2;0;1;D7;A1;lick
7.60163265306;0.548571428571;4;1;2;3;1;0.635328798186;"""4/4""";74;2;0;1;D7;A1;lick
8.21405895692;0.232199546485;4;4;2;4;1;0.565419501134;"""4/4""";72;2;0;1;D7;A1;lick
8.46657596372;0.171247165533;4;4;2;4;3;0.565419501134;"""4/4""";75;2;0;1;D7;A1;lick
8.66975056689;0.104489795918;4;4;2;4;4;0.565419501134;"""4/4""";72;2;0;1;D7;A1;lick
8.79746031746;0.153832199546;4;2;3;1;1;0.595170068027;"""4/4""";68;2;0;1;Eb;A1;lick
9.11092970522;0.208979591837;4;2;3;1;2;0.595170068027;"""4/4""";70;2;0;1;Eb;A1;lick
10.0020408163;0.195918367347;4;2;3;3;1;0.610272108844;"""4/4""";67;3;1;1;Eb;A1;lick
10.2816326531;0.30612244898;4;2;3;3;2;0.610272108844;"""4/4""";68;3;0;1;Eb;A1;lick
10.6081632653;0.112244897959;4;4;3;4;1;0.610158730159;"""4/4""";65;3;0;1;Eb;A1;lick
10.8795918367;0.163265306122;4;4;3;4;3;0.610158730159;"""4/4""";67;3;0;1;Eb;A1;lick
11.0591836735;0.140816326531;4;4;3;4;4;0.610158730159;"""4/4""";68;3;0;1;Eb;A1;lick
11.2244897959;0.108163265306;4;4;4;1;1;0.575555555556;"""4/4""";64;3;0;1;C+7;A1;lick
11.3387755102;0.0979591836735;4;4;4;1;2;0.575555555556;"""4/4""";63;3;0;1;C+7;A1;lick
11.5183673469;0.183673469388;4;4;4;1;3;0.575555555556;"""4/4""";58;3;0;1;C+7;A1;lick
11.7816326531;0.175510204082;4;7;4;2;1;0.571451247166;"""4/4""";58;3;0;1;C+7;A1;lick
12.0489795918;0.0612244897959;4;7;4;2;4;0.571451247166;"""4/4""";71;3;0;1;C+7;A1;line_d
12.1183673469;0.0530612244898;4;7;4;2;5;0.571451247166;"""4/4""";70;3;0;1;C+7;A1;line_d
12.1836734694;0.0510204081633;4;7;4;2;6;0.571451247166;"""4/4""";68;3;0;1;C+7;A1;line_d
12.2653061224;0.0918367346939;4;7;4;2;7;0.571451247166;"""4/4""";66;3;0;1;C+7;A1;line_d
12.3795918367;0.0591836734694;4;6;4;3;1;0.630544217687;"""4/4""";64;3;0;1;C7;A1;line_d
12.4734693878;0.0979591836735;4;6;4;3;2;0.630544217687;"""4/4""";62;3;0;1;C7;A1;line_d
12.5857142857;0.104081632653;4;6;4;3;3;0.630544217687;"""4/4""";61;3;0;1;C7;A1;line_d
12.7081632653;0.15306122449;4;6;4;3;4;0.630544217687;"""4/4""";60;3;0;1;C7;A1;line_d
12.9979591837;0.240816326531;4;2;4;4;1;0.62;"""4/4""";59;3;0;1;C7;A1;line_d
13.2857142857;0.263265306122;4;2;4;4;2;0.62;"""4/4""";57;3;0;1;C7;A1;line_d
13.6163265306;0.295918367347;4;4;5;1;1;0.601179138322;"""4/4""";57;3;0;1;F7;A1;line_d
14.106122449;0.118367346939;4;4;5;1;4;0.601179138322;"""4/4""";57;3;0;1;F7;A1;lick
14.2857142857;0.0938775510204;4;4;5;2;1;0.615419501134;"""4/4""";60;3;0;1;F7;A1;lick
14.4102040816;0.104081632653;4;4;5;2;2;0.615419501134;"""4/4""";63;3;0;1;F7;A1;lick
14.5387755102;0.171428571429;4;4;5;2;3;0.615419501134;"""4/4""";67;3;0;1;F7;A1;lick
14.8244897959;0.304081632653;4;4;5;3;1;0.610929705215;"""4/4""";72;3;0;1;F7;A1;lick
15.2734693878;0.342857142857;4;4;5;3;4;0.610929705215;"""4/4""";67;3;0;1;F7;A1;lick
15.693877551;0.259183673469;4;2;5;4;2;0.620136054422;"""4/4""";80;3;0;1;F7;A1;lick
16.3163265306;0.169387755102;4;2;6;1;2;0.590476190476;"""4/4""";70;4;1;1;Bb7;A1;lick
16.6346938776;0.1;4;6;6;2;1;0.610997732426;"""4/4""";65;4;0;1;Bb7;A1;lick
16.7367346939;0.0795918367347;4;6;6;2;2;0.610997732426;"""4/4""";59;4;0;1;Bb7;A1;lick
16.8428571429;0.102040816327;4;6;6;2;3;0.610997732426;"""4/4""";62;4;0;1;Bb7;A1;lick
