onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
2.72399092971;0.0478911564626;4;4;0;2;4;0.313333333333;"""4/4""";61;1;1;-1;NC;I1;lick
2.78639455782;0.0841723356009;4;2;0;3;1;0.281428571429;"""4/4""";62;1;0;-1;NC;I1;lick
2.93442176871;0.145124716553;4;2;0;3;2;0.281428571429;"""4/4""";64;1;0;-1;NC;I1;lick
3.16952380952;0.11029478458;4;3;0;4;2;0.2989569161;"""4/4""";67;1;0;-1;NC;I1;lick
3.29723356009;0.185759637188;4;3;0;4;3;0.2989569161;"""4/4""";71;1;0;-1;NC;I1;lick
3.5874829932;0.174149659864;4;4;1;1;4;0.2989569161;"""4/4""";71;1;0;1;G;A1;lick
3.88498866213;0.375873015873;4;4;1;2;4;0.307097505669;"""4/4""";71;1;0;1;G;A1;lick
5.15482993197;0.127709750567;4;2;2;3;1;0.301065759637;"""4/4""";62;2;1;1;G;A1;#lick
5.30575963719;0.133514739229;4;2;2;3;2;0.301065759637;"""4/4""";64;2;0;1;G;A1;#lick
5.44507936508;0.16253968254;4;3;2;4;1;0.298117913832;"""4/4""";67;2;0;1;G;A1;#lick
5.64244897959;0.150929705215;4;3;2;4;3;0.298117913832;"""4/4""";71;2;0;1;G;A1;#lick
5.90947845805;0.278639455782;4;2;3;1;2;0.312448979592;"""4/4""";71;2;0;1;A7;A1;#lick
6.32163265306;0.156734693878;4;4;3;2;4;0.304240362812;"""4/4""";71;2;0;1;A7;A1;#lick
7.5580952381;0.197369614512;4;4;4;3;1;0.300408163265;"""4/4""";63;3;1;1;A7;A1;#lick
7.79029478458;0.139319727891;4;4;4;3;4;0.300408163265;"""4/4""";64;3;0;1;A7;A1;#lick
8.04136054422;0.104489795918;4;2;4;4;2;0.308412698413;"""4/4""";67;3;0;1;A7;A1;#lick
8.19083900227;0.139319727891;4;3;5;1;1;0.310272108844;"""4/4""";71;3;0;1;D7;A1;#lick
8.38820861678;0.11029478458;4;3;5;1;3;0.310272108844;"""4/4""";71;3;0;1;D7;A1;#lick
8.64943310658;0.348299319728;4;2;5;2;2;0.292698412698;"""4/4""";71;3;0;1;D7;A1;#lick
9.53034013605;0.0580498866213;4;4;6;1;3;0.291473922902;"""4/4""";71;4;1;1;D7;A1;lick
9.5956462585;0.334693877551;4;4;6;1;4;0.291473922902;"""4/4""";79;4;0;1;D7;A1;lick
9.97959183673;0.159183673469;4;3;6;3;1;0.301201814059;"""4/4""";74;4;0;1;D7;A1;lick
10.1918367347;0.134693877551;4;3;6;3;3;0.301201814059;"""4/4""";71;4;0;1;D7;A1;lick
10.4448979592;0.118367346939;4;2;6;4;2;0.293605442177;"""4/4""";66;4;0;1;D7;A1;lick
10.5836734694;0.159183673469;4;2;7;1;1;0.301723356009;"""4/4""";69;4;0;1;G;A1;lick
10.7632653061;0.0775510204082;4;2;7;1;2;0.301723356009;"""4/4""";67;4;0;1;G;A1;lick
10.8816326531;0.171428571429;4;1;7;2;1;0.30664399093;"""4/4""";67;4;0;1;G;A1;lick
11.1862131519;0.269387755102;4;1;7;3;1;0.302176870748;"""4/4""";67;4;0;1;G;A1;lick
11.4857142857;0.208163265306;4;3;7;4;1;0.303718820862;"""4/4""";62;4;0;1;G;A1;lick
11.6979591837;0.0897959183673;4;3;7;4;3;0.303718820862;"""4/4""";59;4;0;1;G;A1;lick
12.3959183673;0.0571428571429;4;3;8;3;1;0.296371882086;"""4/4""";65;5;1;1;G;A1;melody
12.4571428571;0.0938775510204;4;3;8;3;2;0.296371882086;"""4/4""";66;5;0;1;G;A1;melody
12.5795918367;0.0938775510204;4;3;8;3;3;0.296371882086;"""4/4""";67;5;0;1;G;A1;melody
12.6897959184;0.167346938776;4;2;8;4;1;0.30283446712;"""4/4""";71;5;0;1;G;A1;melody
12.8653061224;0.114285714286;4;2;8;4;2;0.30283446712;"""4/4""";74;5;0;1;D7;A1;melody
13.0;0.183673469388;4;3;9;1;1;0.30335600907;"""4/4""";78;5;0;1;D7;A1;melody
13.2081632653;0.351020408163;4;3;9;1;3;0.30335600907;"""4/4""";76;5;0;1;G;A2;melody
