onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.48367346939;0.0857142857143;4;2;0;4;2;0.206145124717;"""4/4""";54;1;1;-1;NC;I1;lick
4.58571428571;0.0836734693878;4;3;1;1;1;0.21112244898;"""4/4""";53;1;0;-1;NC;I1;lick
4.68163265306;0.0857142857143;4;3;1;1;2;0.21112244898;"""4/4""";52;1;0;1;Bb7;A1;lick
4.76734693878;0.0816326530612;4;3;1;1;3;0.21112244898;"""4/4""";51;1;0;1;Bb7;A1;lick
4.87328798186;0.087074829932;4;4;1;2;2;0.21112244898;"""4/4""";53;1;0;1;Bb7;A1;lick
4.97632653061;0.213333333333;4;4;1;2;4;0.21112244898;"""4/4""";50;1;0;1;Bb7;A1;lick
5.18965986395;0.0943310657596;4;2;1;4;1;0.193174603175;"""4/4""";53;1;0;1;Bb7;A1;lick
5.31446712018;0.0725623582766;4;2;1;4;2;0.193174603175;"""4/4""";50;1;0;1;Bb7;A1;lick
5.38702947846;0.193015873016;4;4;2;1;1;0.201326530612;"""4/4""";51;1;0;1;Bb7;A1;lick
5.58149659864;0.0957823129252;4;4;2;1;4;0.201326530612;"""4/4""";55;1;0;1;Eb7;A1;lick
5.70195011338;0.0812698412698;4;3;2;2;2;0.201326530612;"""4/4""";52;1;0;1;Eb7;A1;lick
5.78321995465;0.194467120181;4;3;2;2;3;0.201326530612;"""4/4""";53;1;0;1;Eb7;A1;lick
5.97768707483;0.120453514739;4;4;2;3;4;0.211065759637;"""4/4""";50;1;0;1;Eb7;A1;lick
6.10394557823;0.200272108844;4;2;2;4;2;0.211065759637;"""4/4""";48;1;0;1;Eb7;A1;lick
6.30421768707;0.195918367347;4;2;3;1;2;0.206201814059;"""4/4""";51;1;0;1;Bb7;A1;lick
6.53351473923;0.169795918367;4;2;3;2;2;0.206201814059;"""4/4""";50;1;0;1;Bb7;A1;lick
6.7410430839;0.175600907029;4;2;3;3;2;0.210600907029;"""4/4""";48;1;0;1;Bb7;A1;lick
6.96308390023;0.208979591837;4;2;3;4;2;0.210600907029;"""4/4""";46;1;0;1;Bb7;A1;lick
7.19673469388;0.35410430839;4;2;4;1;2;0.198492063492;"""4/4""";44;1;0;1;Bb7;A1;lick
8.21696145125;0.0972335600907;4;2;5;2;2;0.213786848073;"""4/4""";68;2;1;1;Eb7;A1;line_w_dsal
8.31419501134;0.06820861678;4;3;5;3;1;0.21066893424;"""4/4""";67;2;0;1;Eb7;A1;line_w_dsal
8.39256235828;0.117551020408;4;3;5;3;2;0.21066893424;"""4/4""";63;2;0;1;Eb7;A1;line_w_dsal
8.51011337868;0.12335600907;4;2;5;4;1;0.21066893424;"""4/4""";58;2;0;1;Eb7;A1;line_w_dsal
8.64362811791;0.0638548752834;4;2;5;4;2;0.21066893424;"""4/4""";56;2;0;1;Eb7;A1;line_w_dsal
8.71038548753;0.132063492063;4;2;6;1;1;0.203458049887;"""4/4""";61;2;0;1;Eb7;A1;line_w_dsal
8.84244897959;0.0638548752834;4;2;6;1;2;0.203458049887;"""4/4""";63;2;0;1;Eb7;A1;line_w_dsal
8.92081632653;0.089977324263;4;2;6;2;1;0.203458049887;"""4/4""";65;2;0;1;Eb7;A1;line_w_dsal
9.0398185941;0.0914285714286;4;2;6;2;2;0.203458049887;"""4/4""";61;2;0;1;Eb7;A1;line_w_dsal
9.13124716553;0.127709750567;4;2;6;3;1;0.21380952381;"""4/4""";64;2;0;1;Eb7;A1;line_w_dsal
9.2589569161;0.103038548753;4;2;6;3;2;0.21380952381;"""4/4""";68;2;0;1;Eb7;A1;line_w_dsal
9.36199546485;0.089977324263;4;6;6;4;1;0.21380952381;"""4/4""";71;2;0;1;Eb7;A1;line_w_dsal
9.50421768707;0.0333786848073;4;6;6;4;5;0.21380952381;"""4/4""";64;2;0;1;Eb7;A1;~lick
9.53759637188;0.065306122449;4;6;6;4;6;0.21380952381;"""4/4""";68;2;0;1;Eb7;A1;~lick
9.60290249433;0.198820861678;4;1;7;1;1;0.211031746032;"""4/4""";70;2;0;1;Bb7;A1;~lick
9.80172335601;0.294603174603;4;1;7;2;1;0.211031746032;"""4/4""";73;2;0;1;Bb7;A1;~lick
10.0992290249;0.0275736961451;4;6;7;3;4;0.198469387755;"""4/4""";72;2;0;1;Bb7;A1;~lick
10.1268027211;0.0319274376417;4;6;7;3;5;0.198469387755;"""4/4""";71;2;0;1;Bb7;A1;~lick
10.1587301587;0.166893424036;4;6;7;3;6;0.198469387755;"""4/4""";70;2;0;1;Bb7;A1;~lick
10.4446258503;0.0464399092971;4;4;8;1;2;0.215476190476;"""4/4""";71;2;0;1;G7;A1;~lick
10.4968707483;0.232199546485;4;4;8;1;3;0.215476190476;"""4/4""";72;2;0;1;G7;A1;~lick
10.7334240363;0.0261224489796;4;4;8;2;3;0.215476190476;"""4/4""";71;2;0;1;G7;A1;~lick
10.7740589569;0.0522448979592;4;4;8;2;4;0.215476190476;"""4/4""";70;2;0;1;G7;A1;~lick
10.8495238095;0.159637188209;4;1;8;3;1;0.208945578231;"""4/4""";68;2;0;1;G7;A1;~lick
11.6259410431;0.0943310657596;4;4;9;2;4;0.208378684807;"""4/4""";69;3;1;1;C-7;A1;line_w_d
11.7289795918;0.087074829932;4;4;9;3;2;0.201292517007;"""4/4""";73;3;0;1;C-7;A1;line_w_d
11.8204081633;0.0812698412698;4;4;9;3;4;0.201292517007;"""4/4""";71;3;0;1;C-7;A1;line_w_d
11.9263492063;0.0667573696145;4;3;9;4;2;0.201292517007;"""4/4""";69;3;0;1;C-7;A1;line_w_d
12.001814059;0.108843537415;4;3;9;4;3;0.201292517007;"""4/4""";68;3;0;1;C-7;A1;line_w_d
12.1179138322;0.107392290249;4;2;10;1;2;0.200770975057;"""4/4""";67;3;0;1;F7;A1;line_w_d
12.2340136054;0.107392290249;4;2;10;2;1;0.200770975057;"""4/4""";66;3;0;1;F7;A1;line_w_d
12.3675283447;0.0783673469388;4;2;10;2;2;0.200770975057;"""4/4""";64;3;0;1;F7;A1;line_w_d
12.4546031746;0.0595011337868;4;3;10;3;1;0.211054421769;"""4/4""";65;3;0;1;F7;A1;line_w_d
12.5300680272;0.087074829932;4;3;10;3;2;0.211054421769;"""4/4""";64;3;0;1;F7;A1;line_w_d
12.6258503401;0.0856235827664;4;3;10;3;3;0.211054421769;"""4/4""";63;3;0;1;F7;A1;line_w_d
12.7303401361;0.103038548753;4;4;10;4;2;0.211054421769;"""4/4""";67;3;0;1;F7;A1;line_w_d
12.8362811791;0.0943310657596;4;4;10;4;4;0.211054421769;"""4/4""";65;3;0;1;F7;A1;line_w_d
12.9567346939;0.0841723356009;4;3;11;1;2;0.211145124717;"""4/4""";61;3;0;1;Bb7;A1;line_w_d
13.0467120181;0.117551020408;4;3;11;1;3;0.211145124717;"""4/4""";56;3;0;1;Bb7;A1;line_w_d
13.177324263;0.0551473922902;4;3;11;2;2;0.211145124717;"""4/4""";53;3;0;1;Bb7;A1;line_w_d
13.2324716553;0.126258503401;4;3;11;2;3;0.211145124717;"""4/4""";63;3;0;1;Bb7;A1;~lick
