onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
1.95047619048;0.175600907029;4;2;0;3;1;0.307664399093;"""4/4""";58;1;1;-1;Fj7;I1;lick
2.139138322;0.124807256236;4;2;0;3;2;0.307664399093;"""4/4""";60;1;0;-1;Fj7;I1;lick
2.27990929705;0.148027210884;4;2;0;4;1;0.307664399093;"""4/4""";62;1;0;-1;Fj7;I1;lick
2.45260770975;0.130612244898;4;2;0;4;2;0.307664399093;"""4/4""";64;1;0;-1;Fj7;I1;lick
2.59337868481;0.175600907029;4;1;1;1;1;0.292222222222;"""4/4""";65;1;0;1;Fj7;A1;lick
2.85306122449;0.416326530612;4;1;1;2;1;0.292222222222;"""4/4""";60;1;0;1;Fj7;A1;lick
3.65306122449;0.167346938776;4;2;1;4;2;0.280952380952;"""4/4""";64;2;1;1;Fj7;A1;lick
3.83469387755;0.14693877551;4;4;2;1;2;0.299467120181;"""4/4""";61;2;0;1;Em7b5;A1;lick
3.99387755102;0.124489795918;4;4;2;1;4;0.299467120181;"""4/4""";57;2;0;1;Em7b5;A1;lick
4.13678004535;0.121904761905;4;4;2;2;2;0.299467120181;"""4/4""";58;2;0;1;Em7b5;A1;lick
4.27609977324;0.121179138322;4;4;2;2;4;0.299467120181;"""4/4""";60;2;0;1;Em7b5;A1;lick
4.40961451247;0.117551020408;4;3;2;3;2;0.309297052154;"""4/4""";61;2;0;1;A7;A1;lick
4.54095238095;0.148027210884;4;3;2;3;3;0.309297052154;"""4/4""";65;2;0;1;A7;A1;lick
4.71945578231;0.142947845805;4;4;2;4;2;0.309297052154;"""4/4""";67;2;0;1;A7;A1;lick
4.86428571429;0.123469387755;4;4;2;4;4;0.309297052154;"""4/4""";72;2;0;1;A7;A1;lick
4.99897959184;0.273469387755;4;1;3;1;1;0.294591836735;"""4/4""";69;2;0;1;D-7;A1;lick
5.28469387755;0.174489795918;4;3;3;2;1;0.294591836735;"""4/4""";67;2;0;1;D-7;A1;lick
5.47142857143;0.294897959184;4;3;3;2;3;0.294591836735;"""4/4""";65;2;0;1;D-7;A1;lick
6.08362811791;0.146575963719;4;4;3;4;4;0.304750566893;"""4/4""";69;2;0;1;G7;A1;#-lick
6.24616780045;0.239455782313;4;2;4;1;2;0.304387755102;"""4/4""";67;2;0;1;C-7;A1;#-lick
6.50739229025;0.168344671202;4;2;4;2;1;0.304387755102;"""4/4""";65;2;0;1;C-7;A1;#-lick
6.68589569161;0.300408163265;4;2;4;2;2;0.304387755102;"""4/4""";63;2;0;1;C-7;A1;#-lick
7.27040816327;0.130612244898;4;4;4;4;4;0.289206349206;"""4/4""";67;2;0;1;F7;A1;lick
7.41632653061;0.151020408163;4;1;5;1;1;0.309546485261;"""4/4""";64;2;0;1;F-7;A1;lick
