onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.43365079365;0.121904761905;4;3;0;3;2;0.487777777778;"""4/4""";55;1;1;-1;NC;I1;melody
3.58167800454;0.121904761905;4;3;0;3;3;0.487777777778;"""4/4""";60;1;0;-1;NC;I1;melody
3.75002267574;0.139319727891;4;3;0;4;1;0.45925170068;"""4/4""";63;1;0;-1;NC;I1;melody
3.90095238095;0.133514739229;4;3;0;4;2;0.45925170068;"""4/4""";65;1;0;-1;NC;I1;melody
4.07510204082;0.139319727891;4;3;0;4;3;0.45925170068;"""4/4""";67;1;0;-1;NC;I1;melody
4.260861678;0.11029478458;4;3;1;1;1;0.456712018141;"""4/4""";63;1;0;1;C-6;A1;melody
4.37115646259;0.743038548753;4;3;1;1;2;0.456712018141;"""4/4""";65;1;0;1;C-6;A1;melody
5.21287981859;0.359909297052;4;1;1;3;1;0.466825396825;"""4/4""";65;1;0;1;C-6;A1;melody
5.57278911565;0.0406349206349;4;4;1;4;1;0.45693877551;"""4/4""";63;1;0;1;C-6;A1;melody
5.61342403628;0.359909297052;4;4;1;4;2;0.45693877551;"""4/4""";65;1;0;1;C-6;A1;melody
7.250430839;0.139319727891;4;4;2;3;3;0.4820861678;"""4/4""";55;2;1;1;G7;A1;#melody
7.38975056689;0.121904761905;4;4;2;3;4;0.4820861678;"""4/4""";60;2;0;1;G7;A1;#melody
7.54068027211;0.145124716553;4;3;2;4;1;0.496031746032;"""4/4""";63;2;0;1;G7;A1;#melody
7.70321995465;0.133514739229;4;3;2;4;2;0.496031746032;"""4/4""";65;2;0;1;G7;A1;#melody
7.85414965986;0.16253968254;4;3;2;4;3;0.496031746032;"""4/4""";66;2;0;1;G7;A1;#melody
8.05732426304;0.812698412698;4;1;3;1;1;0.481972789116;"""4/4""";65;2;0;1;C-6;A1;#melody
8.88743764172;0.0522448979592;4;4;3;2;4;0.476394557823;"""4/4""";63;2;0;1;C-6;A1;#melody
9.00353741497;0.470204081633;4;1;3;3;1;0.521292517007;"""4/4""";65;2;0;1;C-6;A1;#melody
9.47954648526;0.290249433107;4;2;3;4;1;0.456984126984;"""4/4""";63;2;0;1;C-6;A1;#melody
9.76979591837;0.359909297052;4;2;3;4;2;0.456984126984;"""4/4""";66;2;0;1;C-6;A1;#melody
11.5432199546;0.203174603175;4;3;4;4;2;0.526689342404;"""4/4""";66;3;1;1;A7;A1;lick
11.7725170068;0.0812698412698;4;3;4;4;3;0.526689342404;"""4/4""";63;3;0;1;A7;A1;lick
