onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.09097505669;0.142222222222;4;2;-2;4;2;0.340362811791;"""4/4""";83;1;1;-1;G7;I1;line_w_d
5.24770975057;0.280090702948;4;1;-1;1;1;0.342857142857;"""4/4""";84;1;0;-1;F-7;I1;line_w_d
5.549569161;0.187210884354;4;2;-1;2;1;0.349569160998;"""4/4""";88;1;0;-1;F-7;I1;line_w_d
5.74591836735;0.137755102041;4;2;-1;2;2;0.349569160998;"""4/4""";84;1;0;-1;F-7;I1;line_w_d
5.90612244898;0.155102040816;4;2;-1;3;1;0.348321995465;"""4/4""";83;1;0;-1;F-7;I1;line_w_d
6.08571428571;0.152040816327;4;2;-1;3;2;0.348321995465;"""4/4""";82;1;0;-1;F-7;I1;line_w_d
6.24795918367;0.179591836735;4;2;-1;4;1;0.351360544218;"""4/4""";80;1;0;-1;F-7;I1;line_w_d
6.43469387755;0.138775510204;4;2;-1;4;2;0.351360544218;"""4/4""";77;1;0;-1;F-7;I1;line_w_d
6.61020408163;0.14693877551;4;4;0;1;1;0.377936507937;"""4/4""";82;1;0;-1;F-7;I1;line_w_d
6.78673469388;0.0775510204082;4;4;0;1;3;0.377936507937;"""4/4""";79;1;0;-1;F-7;I1;line_w_d
6.87337868481;0.0912925170068;4;4;0;1;4;0.377936507937;"""4/4""";80;1;0;-1;F-7;I1;line_w_d
6.97614512472;0.0613605442177;4;4;0;2;1;0.351315192744;"""4/4""";79;1;0;-1;F-7;I1;line_w_d
7.04498866213;0.0932879818594;4;4;0;2;2;0.351315192744;"""4/4""";77;1;0;-1;F-7;I1;line_w_d
7.15918367347;0.148979591837;4;4;0;2;3;0.351315192744;"""4/4""";76;1;0;-1;F-7;I1;line_w_d
7.32244897959;0.164285714286;4;2;0;3;1;0.358049886621;"""4/4""";75;1;0;-1;F-7;I1;line_w_d
7.51020408163;0.132653061224;4;2;0;3;2;0.358049886621;"""4/4""";73;1;0;-1;F-7;I1;line_w_d
7.66530612245;0.15612244898;4;2;0;4;1;0.353242630385;"""4/4""";72;1;0;-1;F-7;I1;line_w_d
7.85204081633;0.120408163265;4;2;0;4;2;0.353242630385;"""4/4""";70;1;0;-1;F-7;I1;line_w_d
