onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
2.10140589569;0.116099773243;4;4;1;1;4;0.39612244898;"""4/4""";65;1;1;1;F-7;A1;lick
2.62385487528;0.203174603175;4;1;1;3;1;0.402448979592;"""4/4""";68;1;0;1;F-7;A1;lick
3.01278911565;0.214784580499;4;1;1;4;1;0.397188208617;"""4/4""";72;1;0;1;F-7;A1;lick
3.39011337868;0.24380952381;4;1;2;1;1;0.386439909297;"""4/4""";75;1;0;1;F-7;A1;lick
3.79646258503;0.267029478458;4;1;2;2;1;0.392902494331;"""4/4""";75;1;0;1;F-7;A1;lick
4.19700680272;0.493424036281;4;1;2;3;1;0.387324263039;"""4/4""";75;1;0;1;F-7;A1;lick
5.1887755102;0.168140589569;4;2;3;1;2;0.405736961451;"""4/4""";65;2;1;1;F-7;A1;#lick
5.38936507937;0.138752834467;4;3;3;2;1;0.402585034014;"""4/4""";68;2;0;1;F-7;A1;#lick
5.65405895692;0.0928798185941;4;3;3;2;3;0.402585034014;"""4/4""";72;2;0;1;F-7;A1;#lick
5.79337868481;0.261224489796;4;6;3;3;2;0.377664399093;"""4/4""";75;2;0;1;F-7;A1;#lick
6.07782312925;0.0928798185941;4;6;3;3;6;0.377664399093;"""4/4""";75;2;0;1;F-7;A1;#lick
6.41451247166;0.493424036281;4;4;3;4;4;0.404058956916;"""4/4""";75;2;0;1;F-7;A1;#lick
6.92746031746;0.0720634920635;4;1;4;2;1;0.401700680272;"""4/4""";79;2;0;1;F-7;A1;#lick
7.33750566893;0.24380952381;4;3;4;3;1;0.396802721088;"""4/4""";75;2;0;1;F-7;A1;#lick
7.59934240363;0.12231292517;4;3;4;3;3;0.396802721088;"""4/4""";72;2;0;1;F-7;A1;#lick
7.72990929705;0.0931065759637;4;1;4;4;1;0.367732426304;"""4/4""";68;2;0;1;F-7;A1;#lick
8.06734693878;0.265306122449;4;4;5;1;1;0.377437641723;"""4/4""";72;2;0;1;F-7;A1;#lick
8.37959183673;0.0877551020408;4;4;5;1;4;0.377437641723;"""4/4""";72;2;0;1;F-7;A1;#lick
10.3102040816;0.11029478458;4;4;6;2;4;0.397029478458;"""4/4""";72;3;1;1;F-7;A1;lick
10.5070068027;0.179954648526;4;6;6;3;3;0.387324263039;"""4/4""";76;3;0;1;F-7;A1;lick
10.7449886621;0.156734693878;4;6;6;3;6;0.387324263039;"""4/4""";79;3;0;1;F-7;A1;lick
10.9250113379;0.249614512472;4;2;6;4;2;0.365918367347;"""4/4""";77;3;0;1;F-7;A1;lick
11.1919954649;0.179954648526;4;1;7;1;1;0.368390022676;"""4/4""";76;3;0;1;G7;A1;lick
11.5055102041;0.162494331066;4;2;7;2;1;0.392789115646;"""4/4""";73;3;0;1;G7;A1;lick
11.6680045351;0.185759637188;4;2;7;2;2;0.392789115646;"""4/4""";72;3;0;1;G7;A1;lick
11.894399093;0.11029478458;4;4;7;3;1;0.402743764172;"""4/4""";70;3;0;1;G7;A1;lick
12.0511564626;0.0812698412698;4;4;7;3;2;0.402743764172;"""4/4""";68;3;0;1;G7;A1;lick
12.1469387755;0.0799092970522;4;4;7;3;3;0.402743764172;"""4/4""";70;3;0;1;G7;A1;lick
12.2285714286;0.0864172335601;4;4;7;3;4;0.402743764172;"""4/4""";68;3;0;1;G7;A1;lick
12.326893424;0.0771882086168;4;4;7;4;1;0.406870748299;"""4/4""";67;3;0;1;G7;A1;lick
12.4040816327;0.204126984127;4;4;7;4;2;0.406870748299;"""4/4""";65;3;0;1;G7;A1;lick
12.6489795918;0.11387755102;4;4;7;4;4;0.406870748299;"""4/4""";62;3;0;1;G7;A1;lick
12.7854875283;0.142675736961;4;2;8;1;1;0.376575963719;"""4/4""";64;3;0;1;C7;A1;lick
12.9712471655;0.117188208617;4;2;8;1;2;0.376575963719;"""4/4""";64;3;0;1;C7;A1;lick
13.5895011338;0.220589569161;4;6;8;3;2;0.380634920635;"""4/4""";73;4;1;1;C7;A1;lick
13.8333106576;0.11029478458;4;6;8;3;6;0.380634920635;"""4/4""";71;4;0;1;C7;A1;lick
13.9609977324;0.232199546485;4;4;8;4;2;0.416326530612;"""4/4""";72;4;0;1;C7;A1;lick
14.2221995465;0.121904761905;4;4;8;4;4;0.416326530612;"""4/4""";70;4;0;1;C7;A1;lick
14.362244898;0.0877551020408;4;4;9;1;2;0.394535147392;"""4/4""";67;4;0;1;F-7;A1;lick
14.4612244898;0.0857142857143;4;4;9;1;3;0.394535147392;"""4/4""";69;4;0;1;F-7;A1;lick
14.7795011338;1.05650793651;4;1;9;2;1;0.387278911565;"""4/4""";77;4;0;1;F-7;A1;lick
15.8882993197;0.255419501134;4;6;10;1;2;0.39179138322;"""4/4""";75;4;0;1;F-7;A1;lick
16.1611111111;0.145124716553;4;6;10;1;6;0.39179138322;"""4/4""";77;4;0;1;F-7;A1;lick
16.906122449;0.102902494331;4;4;10;3;4;0.377346938776;"""4/4""";72;5;1;1;F-7;A1;lick
17.0260090703;0.27283446712;4;4;10;4;1;0.39283446712;"""4/4""";75;5;0;1;F-7;A1;lick
17.3395011338;0.471972789116;4;4;10;4;4;0.39283446712;"""4/4""";77;5;0;1;F-7;A1;lick
17.8114739229;0.217823129252;4;3;11;2;1;0.402675736961;"""4/4""";75;5;0;1;F-7;A1;lick
18.0702267574;0.142743764172;4;3;11;2;3;0.402675736961;"""4/4""";72;5;0;1;F-7;A1;lick
18.2247619048;0.108185941043;4;2;11;3;1;0.40693877551;"""4/4""";70;5;0;1;F-7;A1;lick
18.4551020408;0.0918367346939;4;2;11;3;2;0.40693877551;"""4/4""";67;5;0;1;F-7;A1;lick
18.5469387755;0.246439909297;4;3;11;4;1;0.381927437642;"""4/4""";65;5;0;1;F-7;A1;lick
18.8265306122;0.0948979591837;4;3;11;4;3;0.381927437642;"""4/4""";63;5;0;1;F-7;A1;lick
18.9408163265;0.409183673469;4;1;12;1;1;0.38746031746;"""4/4""";65;5;0;1;F-7;A1;lick
20.0561904762;0.150929705215;4;4;12;3;4;0.409501133787;"""4/4""";65;6;1;1;F-7;A1;lick
20.4163265306;0.125170068027;4;4;12;4;4;0.389410430839;"""4/4""";65;6;0;1;F-7;A1;lick
20.5510204082;0.0897959183673;4;3;13;1;1;0.392494331066;"""4/4""";68;6;0;1;F7;A1;lick
20.656122449;0.109183673469;4;3;13;1;2;0.392494331066;"""4/4""";69;6;0;1;F7;A1;lick
20.9850113379;0.185759637188;4;1;13;2;1;0.406984126984;"""4/4""";65;6;0;1;F7;A1;lick
21.3159183673;0.238004535147;4;1;13;3;1;0.412380952381;"""4/4""";70;6;0;1;F7;A1;lick
21.732154195;0.298798185941;4;1;13;4;1;0.401768707483;"""4/4""";65;6;0;1;F7;A1;lick
22.1402040816;0.232199546485;4;4;14;1;1;0.367369614512;"""4/4""";71;6;0;1;Bb7;A1;lick
22.4020408163;0.099387755102;4;4;14;1;4;0.367369614512;"""4/4""";65;6;0;1;Bb7;A1;lick
22.5117006803;0.249614512472;4;4;14;2;1;0.37746031746;"""4/4""";71;6;0;1;Bb7;A1;lick
22.7846031746;0.11029478458;4;4;14;2;4;0.37746031746;"""4/4""";72;6;0;1;Bb7;A1;~lick_blues
22.9122902494;0.104489795918;4;3;14;3;1;0.397233560091;"""4/4""";71;6;0;1;Bb7;A1;~lick_blues
23.0168027211;0.116099773243;4;3;14;3;2;0.397233560091;"""4/4""";70;6;0;1;Bb7;A1;~lick_blues
23.1444897959;0.168594104308;4;3;14;3;3;0.397233560091;"""4/4""";68;6;0;1;Bb7;A1;~lick_blues
23.3130839002;0.206825396825;4;3;14;4;1;0.382857142857;"""4/4""";65;6;0;1;Bb7;A1;~lick_blues
23.5741043084;0.0928798185941;4;3;14;4;3;0.382857142857;"""4/4""";68;6;0;1;Bb7;A1;~lick_blues
23.6902040816;0.261224489796;4;4;15;1;1;0.376530612245;"""4/4""";70;6;0;1;G7;A1;~lick_blues
23.9602040816;0.084693877551;4;4;15;1;4;0.376530612245;"""4/4""";65;6;0;1;G7;A1;~lick_blues
24.0448979592;0.0714285714286;4;4;15;2;1;0.397074829932;"""4/4""";68;6;0;1;G7;A1;~lick_blues
24.1224489796;0.0867346938776;4;4;15;2;2;0.397074829932;"""4/4""";70;6;0;1;G7;A1;~lick_blues
24.25;0.0785714285714;4;4;15;2;3;0.397074829932;"""4/4""";67;6;0;1;G7;A1;~lick_blues
