onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
7.31224489796;0.0816326530612;4;6;1;1;6;0.478548752834;"""4/4""";60;1;1;1;Bb-7;A1;lick
7.43265306122;0.328571428571;4;1;1;2;1;0.454535147392;"""4/4""";63;1;0;1;Bb-7;A1;lick
7.83469387755;0.084693877551;4;4;1;3;1;0.466258503401;"""4/4""";60;1;0;1;Bb-7;A1;lick
7.9306122449;0.101020408163;4;4;1;3;2;0.466258503401;"""4/4""";63;1;0;1;Bb-7;A1;lick
8.05102040816;0.232653061224;4;4;1;3;3;0.466258503401;"""4/4""";60;1;0;1;Bb-7;A1;lick
8.31020408163;0.173469387755;4;2;1;4;1;0.45664399093;"""4/4""";56;1;0;1;Bb-7;A1;lick
8.50612244898;0.163265306122;4;2;1;4;2;0.45664399093;"""4/4""";53;1;0;1;Bb-7;A1;lick
9.56952380952;0.103038548753;4;4;2;2;4;0.445306122449;"""4/4""";61;2;1;1;B-7;A1;#lick
9.79736961451;0.121904761905;4;4;2;3;2;0.478299319728;"""4/4""";64;2;0;1;E7;A1;#lick
10.0281179138;0.101587301587;4;4;2;3;4;0.478299319728;"""4/4""";61;2;0;1;E7;A1;#lick
10.1427664399;0.19156462585;4;2;2;4;1;0.454444444444;"""4/4""";57;2;0;1;E7;A1;#lick
10.3720634921;0.129160997732;4;2;2;4;2;0.454444444444;"""4/4""";54;2;0;1;E7;A1;#lick
10.5810430839;0.105941043084;4;4;3;1;1;0.457891156463;"""4/4""";60;2;0;1;Bb-7;A1;#lick
10.6942403628;0.120453514739;4;4;3;1;2;0.457891156463;"""4/4""";63;2;0;1;Bb-7;A1;#lick
10.827755102;0.242358276644;4;4;3;1;3;0.457891156463;"""4/4""";60;2;0;1;Bb-7;A1;#lick
12.2136961451;0.113197278912;4;2;3;4;2;0.45029478458;"""4/4""";60;3;1;1;Bb-7;A1;fragment
12.9037641723;0.0856235827664;4;4;4;2;1;0.43126984127;"""4/4""";54;4;1;1;B-7;A1;line_w
13.0140589569;0.0718367346939;4;4;4;2;2;0.43126984127;"""4/4""";57;4;0;1;B-7;A1;line_w
13.1076643991;0.108843537415;4;4;4;2;3;0.43126984127;"""4/4""";61;4;0;1;B-7;A1;line_w
13.2324716553;0.10231292517;4;4;4;2;4;0.43126984127;"""4/4""";60;4;0;1;B-7;A1;line_w
13.3514739229;0.108843537415;4;4;4;3;1;0.474195011338;"""4/4""";59;4;0;1;E7;A1;line_w
13.4762811791;0.0834467120181;4;4;4;3;2;0.474195011338;"""4/4""";61;4;0;1;E7;A1;line_w
13.5771428571;0.087074829932;4;4;4;3;3;0.474195011338;"""4/4""";62;4;0;1;E7;A1;line_w
13.6881632653;0.0986848072562;4;4;4;3;4;0.474195011338;"""4/4""";64;4;0;1;E7;A1;line_w
13.7991836735;0.0914285714286;4;4;4;4;1;0.440566893424;"""4/4""";65;4;0;1;E7;A1;line_w
13.918185941;0.099410430839;4;4;4;4;2;0.440566893424;"""4/4""";67;4;0;1;E7;A1;line_w
14.0371882086;0.0950566893424;4;4;4;4;3;0.440566893424;"""4/4""";64;4;0;1;E7;A1;line_w
14.1590929705;0.0892517006803;4;4;4;4;4;0.440566893424;"""4/4""";62;4;0;1;E7;A1;line_w
14.2875283447;0.0938775510204;4;4;5;1;1;0.472585034014;"""4/4""";60;4;0;1;Aj7;A1;line_w
14.4040816327;0.0979591836735;4;4;5;1;2;0.472585034014;"""4/4""";61;4;0;1;Aj7;A1;line_w
14.6316326531;0.0948979591837;4;4;5;1;4;0.472585034014;"""4/4""";66;4;0;1;Aj7;A1;line_w
14.8581632653;0.0918367346939;4;4;5;2;2;0.449024943311;"""4/4""";69;4;0;1;Aj7;A1;line_w
14.9663265306;0.0877551020408;4;4;5;2;3;0.449024943311;"""4/4""";68;4;0;1;Aj7;A1;line_w
