onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
2.45714285714;0.0816326530612;4;2;0;2;2;0.268775510204;"""4/4""";69;1;1;-1;NC;I1;melody
2.55918367347;0.179591836735;4;4;0;3;1;0.242698412698;"""4/4""";70;1;0;-1;NC;I1;melody
2.77142857143;0.142857142857;4;4;0;3;4;0.242698412698;"""4/4""";72;1;0;-1;NC;I1;melody
2.97959183673;0.167346938776;4;2;0;4;2;0.2589569161;"""4/4""";74;1;0;-1;NC;I1;melody
3.2612244898;0.314285714286;4;2;1;1;2;0.292857142857;"""4/4""";72;1;0;1;Bb;A1;melody
3.63265306122;0.359183673469;4;1;1;3;1;0.257845804989;"""4/4""";70;1;0;1;Bb;A1;melody
4.59183673469;0.0775510204082;4;2;2;2;2;0.27746031746;"""4/4""";67;2;1;1;Bb;A1;#-melody
4.69795918367;0.175510204082;4;4;2;3;1;0.268866213152;"""4/4""";69;2;0;1;Bb;A1;#-melody
4.90612244898;0.134693877551;4;4;2;3;4;0.268866213152;"""4/4""";70;2;0;1;Bb;A1;#-melody
5.11836734694;0.130612244898;4;2;2;4;2;0.278548752834;"""4/4""";72;2;0;1;Bb;A1;#-melody
5.35102040816;0.355102040816;4;2;3;1;2;0.257868480726;"""4/4""";70;2;0;1;A-7;A1;#-melody
5.75102040816;0.387755102041;4;1;3;3;1;0.27873015873;"""4/4""";69;2;0;1;A-7;A1;#-melody
6.16326530612;0.102040816327;4;2;3;4;2;0.243424036281;"""4/4""";62;2;0;1;A-7;A1;~lick
6.31836734694;0.155102040816;4;4;4;1;2;0.287414965986;"""4/4""";63;2;0;1;D7;A1;~lick
6.47755102041;0.240816326531;4;4;4;1;4;0.287414965986;"""4/4""";62;2;0;1;D7;A1;~lick
6.75918367347;0.122448979592;4;2;4;3;1;0.248253968254;"""4/4""";61;2;0;1;D7;A1;~lick
6.92244897959;0.30612244898;4;2;4;3;2;0.248253968254;"""4/4""";62;2;0;1;D7;A1;~lick
7.2693877551;0.151020408163;4;4;5;1;1;0.278594104308;"""4/4""";70;2;0;1;D7;A1;~lick
7.50204081633;0.261224489796;4;4;5;1;4;0.278594104308;"""4/4""";69;2;0;1;G-;A1;~lick
7.80816326531;0.322448979592;4;1;5;3;1;0.249160997732;"""4/4""";67;2;0;1;G-;A1;~lick
8.97142857143;0.126530612245;4;2;6;3;2;0.252448979592;"""4/4""";57;3;1;1;G-;A1;lick
9.15510204082;0.159183673469;4;1;6;4;1;0.259002267574;"""4/4""";58;3;0;1;G-;A1;lick
9.37959183673;0.448979591837;4;1;7;1;1;0.27201814059;"""4/4""";62;3;0;1;G-7;A1;lick
9.89387755102;0.102040816327;4;2;7;3;1;0.267891156463;"""4/4""";66;3;0;1;G-7;A1;lick
10.0448979592;0.322448979592;4;2;7;3;2;0.267891156463;"""4/4""";67;3;0;1;G-7;A1;lick
10.3836734694;0.351020408163;4;1;8;1;1;0.23306122449;"""4/4""";70;3;0;1;G-7;A1;lick
10.8897959184;0.14693877551;4;1;8;3;1;0.242721088435;"""4/4""";72;3;0;1;C7;A1;lick
11.1387755102;0.191836734694;4;1;8;4;1;0.243605442177;"""4/4""";70;3;0;1;C7;A1;lick
11.4285714286;1.09795918367;4;1;9;1;1;0.268004535147;"""4/4""";63;3;0;1;C-7;A1;lick
12.9142857143;0.175510204082;4;3;10;3;1;0.257891156463;"""4/4""";72;4;1;1;F7;A1;melody
13.093877551;0.0448979591837;4;3;10;3;3;0.257891156463;"""4/4""";71;4;0;1;F7;A1;melody
13.1755102041;0.0367346938776;4;4;10;4;1;0.243560090703;"""4/4""";70;4;0;1;F7;A1;melody
13.2163265306;0.224489795918;4;4;10;4;2;0.243560090703;"""4/4""";69;4;0;1;F7;A1;melody
13.4408163265;0.971428571429;4;1;11;1;1;0.26798185941;"""4/4""";65;4;0;1;D-;A1;melody
15.0040816327;0.0571428571429;4;2;12;3;1;0.257959183673;"""4/4""";68;5;1;1;G-;A1;melody
15.1142857143;0.379591836735;4;2;12;3;2;0.257959183673;"""4/4""";69;5;0;1;G-;A1;melody
15.5142857143;0.787755102041;4;1;13;1;1;0.293174603175;"""4/4""";67;5;0;1;E-7;A1;melody
16.9795918367;0.142857142857;4;4;14;2;4;0.232925170068;"""4/4""";69;6;1;1;E-7;A1;melody
17.187755102;0.159183673469;4;2;14;3;2;0.268934240363;"""4/4""";70;6;0;1;E-7;A1;melody
17.4448979592;0.10612244898;4;2;14;4;2;0.252403628118;"""4/4""";67;6;0;1;E-7;A1;melody
17.5510204082;0.481632653061;4;1;15;1;1;0.259047619048;"""4/4""";69;6;0;1;D;A1;melody
18.0367346939;0.477551020408;4;4;15;2;4;0.262290249433;"""4/4""";66;6;0;1;D;A1;melody
18.5673469388;0.326530612245;4;1;16;1;1;0.253401360544;"""4/4""";67;6;0;1;D;A1;melody
19.1183673469;0.0857142857143;4;2;16;3;1;0.243741496599;"""4/4""";68;6;0;1;F7;A1;melody
19.212244898;0.359183673469;4;2;16;3;2;0.243741496599;"""4/4""";69;6;0;1;F7;A1;melody
19.5836734694;0.497959183673;4;1;17;1;1;0.263265306122;"""4/4""";65;6;0;1;F7;A1;melody
20.1510204082;0.110204081633;4;2;17;3;1;0.268775510204;"""4/4""";60;6;0;1;F7;A1;melody
20.293877551;0.367346938776;4;2;17;3;2;0.268775510204;"""4/4""";62;6;0;1;F7;A1;melody
20.6979591837;0.70612244898;4;1;18;1;1;0.262290249433;"""4/4""";57;6;0;1;F7;A1;melody
22.1102040816;0.110204081633;4;2;19;2;2;0.25925170068;"""4/4""";69;7;1;1;A-7;A1;line_w
22.2408163265;0.0857142857143;4;2;19;3;1;0.242653061224;"""4/4""";72;7;0;1;A-7;A1;line_w
22.3714285714;0.110204081633;4;2;19;3;2;0.242653061224;"""4/4""";72;7;0;1;A-7;A1;line_w
22.4897959184;0.114285714286;4;2;19;4;1;0.243718820862;"""4/4""";69;7;0;1;A-7;A1;line_w
22.6367346939;0.0938775510204;4;2;19;4;2;0.243718820862;"""4/4""";69;7;0;1;A-7;A1;line_w
22.7306122449;0.110204081633;4;2;20;1;1;0.232947845805;"""4/4""";66;7;0;1;A-7;A1;line_w
22.8775510204;0.114285714286;4;2;20;1;2;0.232947845805;"""4/4""";66;7;0;1;D7;A1;line_w
22.9959183673;0.126530612245;4;2;20;2;1;0.249229024943;"""4/4""";62;7;0;1;D7;A1;line_w
