onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.55482993197;0.14947845805;4;2;0;2;1;0.307097505669;"""4/4""";62;1;1;-1;Dm7b5;I1;lick
3.74349206349;0.0754648526077;4;2;0;2;2;0.307097505669;"""4/4""";59;1;0;-1;Dm7b5;I1;lick
3.84145124717;0.166893424036;4;3;0;3;1;0.295170068027;"""4/4""";55;1;0;-1;G7;I1;lick
4.04752834467;0.0856235827664;4;3;0;3;3;0.295170068027;"""4/4""";58;1;0;-1;G7;I1;lick
4.16362811791;0.11029478458;4;2;0;4;1;0.286439909297;"""4/4""";63;1;0;-1;G7;I1;lick
4.3029478458;0.127709750567;4;2;0;4;2;0.286439909297;"""4/4""";65;1;0;-1;G7;I1;lick
4.46113378685;0.153832199546;4;4;1;1;2;0.302925170068;"""4/4""";67;1;0;1;C-6;A1;lick
4.63673469388;0.139319727891;4;4;1;1;4;0.302925170068;"""4/4""";65;1;0;1;C-6;A1;lick
5.20306122449;0.184693877551;4;2;1;3;2;0.313446712018;"""4/4""";67;2;1;1;C-6;A1;#+lick
5.53142857143;0.0907029478458;4;2;1;4;2;0.29612244898;"""4/4""";63;2;0;1;C-6;A1;#+lick
5.63156462585;0.153106575964;4;2;2;1;1;0.305011337868;"""4/4""";65;2;0;1;Dm7b5;A1;#+lick
5.80281179138;0.0921541950113;4;2;2;1;2;0.305011337868;"""4/4""";67;2;0;1;Dm7b5;A1;#+lick
5.90947845805;0.166893424036;4;2;2;2;1;0.285283446712;"""4/4""";68;2;0;1;Dm7b5;A1;#+lick
6.09596371882;0.119727891156;4;2;2;2;2;0.285283446712;"""4/4""";69;2;0;1;Dm7b5;A1;#+lick
6.22657596372;0.203900226757;4;4;2;3;1;0.293990929705;"""4/4""";71;2;0;1;G79b;A1;#+lick
6.45079365079;0.0950566893424;4;4;2;3;4;0.293990929705;"""4/4""";69;2;0;1;G79b;A1;#+lick
6.71854875283;0.391836734694;4;2;2;4;2;0.304988662132;"""4/4""";71;2;0;1;G79b;A1;~line_w_d
7.1619047619;0.121904761905;4;2;3;2;1;0.296054421769;"""4/4""";67;2;0;1;C-6;A1;~line_w_d
7.29541950113;0.120453514739;4;2;3;2;2;0.296054421769;"""4/4""";65;2;0;1;C-6;A1;~line_w_d
7.44780045351;0.140045351474;4;2;3;3;1;0.295124716553;"""4/4""";63;2;0;1;C-6;A1;~line_w_d
7.60816326531;0.103038548753;4;2;3;3;2;0.295124716553;"""4/4""";60;2;0;1;C-6;A1;~line_w_d
7.76126984127;0.121904761905;4;2;3;4;1;0.313628117914;"""4/4""";62;2;0;1;C-6;A1;~line_w_d
7.92346938776;0.105102040816;4;2;3;4;2;0.313628117914;"""4/4""";59;2;0;1;C-6;A1;~line_w_d
8.26485260771;0.0689342403628;4;4;4;1;4;0.303650793651;"""4/4""";60;2;0;1;Dm7b5;A1;~line_w_d
