onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
2.8193877551;0.132653061224;4;4;1;3;4;0.477120181406;"""4/4""";65;1;1;1;F7;A1;lick
2.99285714286;0.2;4;2;1;4;1;0.527142857143;"""4/4""";72;1;0;1;F7;A1;lick
3.27448979592;0.186734693878;4;2;1;4;2;0.527142857143;"""4/4""";71;1;0;1;F7;A1;lick
3.51734693878;0.194897959184;4;2;2;1;1;0.505034013605;"""4/4""";70;1;0;1;Bb7;A1;lick
3.80714285714;0.169387755102;4;2;2;1;2;0.505034013605;"""4/4""";65;1;0;1;Bb7;A1;lick
4.02244897959;0.159183673469;4;3;2;2;1;0.510839002268;"""4/4""";68;1;0;1;Bb7;A1;lick
4.20743764172;0.0793197278912;4;3;2;2;2;0.510839002268;"""4/4""";70;1;0;1;Bb7;A1;lick
4.30820861678;0.199546485261;4;3;2;2;3;0.510839002268;"""4/4""";71;1;0;1;Bb7;A1;lick
4.54965986395;0.129206349206;4;5;2;3;2;0.510839002268;"""4/4""";70;1;0;1;Bb7;A1;lick
4.69083900227;0.0743310657596;4;5;2;3;3;0.510839002268;"""4/4""";71;1;0;1;Bb7;A1;lick
4.77315192744;0.0813151927438;4;5;2;3;4;0.510839002268;"""4/4""";70;1;0;1;Bb7;A1;lick
4.86145124717;0.161133786848;4;5;2;3;5;0.510839002268;"""4/4""";68;1;0;1;Bb7;A1;lick
5.0735600907;0.198820861678;4;4;2;4;2;0.48358276644;"""4/4""";65;1;0;1;Bb7;A1;lick
5.36224489796;0.797959183673;4;4;2;4;4;0.48358276644;"""4/4""";65;1;0;1;Bb7;A1;lick
6.36224489796;0.0969387755102;4;4;3;2;4;0.491746031746;"""4/4""";55;1;0;1;F7;A1;lick
6.53979591837;0.682653061224;4;1;3;3;1;0.483106575964;"""4/4""";63;1;0;1;F7;A1;lick
8.76507936508;0.0743310657596;4;6;4;3;5;0.504013605442;"""4/4""";60;2;1;1;F7;A1;#lick
8.85138321995;0.100272108844;4;6;4;3;6;0.504013605442;"""4/4""";62;2;0;1;F7;A1;#lick
8.99306122449;0.235963718821;4;2;4;4;1;0.487619047619;"""4/4""";67;2;0;1;F7;A1;#lick
9.24199546485;0.177596371882;4;2;4;4;2;0.487619047619;"""4/4""";70;2;0;1;F7;A1;#lick
9.54285714286;0.137868480726;4;3;5;1;2;0.502494331066;"""4/4""";71;2;0;1;Bb7;A1;#lick
9.70204081633;0.689342403628;4;3;5;1;3;0.502494331066;"""4/4""";72;2;0;1;Bb7;A1;#lick
10.5142857143;0.154557823129;4;6;5;3;2;0.510839002268;"""4/4""";70;2;0;1;Bb7;A1;#lick
10.6826303855;0.0406349206349;4;6;5;3;4;0.510839002268;"""4/4""";72;2;0;1;Bb7;A1;#lick
10.7297959184;0.0783673469388;4;6;5;3;5;0.510839002268;"""4/4""";70;2;0;1;Bb7;A1;#lick
10.8183219955;0.190113378685;4;6;5;3;6;0.510839002268;"""4/4""";68;2;0;1;Bb7;A1;#lick
11.0236734694;0.224943310658;4;2;5;4;1;0.534058956916;"""4/4""";65;2;0;1;Bb7;A1;#lick
11.3233560091;0.650884353741;4;2;5;4;2;0.534058956916;"""4/4""";65;2;0;1;Bb7;A1;#lick
12.0897959184;0.113197278912;4;4;6;2;2;0.521179138322;"""4/4""";62;2;0;1;Bb7;A1;#lick
12.3408163265;0.19387755102;4;4;6;2;4;0.521179138322;"""4/4""";65;2;0;1;Bb7;A1;#lick
13.8826530612;0.141836734694;4;4;7;1;4;0.511383219955;"""4/4""";57;3;1;1;F7;A1;lick
