onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
1.78793650794;0.211882086168;4;1;0;3;1;0.339591836735;"""4/4""";72;1;1;-1;NC;I1;melody
2.09850340136;0.208979591837;4;1;0;4;1;0.309115646259;"""4/4""";68;1;0;-1;NC;I1;melody
2.42068027211;0.684988662132;4;1;1;1;1;0.341519274376;"""4/4""";63;1;0;1;Abj7;A1;melody
4.23183673469;0.121904761905;4;2;2;2;2;0.306689342404;"""4/4""";65;2;1;1;Abj7;A1;#line_cx
4.39437641723;0.133514739229;4;2;2;3;1;0.323310657596;"""4/4""";67;2;0;1;Abj7;A1;#line_cx
4.5685260771;0.0754648526077;4;2;2;3;2;0.323310657596;"""4/4""";68;2;0;1;Abj7;A1;#line_cx
4.69623582766;0.121904761905;4;2;2;4;1;0.313151927438;"""4/4""";70;2;0;1;Abj7;A1;#line_cx
4.8587755102;0.133514739229;4;2;2;4;2;0.313151927438;"""4/4""";73;2;0;1;Abj7;A1;#line_cx
5.02131519274;0.127709750567;4;3;3;1;1;0.322380952381;"""4/4""";72;2;0;1;Bb-7;A1;#line_cx
5.2419047619;0.0638548752834;4;3;3;1;3;0.322380952381;"""4/4""";68;2;0;1;Bb-7;A1;#line_cx
5.47410430839;0.255419501134;4;2;3;2;2;0.307755102041;"""4/4""";63;2;0;1;Bb-7;A1;#line_cx
6.87310657596;0.185759637188;4;2;4;3;1;0.29798185941;"""4/4""";77;3;1;1;Eb7;A1;##melody
7.05886621315;0.11029478458;4;2;4;3;2;0.29798185941;"""4/4""";75;3;0;1;Eb7;A1;##melody
7.20979591837;0.133514739229;4;2;4;4;1;0.322176870748;"""4/4""";72;3;0;1;Eb7;A1;##melody
7.36653061224;0.133514739229;4;2;4;4;2;0.322176870748;"""4/4""";70;3;0;1;Eb7;A1;##melody
7.51746031746;0.150929705215;4;4;5;1;1;0.313424036281;"""4/4""";68;3;0;1;Abj7;A1;##melody
7.74385487528;0.16253968254;4;4;5;1;4;0.313424036281;"""4/4""";63;3;0;1;Abj7;A1;##melody
7.98766439909;0.644353741497;4;2;5;2;2;0.313333333333;"""4/4""";63;3;0;1;Abj7;A1;##melody
8.96290249433;0.116099773243;4;2;6;1;2;0.312562358277;"""4/4""";65;4;1;1;F-7;A1;##line_w_d
9.10222222222;0.145124716553;4;2;6;2;1;0.317641723356;"""4/4""";67;4;0;1;F-7;A1;##line_w_d
9.27637188209;0.156734693878;4;2;6;2;2;0.317641723356;"""4/4""";68;4;0;1;F-7;A1;##line_w_d
9.45052154195;0.121904761905;4;2;6;3;1;0.30358276644;"""4/4""";70;4;0;1;F-7;A1;##line_w_d
9.58984126984;0.0928798185941;4;2;6;3;2;0.30358276644;"""4/4""";67;4;0;1;F-7;A1;##line_w_d
9.74077097506;0.11029478458;4;2;6;4;1;0.287210884354;"""4/4""";63;4;0;1;F-7;A1;##line_w_d
9.89750566893;0.121904761905;4;2;6;4;2;0.287210884354;"""4/4""";61;4;0;1;F-7;A1;##line_w_d
10.0484353741;0.150929705215;4;3;7;1;1;0.313401360544;"""4/4""";60;4;0;1;Bb-7;A1;##line_w_d
10.2458049887;0.539863945578;4;3;7;1;3;0.313401360544;"""4/4""";63;4;0;1;Bb-7;A1;##line_w_d
11.4880725624;0.121904761905;4;2;8;1;2;0.323015873016;"""4/4""";60;5;1;1;Eb7;A1;#lick
11.6622222222;0.121904761905;4;2;8;2;1;0.298163265306;"""4/4""";63;5;0;1;Eb7;A1;#lick
11.7957369615;0.133514739229;4;2;8;2;2;0.298163265306;"""4/4""";65;5;0;1;Eb7;A1;#lick
11.9466666667;0.127709750567;4;2;8;3;1;0.302766439909;"""4/4""";66;5;0;1;Eb7;A1;#lick
12.1150113379;0.11029478458;4;2;8;3;2;0.302766439909;"""4/4""";65;5;0;1;Eb7;A1;#lick
12.2717460317;0.133514739229;4;2;8;4;1;0.298163265306;"""4/4""";63;5;0;1;Eb7;A1;#lick
12.405260771;0.156734693878;4;2;8;4;2;0.298163265306;"""4/4""";60;5;0;1;Eb7;A1;#lick
12.5736054422;0.336689342404;4;1;9;1;1;0.328163265306;"""4/4""";61;5;0;1;C-7;A1;#lick
13.0844444444;0.220589569161;4;2;9;2;2;0.307029478458;"""4/4""";72;5;0;1;C-7;A1;#lick
13.5836734694;0.446984126984;4;1;9;4;1;0.328616780045;"""4/4""";70;6;1;1;C-7;A1;#lick
