onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.8693877551;0.269387755102;4;4;1;2;2;0.50612244898;"""4/4""";50;1;1;1;Gj7;A1;lick
6.1474829932;0.087074829932;4;4;1;2;4;0.50612244898;"""4/4""";49;1;0;1;Gj7;A1;lick
6.25197278912;0.0696598639456;4;4;1;3;1;0.50612244898;"""4/4""";48;1;0;1;Gj7;A1;lick
6.34485260771;0.603718820862;4;4;1;3;2;0.50612244898;"""4/4""";47;1;0;1;Gj7;A1;lick
6.97759637188;0.0783673469388;4;6;1;4;3;0.531541950113;"""4/4""";48;1;0;1;Gj7;A1;~line_a
7.06467120181;0.0841723356009;4;6;1;4;4;0.531541950113;"""4/4""";50;1;0;1;Gj7;A1;~line_a
7.15755102041;0.0986848072562;4;6;1;4;5;0.531541950113;"""4/4""";51;1;0;1;Gj7;A1;~line_a
7.25623582766;0.0493424036281;4;6;1;4;6;0.531541950113;"""4/4""";55;1;0;1;Gj7;A1;~line_a
7.30557823129;0.0725623582766;4;6;2;1;1;0.5210430839;"""4/4""";59;1;0;1;Gj7;A1;~line_a
7.37814058957;0.0754648526077;4;6;2;1;2;0.5210430839;"""4/4""";62;1;0;1;Gj7;A1;~line_a
7.45941043084;0.0667573696145;4;6;2;1;3;0.5210430839;"""4/4""";64;1;0;1;Gj7;A1;~line_a
7.55229024943;0.238004535147;4;6;2;1;4;0.5210430839;"""4/4""";67;1;0;1;Gj7;A1;~line_a
7.98185941043;0.261224489796;4;5;2;2;2;0.522925170068;"""4/4""";64;1;0;1;Gj7;A1;lick
8.30113378685;0.087074829932;4;5;2;2;5;0.522925170068;"""4/4""";55;1;0;1;Gj7;A1;lick
8.41142857143;0.464399092971;4;1;2;3;1;0.534603174603;"""4/4""";57;1;0;1;Gj7;A1;lick
9.05578231293;0.185759637188;4;4;2;4;2;0.501678004535;"""4/4""";67;1;0;1;Gj7;A1;lick
9.31700680272;0.174149659864;4;4;2;4;4;0.501678004535;"""4/4""";64;1;0;1;Gj7;A1;lick
9.55501133787;0.0638548752834;4;4;3;1;2;0.511383219955;"""4/4""";57;1;0;1;G-7;A1;lick
9.67111111111;0.261224489796;4;4;3;1;3;0.511383219955;"""4/4""";58;1;0;1;G-7;A1;lick
10.0310204082;0.116099773243;4;6;3;2;2;0.530793650794;"""4/4""";49;1;0;1;G-7;A1;lick
10.1587301587;0.087074829932;4;6;3;2;4;0.530793650794;"""4/4""";50;1;0;1;G-7;A1;lick
10.2690249433;0.0812698412698;4;6;3;2;5;0.530793650794;"""4/4""";51;1;0;1;G-7;A1;lick
10.3560997732;0.24380952381;4;6;3;2;6;0.530793650794;"""4/4""";57;1;0;1;G-7;A1;lick
10.6463492063;0.261224489796;4;2;3;3;2;0.511451247166;"""4/4""";54;1;0;1;G-7;A1;lick
11.0004535147;0.325079365079;4;1;3;4;1;0.526825396825;"""4/4""";55;1;0;1;G-7;A1;lick
11.9873015873;0.156734693878;4;4;4;2;1;0.511473922902;"""4/4""";45;2;1;1;C7;A1;lick
12.1556462585;0.0986848072562;4;4;4;2;2;0.511473922902;"""4/4""";46;2;0;1;C7;A1;lick
12.2775510204;0.139319727891;4;4;4;2;3;0.511473922902;"""4/4""";50;2;0;1;C7;A1;lick
12.4168707483;0.133514739229;4;4;4;2;4;0.511473922902;"""4/4""";53;2;0;1;C7;A1;lick
12.5503854875;0.0580498866213;4;4;4;3;1;0.519954648526;"""4/4""";58;2;0;1;C7;A1;lick
12.6142403628;0.156734693878;4;4;4;3;2;0.519954648526;"""4/4""";60;2;0;1;C7;A1;lick
12.8058049887;0.174149659864;4;4;4;3;3;0.519954648526;"""4/4""";58;2;0;1;C7;A1;lick
12.9799546485;0.168344671202;4;4;4;3;4;0.519954648526;"""4/4""";53;2;0;1;C7;A1;lick
