onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.71632653061;0.116326530612;4;2;-2;4;1;0.240907029478;"""4/4""";68;1;1;-1;F7;I1;line_w
3.85102040816;0.0938775510204;4;2;-2;4;2;0.240907029478;"""4/4""";67;1;0;-1;F7;I1;line_w
3.97142857143;0.116326530612;4;4;-1;1;2;0.263265306122;"""4/4""";66;1;0;-1;Bbj7;I1;line_w
4.12040816327;0.0622448979592;4;4;-1;1;4;0.263265306122;"""4/4""";64;1;0;-1;Bbj7;I1;line_w
4.18979591837;0.155102040816;4;3;-1;2;1;0.263265306122;"""4/4""";65;1;0;-1;Bbj7;I1;line_w
4.36020408163;0.144897959184;4;3;-1;2;3;0.263265306122;"""4/4""";64;1;0;-1;Bbj7;I1;line_w
4.50757369615;0.0565986394558;4;1;-1;3;1;0.257142857143;"""4/4""";63;1;0;-1;Bbj7;I1;line_w
4.68607709751;0.145124716553;4;2;-1;4;1;0.257142857143;"""4/4""";67;1;0;-1;Bbj7;I1;line_w
4.83845804989;0.124807256236;4;2;-1;4;2;0.257142857143;"""4/4""";66;1;0;-1;Bbj7;I1;line_w
4.97342403628;0.107392290249;4;2;0;1;1;0.240816326531;"""4/4""";65;1;0;-1;Bbj7;I1;line_w
5.09532879819;0.0783673469388;4;2;0;1;2;0.240816326531;"""4/4""";63;1;0;-1;Bbj7;I1;line_w
5.18965986395;0.130612244898;4;2;0;2;1;0.240816326531;"""4/4""";60;1;0;-1;Bbj7;I1;line_w
5.33333333333;0.108843537415;4;2;0;2;2;0.240816326531;"""4/4""";58;1;0;-1;Bbj7;I1;line_w
5.46829931973;0.0812698412698;4;2;0;3;1;0.234693877551;"""4/4""";57;1;0;-1;Bbj7;I1;line_w
5.55537414966;0.132063492063;4;2;0;3;2;0.234693877551;"""4/4""";66;1;0;-1;Bbj7;I1;line_w
5.70485260771;0.0957823129252;4;2;0;4;1;0.234693877551;"""4/4""";63;1;0;-1;Bbj7;I1;line_w
5.83256235828;0.0812698412698;4;2;0;4;2;0.234693877551;"""4/4""";64;1;0;-1;Bbj7;I1;line_w
5.96752834467;0.105941043084;4;2;1;1;1;0.251020408163;"""4/4""";65;1;0;1;Bbj7;A1;line_w
6.07782312925;0.114648526077;4;2;1;1;2;0.251020408163;"""4/4""";62;1;0;1;Bbj7;A1;line_w
6.2229478458;0.103038548753;4;4;1;2;2;0.251020408163;"""4/4""";58;1;0;1;Bbj7;A1;line_w
6.34920634921;0.0827210884354;4;4;1;2;4;0.251020408163;"""4/4""";55;1;0;1;Bbj7;A1;line_w
6.44934240363;0.130612244898;4;2;1;3;1;0.248979591837;"""4/4""";60;1;0;1;Bbj7;A1;line_w
6.59387755102;0.108163265306;4;2;1;3;2;0.248979591837;"""4/4""";58;1;0;1;Bbj7;A1;line_w
6.7112244898;0.0938775510204;4;2;1;4;1;0.248979591837;"""4/4""";57;1;0;1;Bbj7;A1;line_w
6.82857142857;0.101020408163;4;2;1;4;2;0.248979591837;"""4/4""";58;1;0;1;Bbj7;A1;line_w
6.96530612245;0.080612244898;4;3;2;1;2;0.23970521542;"""4/4""";59;1;0;1;Bo7;A1;line_w
7.05714285714;0.084693877551;4;3;2;1;3;0.23970521542;"""4/4""";60;1;0;1;Bo7;A1;line_w
7.16428571429;0.0959183673469;4;2;2;2;1;0.23970521542;"""4/4""";61;1;0;1;Bo7;A1;line_w
7.29106575964;0.117551020408;4;2;2;2;2;0.23970521542;"""4/4""";62;1;0;1;Bo7;A1;line_w
7.81859410431;0.0711111111111;4;4;2;4;4;0.241598639456;"""4/4""";59;2;1;1;G7;A1;line_a
7.90276643991;0.10231292517;4;2;3;1;1;0.250725623583;"""4/4""";60;2;0;1;C-7;A1;line_a
8.0210430839;0.0841723356009;4;2;3;1;2;0.250725623583;"""4/4""";62;2;0;1;C-7;A1;line_a
8.14875283447;0.0914285714286;4;1;3;2;1;0.250725623583;"""4/4""";63;2;0;1;C-7;A1;line_a
8.43029478458;0.0667573696145;4;2;3;3;1;0.249285714286;"""4/4""";67;2;0;1;C-7;A1;line_d
8.54058956916;0.0812698412698;4;2;3;3;2;0.249285714286;"""4/4""";63;2;0;1;C-7;A1;line_d
