onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.62222222222;0.174149659864;4;1;1;2;1;0.405578231293;"""4/4""";70;1;1;1;Bb7;A1;lick
5.05469387755;0.240907029478;4;1;1;3;1;0.405941043084;"""4/4""";70;1;0;1;Bb7;A1;lick
6.19537414966;0.233650793651;4;4;2;2;1;0.38612244898;"""4/4""";70;1;0;1;Eb7;A1;lick
6.52335600907;0.184308390023;4;4;2;2;4;0.38612244898;"""4/4""";73;1;0;1;Eb7;A1;lick
6.8673015873;0.134965986395;4;2;2;3;2;0.415646258503;"""4/4""";70;1;0;1;Eb7;A1;lick
7.05596371882;0.208979591837;4;2;2;4;1;0.413514739229;"""4/4""";67;1;0;1;Eb7;A1;lick
7.30408163265;0.432653061224;4;2;2;4;2;0.413514739229;"""4/4""";65;1;0;1;Eb7;A1;lick
9.05433106576;0.21768707483;4;2;4;1;1;0.398231292517;"""4/4""";68;2;1;1;Bb7;A1;lick
9.28798185941;0.124807256236;4;2;4;1;2;0.398231292517;"""4/4""";70;2;0;1;Bb7;A1;lick
9.45632653061;0.222040816327;4;2;4;2;1;0.403492063492;"""4/4""";68;2;0;1;Bb7;A1;lick
9.68997732426;0.133514739229;4;2;4;2;2;0.403492063492;"""4/4""";70;2;0;1;Bb7;A1;lick
9.86993197279;0.224943310658;4;2;4;3;1;0.41664399093;"""4/4""";67;2;0;1;Bb7;A1;lick
10.1224489796;0.165442176871;4;2;4;3;2;0.41664399093;"""4/4""";65;2;0;1;Bb7;A1;lick
10.4780045351;0.203174603175;4;2;4;4;2;0.395260770975;"""4/4""";73;2;0;1;Bb7;A1;lick
10.8741950113;0.539863945578;4;2;5;1;2;0.387755102041;"""4/4""";67;2;0;1;Eb7;A1;lick
12.4546031746;0.130612244898;4;2;6;1;2;0.396054421769;"""4/4""";73;3;1;1;Eb7;A1;lick
12.6287528345;0.193015873016;4;2;6;2;1;0.388390022676;"""4/4""";75;3;0;1;Eb7;A1;lick
12.8595011338;0.133514739229;4;2;6;2;2;0.388390022676;"""4/4""";77;3;0;1;Eb7;A1;lick
13.0510657596;0.187210884354;4;1;6;3;1;0.403650793651;"""4/4""";70;3;0;1;Eb7;A1;lick
13.4298412698;0.187210884354;4;3;6;4;1;0.388344671202;"""4/4""";73;3;0;1;Eb7;A1;lick
13.6794557823;0.132063492063;4;3;6;4;3;0.388344671202;"""4/4""";74;3;0;1;Eb7;A1;lick
13.8332879819;0.201723356009;4;3;7;1;1;0.40589569161;"""4/4""";70;3;0;1;Bb7;A1;lick
14.088707483;0.12335600907;4;3;7;1;3;0.40589569161;"""4/4""";65;3;0;1;Bb7;A1;lick
14.2367346939;0.21768707483;4;3;7;2;1;0.395873015873;"""4/4""";63;3;0;1;Bb7;A1;lick
14.5037641723;0.0986848072562;4;3;7;2;3;0.395873015873;"""4/4""";60;3;0;1;Bb7;A1;lick
14.6256689342;0.223492063492;4;3;7;3;1;0.405963718821;"""4/4""";62;3;0;1;Bb7;A1;lick
14.8854421769;0.460045351474;4;3;7;3;3;0.405963718821;"""4/4""";65;3;0;1;Bb7;A1;lick
15.841814059;0.240907029478;4;3;8;2;1;0.396031746032;"""4/4""";74;4;1;1;D-7;A1;lick
16.1015873016;0.111746031746;4;3;8;2;3;0.396031746032;"""4/4""";72;4;0;1;D-7;A1;lick
16.2351020408;0.606621315193;4;1;8;3;1;0.395623582766;"""4/4""";73;4;0;1;G7;A1;lick
16.8547845805;0.184308390023;4;2;8;4;2;0.416734693878;"""4/4""";71;4;0;1;G7;A1;lick
17.0710204082;0.174149659864;4;2;9;1;1;0.40358276644;"""4/4""";72;4;0;1;C-7;A1;lick
17.2945124717;0.491972789116;4;2;9;1;2;0.40358276644;"""4/4""";63;4;0;1;C-7;A1;lick
18.5977324263;0.198820861678;4;2;10;1;1;0.386303854875;"""4/4""";70;5;1;1;F7;A1;lick_blues
18.8342857143;0.140770975057;4;2;10;1;2;0.386303854875;"""4/4""";73;5;0;1;F7;A1;lick_blues
18.9997278912;0.207528344671;4;2;10;2;1;0.388458049887;"""4/4""";74;5;0;1;F7;A1;lick_blues
