onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
2.09387755102;0.0877551020408;4;1;0;3;1;0.162222222222;"""4/4""";74;1;1;-1;NC;I1;lick
2.27142857143;0.0857142857143;4;1;0;4;1;0.162222222222;"""4/4""";74;1;0;-1;NC;I1;lick
2.43265306122;0.118367346939;4;1;1;1;1;0.166950113379;"""4/4""";74;1;0;1;G-;A1;lick
2.58775510204;0.1;4;1;1;2;1;0.166950113379;"""4/4""";74;1;0;1;G-;A1;lick
2.75510204082;0.128571428571;4;1;1;3;1;0.153786848073;"""4/4""";74;1;0;1;G-;A1;lick
3.18163265306;0.065306122449;4;2;2;1;2;0.171009070295;"""4/4""";70;2;1;1;G-;A1;lick
3.24693877551;0.0673469387755;4;2;2;2;1;0.171009070295;"""4/4""";72;2;0;1;G-;A1;lick
3.32244897959;0.0551020408163;4;2;2;2;2;0.171009070295;"""4/4""";73;2;0;1;G-;A1;lick
3.38979591837;0.0816326530612;4;1;2;3;1;0.160260770975;"""4/4""";74;2;0;1;G-;A1;lick
3.54081632653;0.120408163265;4;1;2;4;1;0.160260770975;"""4/4""";70;2;0;1;G-;A1;lick
3.72857142857;0.120408163265;4;1;3;1;1;0.161009070295;"""4/4""";69;2;0;1;D7;A1;lick
3.95174603175;0.107392290249;4;2;3;2;2;0.161009070295;"""4/4""";69;2;0;1;D7;A1;lick
4.61020408163;0.116326530612;4;2;4;2;2;0.15306122449;"""4/4""";72;3;1;1;D7;A1;#-lick
4.78621315193;0.0957823129252;4;2;4;3;2;0.15306122449;"""4/4""";72;3;0;1;D7;A1;#-lick
4.95891156463;0.105941043084;4;4;5;1;1;0.167879818594;"""4/4""";72;3;0;1;D7;A1;#-lick
5.11854875283;0.0638548752834;4;4;5;1;4;0.167879818594;"""4/4""";72;3;0;1;D7;A1;#-lick
5.21287981859;0.0667573696145;4;2;5;2;2;0.167879818594;"""4/4""";72;3;0;1;D7;A1;#-lick
5.29995464853;0.0536961451247;4;2;5;3;1;0.158594104308;"""4/4""";72;3;0;1;D7;A1;#-lick
5.36380952381;0.0711111111111;4;2;5;3;2;0.158594104308;"""4/4""";72;3;0;1;D7;A1;#-lick
5.46249433107;0.0449886621315;4;2;5;4;1;0.158594104308;"""4/4""";72;3;0;1;D7;A1;#-lick
5.52489795918;0.065306122449;4;2;5;4;2;0.158594104308;"""4/4""";72;3;0;1;D7;A1;#-lick
5.62793650794;0.065306122449;4;2;6;1;1;0.159977324263;"""4/4""";72;3;0;1;D7;A1;#-lick
5.72662131519;0.0449886621315;4;2;6;1;2;0.159977324263;"""4/4""";72;3;0;1;D7;A1;#-lick
5.78757369615;0.104489795918;4;3;6;2;1;0.159977324263;"""4/4""";71;3;0;1;D7;A1;#-lick
5.90077097506;0.0420861678005;4;3;6;2;3;0.159977324263;"""4/4""";72;3;0;1;D7;A1;#-lick
5.95446712018;0.127709750567;4;1;6;3;1;0.163741496599;"""4/4""";74;3;0;1;D7;A1;#-lick
6.15038548753;0.137868480726;4;1;6;4;1;0.163741496599;"""4/4""";70;3;0;1;D7;A1;#-lick
6.31002267574;0.119002267574;4;1;7;1;1;0.160907029478;"""4/4""";67;3;0;1;G-;A1;#-lick
6.5806122449;0.0897959183673;4;1;7;3;1;0.178310657596;"""4/4""";64;3;0;1;G-;A1;#-lick
7.19591836735;0.251020408163;4;2;8;2;2;0.17589569161;"""4/4""";74;4;1;1;G-;A1;rhythm_mi
7.48367346939;0.065306122449;4;3;8;4;1;0.175408163265;"""4/4""";73;4;0;1;D7;A1;rhythm_mi
7.54897959184;0.0673469387755;4;3;8;4;2;0.175408163265;"""4/4""";74;4;0;1;D7;A1;rhythm_mi
7.63673469388;0.0714285714286;4;2;9;1;1;0.163922902494;"""4/4""";73;4;0;1;D7;A1;rhythm_mi
7.73265306122;0.0591836734694;4;2;9;1;2;0.163922902494;"""4/4""";74;4;0;1;G-;A2;rhythm_mi
7.81786848073;0.0507936507937;4;3;9;2;1;0.163922902494;"""4/4""";73;4;0;1;G-;A2;rhythm_mi
7.87882086168;0.0624036281179;4;3;9;2;2;0.163922902494;"""4/4""";74;4;0;1;G-;A2;rhythm_mi
7.94702947846;0.124807256236;4;3;9;2;3;0.163922902494;"""4/4""";75;4;0;1;G-;A2;rhythm_mi
8.07328798186;0.0609523809524;4;2;9;3;2;0.165702947846;"""4/4""";74;4;0;1;G-;A2;rhythm_mi
8.14004535147;0.100136054422;4;2;9;4;1;0.165702947846;"""4/4""";75;4;0;1;G-;A2;rhythm_mi
8.2401814059;0.0522448979592;4;2;9;4;2;0.165702947846;"""4/4""";74;4;0;1;G-;A2;rhythm_mi
8.30693877551;0.06820861678;4;2;10;1;1;0.158185941043;"""4/4""";73;4;0;1;G-;A2;rhythm_mi
8.38965986395;0.0711111111111;4;2;10;1;2;0.158185941043;"""4/4""";74;4;0;1;G-;A2;rhythm_mi
8.47528344671;0.0812698412698;4;2;10;2;1;0.158185941043;"""4/4""";73;4;0;1;G-;A2;rhythm_mi
8.56235827664;0.0725623582766;4;2;10;2;2;0.158185941043;"""4/4""";74;4;0;1;G-;A2;rhythm_mi
8.63637188209;0.108843537415;4;4;10;3;1;0.153832199546;"""4/4""";75;4;0;1;G-;A2;rhythm_mi
8.75247165533;0.0667573696145;4;4;10;3;4;0.153832199546;"""4/4""";74;4;0;1;G-;A2;rhythm_mi
8.83083900227;0.0827210884354;4;4;10;4;2;0.153832199546;"""4/4""";75;4;0;1;G-;A2;rhythm_mi
8.9135600907;0.0565986394558;4;4;10;4;4;0.153832199546;"""4/4""";74;4;0;1;G-;A2;rhythm_mi
8.98031746032;0.0696598639456;4;4;11;1;2;0.15529478458;"""4/4""";73;4;0;1;D7;A2;rhythm_mi
9.06594104308;0.0667573696145;4;4;11;1;4;0.15529478458;"""4/4""";74;4;0;1;D7;A2;rhythm_mi
9.13850340136;0.0841723356009;4;1;11;2;1;0.15529478458;"""4/4""";73;4;0;1;D7;A2;rhythm_mi
9.23138321995;0.0522448979592;4;2;11;3;1;0.160646258503;"""4/4""";74;4;0;1;D7;A2;rhythm_mi
9.30249433107;0.0856235827664;4;2;11;3;2;0.160646258503;"""4/4""";75;4;0;1;D7;A2;rhythm_mi
9.39537414966;0.0667573696145;4;2;11;4;1;0.160646258503;"""4/4""";74;4;0;1;D7;A2;rhythm_mi
9.46358276644;0.0798185941043;4;2;11;4;2;0.160646258503;"""4/4""";75;4;0;1;D7;A2;rhythm_mi
9.55065759637;0.0609523809524;4;4;12;1;1;0.164637188209;"""4/4""";74;4;0;1;D7;A2;rhythm_mi
9.62612244898;0.0769160997732;4;4;12;1;2;0.164637188209;"""4/4""";73;4;0;1;D7;A2;rhythm_mi
9.71464852608;0.0565986394558;4;4;12;1;4;0.164637188209;"""4/4""";74;4;0;1;D7;A2;rhythm_mi
9.78866213152;0.0725623582766;4;1;12;2;1;0.164637188209;"""4/4""";73;4;0;1;D7;A2;rhythm_mi
9.88734693878;0.0362811791383;4;4;12;3;1;0.162630385488;"""4/4""";76;4;0;1;D7;A2;rhythm_mi
9.92798185941;0.0914285714286;4;4;12;3;2;0.162630385488;"""4/4""";75;4;0;1;D7;A2;rhythm_mi
10.0324716553;0.0638548752834;4;4;12;3;4;0.162630385488;"""4/4""";74;4;0;1;D7;A2;rhythm_mi
10.1021315193;0.0986848072562;4;1;12;4;1;0.162630385488;"""4/4""";75;4;0;1;D7;A2;rhythm_mi
10.2066213152;0.0565986394558;4;4;13;1;1;0.168605442177;"""4/4""";74;4;0;1;D7;A2;rhythm_mi
10.2733786848;0.0711111111111;4;4;13;1;2;0.168605442177;"""4/4""";73;4;0;1;D7;A2;rhythm_mi
10.3590022676;0.0725623582766;4;4;13;1;4;0.168605442177;"""4/4""";74;4;0;1;D7;A2;rhythm_mi
10.4460770975;0.0812698412698;4;1;13;2;1;0.168605442177;"""4/4""";73;4;0;1;D7;A2;rhythm_mi
10.5433106576;0.0595011337868;4;2;13;3;1;0.165102040816;"""4/4""";74;4;0;1;D7;A2;rhythm_mi
10.6187755102;0.0957823129252;4;2;13;3;2;0.165102040816;"""4/4""";75;4;0;1;D7;A2;rhythm_mi
10.721814059;0.0507936507937;4;2;13;4;1;0.165102040816;"""4/4""";74;4;0;1;D7;A2;rhythm_mi
10.7914739229;0.0957823129252;4;2;13;4;2;0.165102040816;"""4/4""";75;4;0;1;D7;A2;rhythm_mi
10.888707483;0.0507936507937;4;3;14;1;1;0.169126984127;"""4/4""";74;4;0;1;D7;A2;rhythm_mi
10.9598185941;0.0580498866213;4;3;14;1;2;0.169126984127;"""4/4""";73;4;0;1;D7;A2;rhythm_mi
11.0309297052;0.065306122449;4;3;14;1;3;0.169126984127;"""4/4""";74;4;0;1;D7;A2;rhythm_mi
11.1107482993;0.0595011337868;4;3;14;2;2;0.169126984127;"""4/4""";73;4;0;1;D7;A2;rhythm_mi
11.1731519274;0.0740136054422;4;3;14;2;3;0.169126984127;"""4/4""";74;4;0;1;D7;A2;rhythm_mi
11.2703854875;0.0957823129252;4;2;14;3;1;0.174285714286;"""4/4""";75;4;0;1;D7;A2;rhythm_mi
11.3734240363;0.0783673469388;4;2;14;3;2;0.174285714286;"""4/4""";74;4;0;1;D7;A2;rhythm_mi
11.4574603175;0.0404081632653;4;4;14;4;2;0.174285714286;"""4/4""";73;4;0;1;D7;A2;rhythm_mi
11.5040362812;0.0725623582766;4;4;14;4;3;0.174285714286;"""4/4""";70;4;0;1;D7;A2;rhythm_mi
11.5896598639;0.156734693878;4;1;15;1;1;0.175476190476;"""4/4""";67;4;0;1;G-;A2;rhythm_mi
11.949569161;0.143673469388;4;1;15;3;1;0.162369614512;"""4/4""";69;4;0;1;A7;A2;lick
12.2790022676;0.133514739229;4;1;16;1;1;0.171848072562;"""4/4""";74;4;0;1;D7;A2;lick
12.6548752834;0.0624036281179;4;3;16;3;2;0.174160997732;"""4/4""";70;5;1;1;D7;A2;lick
12.7201814059;0.0595011337868;4;3;16;3;3;0.174160997732;"""4/4""";69;5;0;1;D7;A2;lick
12.7883900227;0.0841723356009;4;2;16;4;1;0.174160997732;"""4/4""";67;5;0;1;D7;A2;lick
12.8812698413;0.06820861678;4;2;16;4;2;0.174160997732;"""4/4""";64;5;0;1;D7;A2;lick
12.9712471655;0.0885260770975;4;1;17;1;1;0.166054421769;"""4/4""";63;5;0;1;G;B1;lick
13.6170521542;0.0638548752834;4;2;18;1;1;0.169047619048;"""4/4""";70;6;1;1;G;B1;#lick
13.6823582766;0.065306122449;4;2;18;1;2;0.169047619048;"""4/4""";69;6;0;1;G;B1;#lick
13.7578231293;0.087074829932;4;2;18;2;1;0.169047619048;"""4/4""";67;6;0;1;G;B1;#lick
13.8652154195;0.0580498866213;4;2;18;2;2;0.169047619048;"""4/4""";64;6;0;1;G;B1;#lick
13.9595464853;0.114648526077;4;1;18;3;1;0.164081632653;"""4/4""";62;6;0;1;G;B1;#lick
14.1191836735;0.133514739229;4;1;18;4;1;0.164081632653;"""4/4""";64;6;0;1;G;B1;#lick
14.2860770975;0.126258503401;4;1;19;1;1;0.177675736961;"""4/4""";67;6;0;1;G;B1;#lick
14.5458503401;0.0725623582766;4;2;19;2;2;0.177675736961;"""4/4""";69;6;0;1;G;B1;#lick
15.2598639456;0.0928798185941;4;2;20;3;1;0.168015873016;"""4/4""";70;7;1;1;G7;B1;#lick
15.3541950113;0.0725623582766;4;2;20;3;2;0.168015873016;"""4/4""";69;7;0;1;G7;B1;#lick
15.4383673469;0.0856235827664;4;2;20;4;1;0.168015873016;"""4/4""";67;7;0;1;G7;B1;#lick
15.5370521542;0.0711111111111;4;2;20;4;2;0.168015873016;"""4/4""";64;7;0;1;G7;B1;#lick
15.6234693878;0.153832199546;4;1;21;1;1;0.163526077098;"""4/4""";62;7;0;1;C7;B1;#lick
16.2960544218;0.0638548752834;4;2;22;1;1;0.160068027211;"""4/4""";70;8;1;1;C7;B1;#lick
16.3700680272;0.0711111111111;4;2;22;1;2;0.160068027211;"""4/4""";69;8;0;1;C7;B1;#lick
