onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.44816326531;0.240907029478;4;1;1;1;1;0.268117913832;"""4/4""";70;1;1;1;Bb6;A1;lick
3.94448979592;0.223492063492;4;1;1;3;1;0.230022675737;"""4/4""";70;1;0;1;Bb6;A1;lick
4.33052154195;0.319274376417;4;2;1;4;2;0.248639455782;"""4/4""";70;1;0;1;Bb6;A1;lick
5.89786848073;0.111746031746;4;3;3;3;1;0.231088435374;"""4/4""";70;2;1;1;Eb79;A1;lick
6.04299319728;0.114648526077;4;3;3;3;3;0.231088435374;"""4/4""";72;2;0;1;Eb79;A1;lick
6.27229024943;0.107392290249;4;2;3;4;2;0.230181405896;"""4/4""";73;2;0;1;Eb79;A1;lick
6.51174603175;0.101587301587;4;2;4;1;2;0.230929705215;"""4/4""";70;2;0;1;Eb79;A1;lick
6.72798185941;0.11029478458;4;2;4;2;2;0.240022675737;"""4/4""";70;2;0;1;Eb79;A1;lick
6.84698412698;0.0602267573696;4;3;4;3;1;0.240839002268;"""4/4""";69;2;0;1;Eb79;A1;lick
6.92172335601;0.0667573696145;4;3;4;3;2;0.240839002268;"""4/4""";69;2;0;1;Eb79;A1;lick
7.00371882086;0.0732879818594;4;3;4;3;3;0.240839002268;"""4/4""";68;2;0;1;Eb79;A1;lick
7.09369614512;0.10231292517;4;2;4;4;1;0.258344671202;"""4/4""";67;2;0;1;Eb79;A1;lick
7.24099773243;0.0740136054422;4;2;4;4;2;0.258344671202;"""4/4""";65;2;0;1;Eb79;A1;lick
7.33024943311;0.173424036281;4;1;5;1;1;0.23768707483;"""4/4""";64;2;0;1;C7;A1;lick
8.29183673469;0.137868480726;4;2;6;1;1;0.238526077098;"""4/4""";73;3;1;1;C7;A1;line_w
8.44988662132;0.0790929705215;4;2;6;1;2;0.238526077098;"""4/4""";74;3;0;1;C-7;A1;line_w
8.54131519274;0.142222222222;4;3;6;2;1;0.249863945578;"""4/4""";75;3;0;1;C-7;A1;line_w
8.70167800454;0.089977324263;4;3;6;2;3;0.249863945578;"""4/4""";76;3;0;1;C-7;A1;line_w
8.80761904762;0.131337868481;4;2;6;3;1;0.248321995465;"""4/4""";77;3;0;1;F7;A1;line_w
8.95854875283;0.0885260770975;4;2;6;3;2;0.248321995465;"""4/4""";75;3;0;1;F7;A1;line_w
9.05868480726;0.117551020408;4;2;6;4;1;0.248548752834;"""4/4""";72;3;0;1;F7;A1;line_w
9.20612244898;0.0683673469388;4;2;6;4;2;0.248548752834;"""4/4""";70;3;0;1;F7;A1;line_w
