onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.83709750567;0.121904761905;4;4;2;2;4;0.205408163265;"""4/4""";62;1;1;1;G6;A1;lick
3.96770975057;0.107392290249;4;2;2;3;2;0.207902494331;"""4/4""";64;1;0;1;G6;A1;lick
4.08090702948;0.087074829932;4;2;2;4;1;0.207902494331;"""4/4""";65;1;0;1;G6;A1;lick
4.17378684807;0.174149659864;4;2;2;4;2;0.207902494331;"""4/4""";66;1;0;1;G6;A1;lick
4.35083900227;0.156734693878;4;2;3;1;2;0.206950113379;"""4/4""";67;1;0;1;Gj7;A1;lick
4.51755102041;0.191020408163;4;1;3;2;1;0.206950113379;"""4/4""";69;1;0;1;Gj7;A1;lick
4.74448979592;0.202448979592;4;1;3;3;1;0.21783446712;"""4/4""";66;1;0;1;Gj7;A1;lick
4.95673469388;0.200816326531;4;1;3;4;1;0.21783446712;"""4/4""";67;1;0;1;Gj7;A1;lick
5.2506122449;0.556734693878;4;2;4;1;2;0.20873015873;"""4/4""";62;1;0;1;G6;A1;lick
5.83020408163;0.0620408163265;4;3;4;4;2;0.207233560091;"""4/4""";61;1;0;1;G6;A1;lick
5.90367346939;0.10612244898;4;3;4;4;3;0.207233560091;"""4/4""";62;1;0;1;G6;A1;lick
6.05224489796;0.768979591837;4;2;5;1;2;0.195090702948;"""4/4""";55;1;0;1;G-7;A1;lick
6.97306122449;0.0751020408163;4;2;6;2;1;0.207936507937;"""4/4""";62;1;0;1;G-6;A1;lick
7.0612244898;0.0816326530612;4;2;6;2;2;0.207936507937;"""4/4""";64;1;0;1;G-6;A1;lick
7.15464852608;0.0783673469388;4;2;6;3;1;0.209138321995;"""4/4""";66;1;0;1;G-6;A1;lick
7.23591836735;0.130612244898;4;2;6;3;2;0.209138321995;"""4/4""";67;1;0;1;G-6;A1;lick
