onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
2.30458049887;0.35410430839;4;4;0;1;4;0.407437641723;"""4/4""";58;1;1;-1;NC;I1;lick
2.71092970522;0.313469387755;4;2;0;2;2;0.414013605442;"""4/4""";60;1;0;-1;NC;I1;lick
3.07664399093;0.133514739229;4;2;0;3;2;0.39283446712;"""4/4""";62;1;0;-1;NC;I1;lick
3.25659863946;0.174149659864;4;2;0;4;1;0.39410430839;"""4/4""";55;1;0;-1;NC;I1;lick
3.43655328798;0.139319727891;4;2;0;4;2;0.39410430839;"""4/4""";58;1;0;-1;NC;I1;lick
3.63392290249;0.19156462585;4;2;1;1;1;0.395306122449;"""4/4""";60;1;0;1;G7;A1;lick
3.86612244898;0.150929705215;4;2;1;1;2;0.395306122449;"""4/4""";58;1;0;1;G7;A1;lick
4.02866213152;0.197369614512;4;3;1;2;1;0.367868480726;"""4/4""";55;1;0;1;G7;A1;lick
4.27827664399;0.133514739229;4;3;1;2;3;0.367868480726;"""4/4""";53;1;0;1;G7;A1;lick
4.44081632653;0.24380952381;4;1;1;3;1;0.413242630385;"""4/4""";55;1;0;1;G7;A1;lick
5.21632653061;0.065306122449;4;3;2;1;1;0.353492063492;"""4/4""";71;2;1;1;C7;A1;theme:t2
5.28979591837;0.142857142857;4;3;2;1;2;0.353492063492;"""4/4""";64;2;0;1;C7;A1;theme:t2
5.44489795918;0.171428571429;4;3;2;1;3;0.353492063492;"""4/4""";62;2;0;1;C7;A1;theme:t2
5.62857142857;0.240816326531;4;6;2;2;2;0.391700680272;"""4/4""";64;2;0;1;C7;A1;theme:t2
5.90204081633;0.130612244898;4;6;2;2;6;0.391700680272;"""4/4""";62;2;0;1;C7;A1;theme:t2
6.05306122449;0.330612244898;4;2;2;3;2;0.391995464853;"""4/4""";64;2;0;1;C7;A1;theme:t2
6.40408163265;0.142857142857;4;1;2;4;1;0.40746031746;"""4/4""";62;2;0;1;C7;A1;theme:t2
6.79183673469;0.257142857143;4;1;3;1;1;0.430793650794;"""4/4""";55;2;0;1;G7;A1;theme:t2
7.54693877551;0.195918367347;4;3;3;3;1;0.375124716553;"""4/4""";55;3;1;1;G7;A1;lick
7.81224489796;0.138775510204;4;3;3;3;3;0.375124716553;"""4/4""";58;3;0;1;G7;A1;lick
7.97959183673;0.195918367347;4;2;3;4;1;0.397505668934;"""4/4""";55;3;0;1;G7;A1;lick
8.19183673469;0.232653061224;4;2;3;4;2;0.397505668934;"""4/4""";60;3;0;1;G7;A1;lick
8.57959183673;0.187755102041;4;2;4;1;2;0.385124716553;"""4/4""";55;3;0;1;C7;A1;lick
8.78775510204;0.314285714286;4;1;4;2;1;0.408095238095;"""4/4""";58;3;0;1;C7;A1;lick
9.17551020408;0.187755102041;4;2;4;3;1;0.345804988662;"""4/4""";53;3;0;1;C7;A1;lick
9.36326530612;0.10612244898;4;2;4;3;2;0.345804988662;"""4/4""";55;3;0;1;C7;A1;lick
9.50612244898;0.228571428571;4;2;4;4;1;0.394263038549;"""4/4""";50;3;0;1;C7;A1;lick
9.73469387755;0.114285714286;4;2;4;4;2;0.394263038549;"""4/4""";53;3;0;1;C7;A1;lick
9.87755102041;0.204081632653;4;3;5;1;1;0.378775510204;"""4/4""";48;3;0;1;G7;A1;lick
10.1306122449;0.142857142857;4;3;5;1;3;0.378775510204;"""4/4""";50;3;0;1;G7;A1;lick
10.3020408163;0.355102040816;4;1;5;2;1;0.375782312925;"""4/4""";53;3;0;1;G7;A1;lick
10.7020408163;0.163265306122;4;4;5;3;2;0.371156462585;"""4/4""";55;3;0;1;G7;A1;lick
10.8857142857;0.110204081633;4;4;5;3;4;0.371156462585;"""4/4""";58;3;0;1;G7;A1;lick
11.0367346939;0.220408163265;4;2;5;4;1;0.378662131519;"""4/4""";53;3;0;1;G7;A1;lick
11.2571428571;0.714285714286;4;2;5;4;2;0.378662131519;"""4/4""";55;3;0;1;G7;A1;lick
12.0;0.126530612245;4;2;6;2;2;0.396054421769;"""4/4""";53;3;0;1;C7;A1;lick
12.1510204082;0.351020408163;4;1;6;3;1;0.369727891156;"""4/4""";55;3;0;1;C7;A1;lick
12.5551020408;0.191836734694;4;1;6;4;1;0.386825396825;"""4/4""";58;3;0;1;C7;A1;lick
13.3265306122;0.163265306122;4;2;7;2;1;0.428117913832;"""4/4""";55;4;1;1;G7;A1;lick
13.5265306122;0.159183673469;4;2;7;2;2;0.428117913832;"""4/4""";50;4;0;1;G7;A1;lick
13.7102040816;0.204081632653;4;2;7;3;1;0.405011337868;"""4/4""";53;4;0;1;G7;A1;lick
13.9387755102;0.2;4;2;7;3;2;0.405011337868;"""4/4""";55;4;0;1;G7;A1;lick
14.2653061224;0.195918367347;4;2;7;4;2;0.365714285714;"""4/4""";55;4;0;1;G7;A1;lick
14.6734693878;0.179591836735;4;2;8;1;2;0.386575963719;"""4/4""";62;4;0;1;C7;A1;lick
15.0530612245;0.114285714286;4;2;8;2;2;0.373469387755;"""4/4""";64;4;0;1;C7;A1;lick
15.2408163265;0.183673469388;4;1;8;3;1;0.360317460317;"""4/4""";65;4;0;1;C7;A1;lick
15.5836734694;0.2;4;1;8;4;1;0.393900226757;"""4/4""";67;4;0;1;C7;A1;lick
16.0326530612;0.224489795918;4;1;9;1;1;0.406281179138;"""4/4""";62;4;0;1;G7;A1;lick
16.7714285714;0.232653061224;4;2;9;3;1;0.389229024943;"""4/4""";60;5;1;1;G7;A1;lick
17.0081632653;0.155102040816;4;2;9;3;2;0.389229024943;"""4/4""";62;5;0;1;G7;A1;lick
17.1714285714;0.212244897959;4;2;9;4;1;0.400090702948;"""4/4""";60;5;0;1;G7;A1;lick
17.4040816327;0.212244897959;4;2;9;4;2;0.400090702948;"""4/4""";55;5;0;1;G7;A1;lick
17.6163265306;0.277551020408;4;1;10;1;1;0.400249433107;"""4/4""";58;5;0;1;C7;A1;lick
17.906122449;0.0489795918367;4;4;10;2;1;0.411088435374;"""4/4""";57;5;0;1;C7;A1;lick
17.9551020408;0.2;4;4;10;2;2;0.411088435374;"""4/4""";58;5;0;1;C7;A1;lick
18.1918367347;0.183673469388;4;4;10;2;4;0.411088435374;"""4/4""";60;5;0;1;C7;A1;lick
18.5591836735;0.204081632653;4;2;10;3;2;0.412426303855;"""4/4""";55;5;0;1;C7;A1;lick
18.7673469388;0.208163265306;4;1;10;4;1;0.388616780045;"""4/4""";58;5;0;1;C7;A1;lick
19.5510204082;0.208163265306;4;2;11;2;1;0.426303854875;"""4/4""";70;6;1;1;G7;A1;lick
19.7632653061;0.118367346939;4;2;11;2;2;0.426303854875;"""4/4""";67;6;0;1;G7;A1;lick
20.1510204082;0.212244897959;4;2;11;3;2;0.360272108844;"""4/4""";70;6;0;1;G7;A1;lick
20.5469387755;0.163265306122;4;2;11;4;2;0.393424036281;"""4/4""";67;6;0;1;G7;A1;lick
20.7224489796;0.14693877551;4;3;12;1;1;0.384376417234;"""4/4""";65;6;0;1;C7;A1;lick
20.8693877551;0.0612244897959;4;3;12;1;2;0.384376417234;"""4/4""";64;6;0;1;C7;A1;lick
20.9387755102;0.142857142857;4;3;12;1;3;0.384376417234;"""4/4""";65;6;0;1;C7;A1;lick
21.0816326531;0.273469387755;4;1;12;2;1;0.383945578231;"""4/4""";62;6;0;1;C7;A1;lick
21.7142857143;0.0979591836735;4;4;12;3;3;0.399274376417;"""4/4""";61;7;1;1;C7;A1;lick
21.8163265306;0.0367346938776;4;4;12;3;4;0.399274376417;"""4/4""";60;7;0;1;C7;A1;lick
21.8734693878;0.0571428571429;4;4;12;4;1;0.409206349206;"""4/4""";58;7;0;1;C7;A1;lick
21.9551020408;0.326530612245;4;4;12;4;2;0.409206349206;"""4/4""";55;7;0;1;C7;A1;lick
22.3183673469;0.212244897959;4;2;13;1;1;0.390884353741;"""4/4""";58;7;0;1;G7;A1;lick
22.5551020408;0.318367346939;4;2;13;1;2;0.390884353741;"""4/4""";53;7;0;1;G7;A1;lick
22.9265306122;0.375510204082;4;2;13;2;2;0.370136054422;"""4/4""";55;7;0;1;G7;A1;lick
23.3142857143;0.134693877551;4;2;13;3;2;0.413287981859;"""4/4""";58;7;0;1;G7;A1;lick
23.4857142857;0.187755102041;4;2;13;4;1;0.364965986395;"""4/4""";55;7;0;1;G7;A1;lick
23.6734693878;0.122448979592;4;2;13;4;2;0.364965986395;"""4/4""";58;7;0;1;G7;A1;lick
23.8530612245;0.208163265306;4;2;14;1;1;0.422562358277;"""4/4""";60;7;0;1;C7;A1;lick
24.1020408163;0.138775510204;4;2;14;1;2;0.422562358277;"""4/4""";55;7;0;1;C7;A1;lick
24.2448979592;0.155102040816;4;2;14;2;1;0.372857142857;"""4/4""";58;7;0;1;C7;A1;lick
24.4653061224;0.191836734694;4;2;14;2;2;0.372857142857;"""4/4""";53;7;0;1;C7;A1;lick
24.6571428571;0.355102040816;4;1;14;3;1;0.386757369615;"""4/4""";55;7;0;1;C7;A1;lick
25.0448979592;0.195918367347;4;1;14;4;1;0.38664399093;"""4/4""";58;7;0;1;C7;A1;lick
26.1510204082;0.0857142857143;4;6;15;2;6;0.39947845805;"""4/4""";64;8;1;1;G7;A1;lick
26.2367346939;0.179591836735;4;2;15;3;1;0.354807256236;"""4/4""";65;8;0;1;G7;A1;lick
26.4163265306;0.122448979592;4;2;15;3;2;0.354807256236;"""4/4""";67;8;0;1;G7;A1;lick
26.7306122449;0.730612244898;4;2;15;4;2;0.367074829932;"""4/4""";67;8;0;1;G7;A1;lick
27.5142857143;0.118367346939;4;2;16;2;2;0.379342403628;"""4/4""";65;8;0;1;C7;A1;lick
27.6408163265;0.363265306122;4;1;16;3;1;0.344943310658;"""4/4""";62;8;0;1;C7;A1;lick
28.0408163265;0.175510204082;4;1;16;4;1;0.378253968254;"""4/4""";65;8;0;1;C7;A1;lick
