onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.04761904762;0.127709750567;4;2;1;1;2;0.266893424036;"""4/4""";67;1;1;1;C69;A1;line_w_d
3.18693877551;0.153832199546;4;2;1;2;1;0.277664399093;"""4/4""";71;1;0;1;C69;A1;line_w_d
3.35818594104;0.133514739229;4;2;1;2;2;0.277664399093;"""4/4""";72;1;0;1;C69;A1;line_w_d
3.49170068027;0.159637188209;4;2;1;3;1;0.293265306122;"""4/4""";71;1;0;1;C69;A1;line_w_d
3.65714285714;0.127709750567;4;2;1;3;2;0.293265306122;"""4/4""";69;1;0;1;C69;A1;line_w_d
3.7935600907;0.130612244898;4;2;1;4;1;0.286213151927;"""4/4""";67;1;0;1;C69;A1;line_w_d
3.9241723356;0.121904761905;4;2;1;4;2;0.286213151927;"""4/4""";65;1;0;1;C69;A1;line_w_d
4.06058956916;0.142222222222;4;2;2;1;1;0.277891156463;"""4/4""";64;1;0;1;E-7;A1;line_w_d
4.20281179138;0.11029478458;4;2;2;1;2;0.277891156463;"""4/4""";62;1;0;1;E-7;A1;line_w_d
4.31428571429;0.138775510204;4;2;2;2;1;0.258321995465;"""4/4""";61;1;0;1;E-7;A1;line_w_d
4.45306122449;0.102040816327;4;2;2;2;2;0.258321995465;"""4/4""";64;1;0;1;E-7;A1;line_w_d
4.56326530612;0.167346938776;4;2;2;3;1;0.257233560091;"""4/4""";67;1;0;1;E-7;A1;line_w_d
4.7306122449;0.118367346939;4;2;2;3;2;0.257233560091;"""4/4""";70;1;0;1;A7;A1;line_w_d
4.86530612245;0.127709750567;4;2;2;4;1;0.276689342404;"""4/4""";67;1;0;1;A7;A1;line_w_d
5.01260770975;0.124807256236;4;2;2;4;2;0.276689342404;"""4/4""";68;1;0;1;A7;A1;line_w_d
5.15482993197;0.127709750567;4;2;3;1;1;0.258321995465;"""4/4""";69;1;0;1;D-7;A1;line_w_d
5.28253968254;0.104489795918;4;2;3;1;2;0.258321995465;"""4/4""";65;1;0;1;D-7;A1;line_w_d
5.39283446712;0.124807256236;4;2;3;2;1;0.267709750567;"""4/4""";64;1;0;1;D-7;A1;line_w_d
5.52344671202;0.113197278912;4;2;3;2;2;0.267709750567;"""4/4""";62;1;0;1;D-7;A1;line_w_d
5.64244897959;0.124807256236;4;2;3;3;1;0.275759637188;"""4/4""";67;1;0;1;G7;A1;line_w_d
5.78176870748;0.133514739229;4;2;3;3;2;0.275759637188;"""4/4""";59;1;0;1;G7;A1;line_w_d
5.92689342404;0.171247165533;4;3;3;4;1;0.268276643991;"""4/4""";60;1;0;1;G7;A1;line_w_d
6.1010430839;0.101587301587;4;3;3;4;3;0.268276643991;"""4/4""";65;1;0;1;G7;A1;line_w_d
6.21424036281;0.124807256236;4;2;4;1;1;0.275396825397;"""4/4""";64;1;0;1;C69;A1;line_w_d
6.33904761905;0.13641723356;4;2;4;1;2;0.275396825397;"""4/4""";60;1;0;1;C69;A1;line_w_d
6.48126984127;0.127709750567;4;2;4;2;1;0.268072562358;"""4/4""";57;1;0;1;C69;A1;line_w_d
6.6147845805;0.0783673469388;4;2;4;2;2;0.268072562358;"""4/4""";54;1;0;1;C69;A1;line_w_d
6.72798185941;0.113197278912;4;3;4;3;1;0.266848072562;"""4/4""";56;1;0;1;C69;A1;line_w_d
6.85278911565;0.0406349206349;4;3;4;3;2;0.266848072562;"""4/4""";58;1;0;1;C69;A1;line_w_d
6.90213151927;0.0725623582766;4;3;4;3;3;0.266848072562;"""4/4""";56;1;0;1;C69;A1;line_w_d
6.99501133787;0.11029478458;4;2;4;4;1;0.257233560091;"""4/4""";55;1;0;1;C69;A1;line_w_d
7.1198185941;0.148027210884;4;2;4;4;2;0.257233560091;"""4/4""";53;1;0;1;C69;A1;line_w_d
7.28163265306;0.0938775510204;4;2;5;1;1;0.258276643991;"""4/4""";52;1;0;1;C69;A1;line_w_d
7.37551020408;0.171428571429;4;2;5;1;2;0.258276643991;"""4/4""";62;1;0;1;C69;A1;line_w_d
7.54693877551;0.167346938776;4;1;5;2;1;0.258367346939;"""4/4""";59;1;0;1;C69;A1;line_w_d
8.68571428571;0.0979591836735;4;2;6;2;2;0.248548752834;"""4/4""";68;2;1;1;E-7;A1;lick
8.80816326531;0.130612244898;4;4;6;3;1;0.277800453515;"""4/4""";69;2;0;1;A7;A1;lick
8.9387755102;0.0734693877551;4;4;6;3;3;0.277800453515;"""4/4""";71;2;0;1;A7;A1;lick
9.02448979592;0.069387755102;4;4;6;3;4;0.277800453515;"""4/4""";70;2;0;1;A7;A1;lick
9.11428571429;0.155102040816;4;2;6;4;1;0.253628117914;"""4/4""";69;2;0;1;A7;A1;lick
9.2693877551;0.118367346939;4;2;6;4;2;0.253628117914;"""4/4""";67;2;0;1;A7;A1;lick
9.42857142857;0.0857142857143;4;3;7;1;2;0.265306122449;"""4/4""";64;2;0;1;D-7;A1;lick
9.5306122449;0.224489795918;4;3;7;1;3;0.265306122449;"""4/4""";65;2;0;1;D-7;A1;lick
11.1142857143;0.155102040816;4;4;8;3;4;0.268140589569;"""4/4""";60;3;1;1;C69;A1;*theme:t1
11.387755102;0.0938775510204;4;4;8;4;4;0.265736961451;"""4/4""";67;3;0;1;C69;A1;*theme:t1
11.6163265306;0.142857142857;4;2;9;1;2;0.268004535147;"""4/4""";60;3;0;1;Em7b5;B1;*theme:t1
