onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
2.23673469388;0.114285714286;4;2;0;1;2;0.314240362812;"""4/4""";64;1;1;-1;NC;I1;line_w
2.36553287982;0.113197278912;4;2;0;2;1;0.302040816327;"""4/4""";67;1;0;-1;NC;I1;line_w
2.52807256236;0.124807256236;4;2;0;2;2;0.302040816327;"""4/4""";72;1;0;-1;NC;I1;line_w
2.67900226757;0.139319727891;4;6;0;3;1;0.338934240363;"""4/4""";69;1;0;-1;NC;I1;line_w
2.83283446712;0.13641723356;4;6;0;3;4;0.338934240363;"""4/4""";67;1;0;-1;NC;I1;line_w
2.97505668934;0.11029478458;4;6;0;3;6;0.338934240363;"""4/4""";65;1;0;-1;NC;I1;line_w
3.14630385488;0.130612244898;4;4;0;4;3;0.30387755102;"""4/4""";64;1;0;-1;NC;I1;line_w
3.2798185941;0.13641723356;4;4;0;4;4;0.30387755102;"""4/4""";62;1;0;-1;NC;I1;line_w
3.44235827664;0.133514739229;4;2;1;1;2;0.283922902494;"""4/4""";60;1;0;1;C;A1;line_w
3.60816326531;0.116326530612;4;2;1;2;1;0.319682539683;"""4/4""";64;1;0;1;C;A1;line_w
3.75510204082;0.128571428571;4;2;1;2;2;0.319682539683;"""4/4""";62;1;0;1;C;A1;line_w
3.90816326531;0.324489795918;4;1;1;3;1;0.311995464853;"""4/4""";60;1;0;1;C;A1;line_w
4.24081632653;0.130612244898;4;2;1;4;1;0.322267573696;"""4/4""";55;1;0;1;C;A1;line_w
4.43469387755;0.10612244898;4;2;1;4;2;0.322267573696;"""4/4""";52;1;0;1;C;A1;line_w
4.5693877551;0.195918367347;4;1;2;1;1;0.320090702948;"""4/4""";53;1;0;1;F;A1;line_w
4.87551020408;0.110204081633;4;2;2;2;1;0.284716553288;"""4/4""";57;1;0;1;F;A1;line_w
5.00816326531;0.138775510204;4;2;2;2;2;0.284716553288;"""4/4""";60;1;0;1;F;A1;line_w
5.17551020408;0.116326530612;4;2;2;3;1;0.314036281179;"""4/4""";65;1;0;1;F;A1;line_w
5.31020408163;0.118367346939;4;2;2;3;2;0.314036281179;"""4/4""";66;1;0;1;F;A1;line_w
5.4612244898;0.110204081633;4;2;2;4;1;0.314580498866;"""4/4""";69;1;0;1;F;A1;line_w
5.6306122449;0.128571428571;4;2;2;4;2;0.314580498866;"""4/4""";67;1;0;1;F;A1;line_w
5.95306122449;0.110204081633;4;2;3;1;2;0.307664399093;"""4/4""";71;1;0;1;G7;A1;lick:latin
