onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
7.83092970522;0.121904761905;4;5;0;4;3;0.792222222222;"""4/4""";58;1;1;-1;NC;I1;*theme:t1
7.98766439909;0.116099773243;4;5;0;4;4;0.792222222222;"""4/4""";60;1;0;-1;NC;I1;*theme:t1
8.12117913832;0.116099773243;4;5;0;4;5;0.792222222222;"""4/4""";62;1;0;-1;NC;I1;*theme:t1
8.36498866213;1.02167800454;4;1;1;1;1;0.837414965986;"""4/4""";63;1;0;1;Eb-7;A1;*theme:t1
9.59591836735;0.134693877551;4;6;1;2;4;0.903764172336;"""4/4""";70;1;0;1;Eb-7;A1;#melody
9.73469387755;0.138775510204;4;6;1;2;5;0.903764172336;"""4/4""";66;1;0;1;Eb-7;A1;#melody
9.88163265306;0.126530612245;4;6;1;2;6;0.903764172336;"""4/4""";63;1;0;1;Eb-7;A1;#melody
10.0244897959;0.159183673469;4;4;1;3;1;0.86664399093;"""4/4""";58;1;0;1;Eb-7;A1;#melody
10.212244898;0.697959183673;4;4;1;3;2;0.86664399093;"""4/4""";62;1;0;1;Bb79b;A1;#melody
11.4367346939;0.134693877551;4;8;1;4;6;0.86664399093;"""4/4""";70;2;1;1;Bb79b;A1;#-melody
11.587755102;0.102040816327;4;8;1;4;7;0.86664399093;"""4/4""";66;2;0;1;Bb79b;A1;#-melody
11.7183673469;0.110204081633;4;8;1;4;8;0.86664399093;"""4/4""";62;2;0;1;Bb79b;A1;#-melody
11.8571428571;0.110204081633;4;4;2;1;1;0.90253968254;"""4/4""";58;2;0;1;Absus7;A1;#-melody
12.0244897959;0.640816326531;4;4;2;1;2;0.90253968254;"""4/4""";61;2;0;1;Absus7;A1;#-melody
12.7680725624;0.0522448979592;4;9;2;2;2;0.875283446712;"""4/4""";69;2;0;1;Absus7;A1;#-melody
12.8667573696;0.214784580499;4;9;2;2;3;0.875283446712;"""4/4""";70;2;0;1;Absus7;A1;#-melody
13.0844444444;0.0406349206349;4;9;2;2;5;0.875283446712;"""4/4""";72;2;0;1;Absus7;A1;#-melody
13.1395918367;0.0783673469388;4;9;2;2;6;0.875283446712;"""4/4""";70;2;0;1;Absus7;A1;#-melody
13.2353741497;0.124807256236;4;9;2;2;7;0.875283446712;"""4/4""";66;2;0;1;Absus7;A1;#-melody
13.3659863946;0.119002267574;4;9;2;2;8;0.875283446712;"""4/4""";63;2;0;1;Absus7;A1;#-melody
13.493877551;0.130612244898;4;9;2;2;9;0.875283446712;"""4/4""";58;2;0;1;Absus7;A1;#-melody
