onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
6.76530612245;0.0857142857143;4;1;1;4;1;0.214467120181;"""4/4""";74;1;1;1;Fj7;A1;lick
6.97179138322;0.195918367347;4;1;2;1;1;0.223151927438;"""4/4""";74;1;0;1;Fj7;A1;lick
7.17959183673;0.0918367346939;4;1;2;2;1;0.21433106576;"""4/4""";71;1;0;1;Fj7;A1;lick
7.42240362812;0.181632653061;4;1;2;3;1;0.217823129252;"""4/4""";71;1;0;1;Fj7;A1;lick
7.60816326531;0.10612244898;4;1;2;4;1;0.213424036281;"""4/4""";68;1;0;1;Fj7;A1;lick
7.83528344671;0.167346938776;4;1;3;1;1;0.224036281179;"""4/4""";68;1;0;1;Bb7;A1;lick
8.05510204082;0.134693877551;4;1;3;2;1;0.207959183673;"""4/4""";65;1;0;1;Bb7;A1;lick
8.27857142857;0.179591836735;4;1;3;3;1;0.204535147392;"""4/4""";65;1;0;1;Bb7;A1;lick
8.46530612245;0.120408163265;4;1;3;4;1;0.208095238095;"""4/4""";62;1;0;1;Bb7;A1;lick
8.69591836735;0.181632653061;4;1;4;1;1;0.213310657596;"""4/4""";62;1;0;1;A-7;A1;lick
8.93242630385;0.108163265306;4;1;4;2;1;0.218684807256;"""4/4""";65;1;0;1;A-7;A1;lick
9.11836734694;0.179591836735;4;1;4;3;1;0.213446712018;"""4/4""";65;1;0;1;Abo7;A1;lick
9.32040816327;0.0857142857143;4;1;4;4;1;0.21433106576;"""4/4""";67;1;0;1;Abo7;A1;lick
9.52888888889;0.171247165533;4;1;5;1;1;0.208072562358;"""4/4""";67;1;0;1;G-7;A1;lick
9.72335600907;0.226394557823;4;1;5;2;1;0.223197278912;"""4/4""";68;1;0;1;G-7;A1;lick
10.0091836735;0.0754648526077;4;4;5;3;2;0.214240362812;"""4/4""";65;1;0;1;G-7;A1;lick
10.1306122449;0.0580498866213;4;4;5;3;4;0.214240362812;"""4/4""";61;1;0;1;G-7;A1;lick
10.2040816327;0.0754648526077;4;2;5;4;1;0.217732426304;"""4/4""";58;1;0;1;G-7;A1;lick
10.3051020408;0.11029478458;4;2;5;4;2;0.217732426304;"""4/4""";55;1;0;1;G-7;A1;lick
10.5551020408;0.284444444444;4;2;6;1;2;0.224149659864;"""4/4""";72;1;0;1;C7;A1;line_w
10.8524263039;0.0754648526077;4;2;6;3;1;0.213492063492;"""4/4""";70;1;0;1;C7;A1;line_w
10.9424036281;0.0812698412698;4;2;6;3;2;0.213492063492;"""4/4""";69;1;0;1;C7;A1;line_w
11.0497959184;0.0580498866213;4;2;6;4;1;0.214263038549;"""4/4""";67;1;0;1;C7;A1;line_w
11.1455782313;0.0812698412698;4;2;6;4;2;0.214263038549;"""4/4""";66;1;0;1;C7;A1;line_w
11.2384580499;0.107392290249;4;3;7;1;1;0.217845804989;"""4/4""";65;1;0;1;C7;A1;line_w
11.3857142857;0.0591836734694;4;3;7;1;3;0.217845804989;"""4/4""";60;1;0;1;F6;A1;line_w
11.4755102041;0.0632653061224;4;2;7;2;1;0.214195011338;"""4/4""";57;1;0;1;F6;A1;line_w
11.5653061224;0.0857142857143;4;2;7;2;2;0.214195011338;"""4/4""";55;1;0;1;F6;A1;line_w
11.7609070295;0.111746031746;4;2;7;3;2;0.198299319728;"""4/4""";63;1;0;1;F6;A1;line_w
11.8813605442;0.0732879818594;4;2;7;4;1;0.203605442177;"""4/4""";62;1;0;1;F6;A1;line_w
11.9720634921;0.0761904761905;4;2;7;4;2;0.203605442177;"""4/4""";60;1;0;1;F6;A1;line_w
12.0627664399;0.100861678005;4;3;8;1;1;0.208684807256;"""4/4""";59;1;0;1;F6;A1;line_w
12.2183673469;0.0714285714286;4;3;8;1;3;0.208684807256;"""4/4""";62;1;0;1;G-7;A1;line_w
12.2959183673;0.0551020408163;4;2;8;2;1;0.177845804989;"""4/4""";65;1;0;1;G-7;A1;line_w
12.3755102041;0.0775510204082;4;2;8;2;2;0.177845804989;"""4/4""";69;1;0;1;G-7;A1;line_w
12.4691156463;0.0632653061224;4;2;8;3;1;0.214263038549;"""4/4""";68;1;0;1;C7;A1;line_w
12.5612244898;0.0938775510204;4;2;8;3;2;0.214263038549;"""4/4""";63;1;0;1;C7;A1;line_w
12.6612244898;0.108163265306;4;3;8;4;1;0.199183673469;"""4/4""";64;1;0;1;C7;A1;line_w
12.8195918367;0.0602267573696;4;3;8;4;3;0.199183673469;"""4/4""";67;1;0;1;C7;A1;line_w
12.8918367347;0.0816326530612;4;2;9;1;1;0.217664399093;"""4/4""";65;1;0;1;Fj7;A2;line_w
13.010430839;0.230612244898;4;2;9;1;2;0.217664399093;"""4/4""";62;1;0;1;Fj7;A2;line_w
13.85;0.0755102040816;4;2;10;1;2;0.1989569161;"""4/4""";62;2;1;1;Fj7;A2;lick
13.9265306122;0.0530612244898;4;3;10;2;1;0.223446712018;"""4/4""";65;2;0;1;Fj7;A2;lick
14.0006802721;0.039410430839;4;3;10;2;2;0.223446712018;"""4/4""";66;2;0;1;Fj7;A2;lick
14.0540589569;0.0571428571429;4;3;10;2;3;0.223446712018;"""4/4""";65;2;0;1;Fj7;A2;lick
14.1265306122;0.0959183673469;4;2;10;3;1;0.204535147392;"""4/4""";62;2;0;1;Fj7;A2;lick
14.2469387755;0.0714285714286;4;2;10;3;2;0.204535147392;"""4/4""";60;2;0;1;Fj7;A2;lick
14.3551020408;0.069387755102;4;2;10;4;1;0.207891156463;"""4/4""";57;2;0;1;Fj7;A2;lick
14.4765306122;0.0795918367347;4;2;10;4;2;0.207891156463;"""4/4""";53;2;0;1;Fj7;A2;lick
14.5632653061;0.287755102041;4;1;11;1;1;0.223242630385;"""4/4""";65;2;0;1;Bb7;A2;lick
14.893877551;0.0755102040816;4;2;11;2;2;0.1989569161;"""4/4""";62;2;0;1;Bb7;A2;lick
15.5448979592;0.0714285714286;4;2;12;1;2;0.208004535147;"""4/4""";62;3;1;1;A-7;A2;#lick
15.6448979592;0.0877551020408;4;2;12;2;1;0.213265306122;"""4/4""";67;3;0;1;A-7;A2;#lick
15.7653061224;0.0632653061224;4;2;12;2;2;0.213265306122;"""4/4""";67;3;0;1;A-7;A2;#lick
15.8448979592;0.0897959183673;4;2;12;3;1;0.217414965986;"""4/4""";65;3;0;1;Abo7;A2;#lick
15.9693877551;0.0755102040816;4;2;12;3;2;0.217414965986;"""4/4""";62;3;0;1;Abo7;A2;#lick
