onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
7.37959183673;0.2;4;2;0;4;2;0.447392290249;"""4/4""";52;1;1;-1;NC;I1;melody
7.59183673469;0.681632653061;4;1;1;1;1;0.486303854875;"""4/4""";57;1;0;1;A-79;A1;melody
8.30204081633;0.163265306122;4;2;1;2;2;0.465464852608;"""4/4""";64;1;0;1;A-79;A1;melody
10.2864399093;0.119002267574;4;4;2;2;4;0.476507936508;"""4/4""";52;2;1;1;A-79;A1;#melody
10.4359183673;0.126530612245;4;3;2;3;1;0.476598639456;"""4/4""";57;2;0;1;A-79;A1;#melody
10.5795918367;0.0897959183673;4;3;2;3;2;0.476598639456;"""4/4""";60;2;0;1;A-79;A1;#melody
10.7464852608;0.143673469388;4;3;2;3;3;0.476598639456;"""4/4""";52;2;0;1;A-79;A1;#melody
10.9220861678;0.198820861678;4;2;2;4;1;0.45179138322;"""4/4""";57;2;0;1;A-79;A1;#melody
11.15138322;0.153832199546;4;2;2;4;2;0.45179138322;"""4/4""";60;2;0;1;A-79;A1;#melody
11.4619501134;0.512290249433;4;2;3;1;2;0.461224489796;"""4/4""";56;2;0;1;G#o7;A1;#melody
12.012244898;2.10612244898;4;2;3;2;2;0.447097505669;"""4/4""";64;2;0;1;G#o7;A1;#melody
14.3891156463;0.313469387755;4;2;4;3;2;0.466870748299;"""4/4""";52;3;1;1;G#o7;A1;#melody
14.7306122449;0.0938775510204;4;4;4;4;2;0.475464852608;"""4/4""";56;3;0;1;G#o7;A1;#melody
14.8317460317;0.0897959183673;4;4;4;4;3;0.475464852608;"""4/4""";59;3;0;1;G#o7;A1;#melody
14.9434920635;0.207528344671;4;4;4;4;4;0.475464852608;"""4/4""";64;3;0;1;G#o7;A1;#melody
15.3112244898;0.15306122449;4;2;5;1;2;0.456780045351;"""4/4""";55;3;0;1;G-6;A1;#melody
15.4775510204;0.0724489795918;4;4;5;2;1;0.457120181406;"""4/4""";58;3;0;1;G-6;A1;#melody
15.5704081633;0.209183673469;4;4;5;2;2;0.457120181406;"""4/4""";64;3;0;1;G-6;A1;#melody
15.8653061224;0.865306122449;4;4;5;2;4;0.457120181406;"""4/4""";64;3;0;1;G-6;A1;#melody
17.3249886621;0.233650793651;4;4;6;2;1;0.466235827664;"""4/4""";52;4;1;1;G-6;A1;#melody
17.5836734694;0.113265306122;4;4;6;2;3;0.466235827664;"""4/4""";55;4;0;1;G-6;A1;#melody
17.7102040816;0.147959183673;4;4;6;2;4;0.466235827664;"""4/4""";58;4;0;1;G-6;A1;#melody
17.9301587302;0.23873015873;4;1;6;3;1;0.476485260771;"""4/4""";64;4;0;1;G-6;A1;#melody
18.2624943311;0.207528344671;4;3;6;4;1;0.45156462585;"""4/4""";64;4;0;1;G-6;A1;#melody
18.5904761905;0.198820861678;4;3;6;4;3;0.45156462585;"""4/4""";64;4;0;1;G-6;A1;#melody
18.9765079365;0.896870748299;4;2;7;1;2;0.483673469388;"""4/4""";54;4;0;1;D7/F#;A1;#melody
20.6285714286;0.0816326530612;4;4;8;1;1;0.466666666667;"""4/4""";59;5;1;1;D7/F#;A1;#melody
20.7281632653;0.12335600907;4;4;8;1;2;0.466666666667;"""4/4""";60;5;0;1;D7/F#;A1;#melody
20.9516553288;0.169795918367;4;4;8;1;4;0.466666666667;"""4/4""";64;5;0;1;D7/F#;A1;#melody
21.2491609977;0.172698412698;4;2;8;2;2;0.476598639456;"""4/4""";64;5;0;1;D7/F#;A1;#melody
21.593106576;0.645804988662;4;1;8;3;1;0.475238095238;"""4/4""";64;5;0;1;D7/F#;A1;#melody
23.1851247166;0.114648526077;4;4;9;2;3;0.447369614512;"""4/4""";61;6;1;1;Fj7;B1;melody
23.3224489796;0.208163265306;4;4;9;2;4;0.447369614512;"""4/4""";62;6;0;1;Fj7;B1;melody
23.5612244898;0.340816326531;4;2;9;3;2;0.476621315193;"""4/4""";64;6;0;1;Fj7;B1;melody
23.9183673469;0.167346938776;4;4;9;4;1;0.456870748299;"""4/4""";62;6;0;1;Fj7;B1;melody
24.1102040816;0.159183673469;4;4;9;4;3;0.456870748299;"""4/4""";61;6;0;1;Fj7;B1;melody
24.2897959184;0.195918367347;4;4;9;4;4;0.456870748299;"""4/4""";62;6;0;1;Fj7;B1;melody
24.5841269841;0.246712018141;4;2;10;1;2;0.476394557823;"""4/4""";64;6;0;1;Fj7;B1;melody
24.8653061224;1.07346938776;4;1;10;2;1;0.466780045351;"""4/4""";65;6;0;1;Fj7;B1;melody
26.0063492063;0.133514739229;4;6;10;4;4;0.476213151927;"""4/4""";64;6;0;1;Fj7;B1;melody
26.2;0.163265306122;4;6;10;4;6;0.476213151927;"""4/4""";62;6;0;1;Fj7;B1;melody
26.4693877551;0.761224489796;4;2;11;1;2;0.45693877551;"""4/4""";62;6;0;1;Bbj7;B1;melody
27.3959183673;0.122448979592;4;3;11;3;2;0.486462585034;"""4/4""";58;6;0;1;Bbj7;B1;melody
27.5673469388;0.171428571429;4;3;11;3;3;0.486462585034;"""4/4""";60;6;0;1;Bbj7;B1;melody
27.7551020408;0.624489795918;4;1;11;4;1;0.456893424036;"""4/4""";62;6;0;1;Bbj7;B1;melody
