onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.38866213152;0.12335600907;9;3;1;2;2;0.437755102041;"""9/4""";67;1;1;1;NC;A1;lick
3.52798185941;0.124807256236;9;3;1;2;3;0.437755102041;"""9/4""";69;1;0;1;NC;A1;lick
3.66585034014;0.0914285714286;9;3;1;3;1;0.411247165533;"""9/4""";71;1;0;1;NC;A1;lick
3.78485260771;0.108843537415;9;3;1;3;2;0.411247165533;"""9/4""";73;1;0;1;NC;A1;lick
3.91691609977;0.133514739229;9;3;1;3;3;0.411247165533;"""9/4""";69;1;0;1;NC;A1;lick
4.06784580499;0.0827210884354;9;4;1;4;1;0.445102040816;"""9/4""";67;1;0;1;NC;A1;lick
4.16943310658;0.105941043084;9;4;1;4;2;0.445102040816;"""9/4""";71;1;0;1;NC;A1;lick
4.3029478458;0.103038548753;9;4;1;4;3;0.445102040816;"""9/4""";76;1;0;1;NC;A1;lick
4.42485260771;0.216235827664;9;4;1;4;4;0.445102040816;"""9/4""";78;1;0;1;NC;A1;lick
4.6526984127;0.158185941043;9;6;1;5;3;0.394943310658;"""9/4""";76;1;0;1;NC;A1;lick
4.87909297052;0.62693877551;9;6;1;5;6;0.394943310658;"""9/4""";73;1;0;1;NC;A1;lick
5.52634920635;0.142222222222;9;2;1;7;2;0.378866213152;"""9/4""";72;1;0;1;NC;A1;lick
6.69081632653;0.0489795918367;9;4;2;1;2;0.398752834467;"""9/4""";60;2;1;1;NC;A1;line_a
6.74591836735;0.0938775510204;9;4;2;1;3;0.398752834467;"""9/4""";62;2;0;1;NC;A1;line_a
6.87040816327;0.0959183673469;9;4;2;1;4;0.398752834467;"""9/4""";65;2;0;1;NC;A1;line_a
7.00306122449;0.0857142857143;9;4;2;2;2;0.395102040816;"""9/4""";67;2;0;1;NC;A1;line_a
7.10102040816;0.069387755102;9;4;2;2;3;0.395102040816;"""9/4""";70;2;0;1;NC;A1;line_a
7.19818594104;0.111746031746;9;4;2;2;4;0.395102040816;"""9/4""";72;2;0;1;NC;A1;line_a
7.32959183673;0.117346938776;9;4;2;3;1;0.415192743764;"""9/4""";74;2;0;1;NC;A1;line_a
7.46530612245;0.0897959183673;9;4;2;3;2;0.415192743764;"""9/4""";77;2;0;1;NC;A1;line_a
7.69591836735;0.19387755102;9;4;2;3;4;0.415192743764;"""9/4""";78;2;0;1;NC;A1;lick
7.90918367347;0.104081632653;9;6;2;4;3;0.405034013605;"""9/4""";76;2;0;1;NC;A1;lick
8.11734693878;0.225510204082;9;6;2;4;6;0.405034013605;"""9/4""";73;2;0;1;NC;A1;lick
8.35918367347;0.155102040816;9;2;2;5;2;0.39873015873;"""9/4""";71;2;0;1;NC;A1;lick
8.62448979592;0.527551020408;9;1;2;6;1;0.431292517007;"""9/4""";72;2;0;1;NC;A1;lick
9.17142857143;0.116326530612;9;3;2;7;2;0.398616780045;"""9/4""";70;2;0;1;NC;A1;lick
9.30204081633;0.10612244898;9;3;2;7;3;0.398616780045;"""9/4""";67;2;0;1;NC;A1;lick
9.42448979592;0.0632653061224;9;2;2;8;1;0.395192743764;"""9/4""";63;2;0;1;NC;A1;lick
9.57448979592;0.218367346939;9;2;2;8;2;0.395192743764;"""9/4""";69;2;0;1;NC;A1;lick
9.81632653061;0.112244897959;9;1;2;9;1;0.436054421769;"""9/4""";71;2;0;1;NC;A1;lick
10.8285714286;0.136734693878;9;3;3;2;2;0.43485260771;"""9/4""";66;3;1;1;NC;A1;line_w
10.9806122449;0.123469387755;9;3;3;2;3;0.43485260771;"""9/4""";69;3;0;1;NC;A1;line_w
11.1102040816;0.124489795918;9;3;3;3;1;0.429365079365;"""9/4""";64;3;0;1;NC;A1;line_w
11.243877551;0.102040816327;9;3;3;3;2;0.429365079365;"""9/4""";59;3;0;1;NC;A1;line_w
11.3642857143;0.128571428571;9;3;3;3;3;0.429365079365;"""9/4""";61;3;0;1;NC;A1;line_w
11.506122449;0.129591836735;9;2;3;4;1;0.426553287982;"""9/4""";66;3;0;1;NC;A1;line_w
11.6571428571;0.442857142857;9;2;3;4;2;0.426553287982;"""9/4""";63;3;0;1;NC;A1;line_w
12.1237188209;0.165442176871;9;2;3;5;2;0.408820861678;"""9/4""";68;3;0;1;NC;A1;line_w
12.3196371882;0.0856235827664;9;4;3;6;1;0.405306122449;"""9/4""";63;3;0;1;NC;A1;line_w
12.4168707483;0.0892517006803;9;4;3;6;2;0.405306122449;"""9/4""";61;3;0;1;NC;A1;line_w
12.5278911565;0.121179138322;9;4;3;6;3;0.405306122449;"""9/4""";66;3;0;1;NC;A1;line_w
12.6563265306;0.0979591836735;9;4;3;6;4;0.405306122449;"""9/4""";68;3;0;1;NC;A1;line_w
12.7717006803;0.122630385488;9;2;3;7;1;0.415260770975;"""9/4""";67;3;0;1;NC;A1;line_w
12.900861678;0.118276643991;9;2;3;7;2;0.415260770975;"""9/4""";65;3;0;1;NC;A1;line_w
13.154829932;0.0936054421769;9;4;3;8;1;0.413446712018;"""9/4""";70;3;0;1;NC;A1;line_w
13.2629478458;0.15746031746;9;4;3;8;2;0.413446712018;"""9/4""";72;3;0;1;NC;A1;line_w
13.4612244898;0.102040816327;9;4;3;8;4;0.413446712018;"""9/4""";67;3;0;1;NC;A1;line_w
13.7135600907;0.105215419501;9;8;3;9;4;0.420408163265;"""9/4""";70;3;0;1;NC;A1;line_w
13.8267573696;0.103038548753;9;8;3;9;6;0.420408163265;"""9/4""";71;3;0;1;NC;A1;line_w
13.94430839;0.0819954648526;9;8;3;9;8;0.420408163265;"""9/4""";70;3;0;1;NC;A1;line_w
14.0444444444;0.127709750567;9;4;4;1;2;0.394875283447;"""9/4""";69;3;0;1;NC;A1;line_w
14.1830385488;0.0957823129252;9;4;4;1;3;0.394875283447;"""9/4""";66;3;0;1;NC;A1;line_w
14.2969387755;0.0986848072562;9;4;4;1;4;0.394875283447;"""9/4""";64;3;0;1;NC;A1;line_w
14.4217687075;0.0943310657596;9;3;4;2;1;0.394965986395;"""9/4""";59;3;0;1;NC;A1;line_w
14.5168253968;0.122630385488;9;3;4;2;2;0.394965986395;"""9/4""";66;3;0;1;NC;A1;line_w
14.6438095238;0.10231292517;9;3;4;2;3;0.394965986395;"""9/4""";69;3;0;1;NC;A1;line_w
14.754829932;0.0885260770975;9;3;4;3;1;0.398934240363;"""9/4""";67;3;0;1;NC;A1;line_w
