onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.58884353741;0.133514739229;4;3;1;2;1;0.225396825397;"""4/4""";67;1;1;1;NC;A1;lick
4.75102040816;0.351020408163;4;3;1;2;3;0.225396825397;"""4/4""";70;1;0;1;NC;A1;lick
5.10839002268;0.113197278912;4;3;1;4;1;0.260090702948;"""4/4""";68;1;0;1;NC;A1;lick
5.27959183673;0.0775510204082;4;3;1;4;3;0.260090702948;"""4/4""";63;1;0;1;NC;A1;lick
5.39387755102;0.0918367346939;4;3;2;1;2;0.254081632653;"""4/4""";65;1;0;1;NC;A1;lick
5.5031292517;0.11029478458;4;3;2;1;3;0.254081632653;"""4/4""";68;1;0;1;NC;A1;lick
5.62503401361;0.101587301587;4;2;2;2;1;0.269750566893;"""4/4""";67;1;0;1;NC;A1;lick
5.73242630385;0.101587301587;4;2;2;2;2;0.269750566893;"""4/4""";66;1;0;1;NC;A1;lick
5.84081632653;0.138775510204;4;2;2;3;1;0.24641723356;"""4/4""";65;1;0;1;NC;A1;lick
5.98775510204;0.118367346939;4;2;2;3;2;0.24641723356;"""4/4""";62;1;0;1;NC;A1;lick
6.12244897959;0.224489795918;4;1;2;4;1;0.249637188209;"""4/4""";63;1;0;1;NC;A1;lick
6.3693877551;0.130612244898;4;3;3;1;1;0.244172335601;"""4/4""";58;1;0;1;NC;A1;lick
6.5306122449;0.338775510204;4;3;3;1;3;0.244172335601;"""4/4""";56;1;0;1;NC;A1;lick
6.87551020408;0.410204081633;4;1;3;3;1;0.254784580499;"""4/4""";58;1;0;1;NC;A1;lick
8.29242630385;0.0986848072562;4;2;4;4;2;0.262607709751;"""4/4""";72;2;1;1;NC;A1;lick
8.3998185941;0.11029478458;4;2;5;1;1;0.268843537415;"""4/4""";73;2;0;1;NC;A1;lick
8.54285714286;0.104489795918;4;2;5;1;2;0.268843537415;"""4/4""";69;2;0;1;NC;A1;lick
8.66394557823;0.124807256236;4;2;5;2;1;0.247278911565;"""4/4""";65;2;0;1;NC;A1;lick
