onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
8.55655328798;0.197369614512;4;4;0;2;4;0.581065759637;"""4/4""";72;1;1;-1;NC;I1;lick
8.75392290249;0.150929705215;4;5;0;3;2;0.571746031746;"""4/4""";70;1;0;-1;NC;I1;lick
8.90485260771;0.116099773243;4;5;0;3;3;0.571746031746;"""4/4""";67;1;0;-1;NC;I1;lick
9.02095238095;0.127709750567;4;5;0;3;4;0.571746031746;"""4/4""";63;1;0;-1;NC;I1;lick
9.18349206349;0.0812698412698;4;5;0;3;5;0.571746031746;"""4/4""";62;1;0;-1;NC;I1;lick
9.29959183673;0.139319727891;4;3;0;4;1;0.570589569161;"""4/4""";65;1;0;-1;NC;I1;lick
9.43891156463;0.116099773243;4;3;0;4;2;0.570589569161;"""4/4""";72;1;0;-1;NC;I1;lick
9.57823129252;0.278639455782;4;3;0;4;3;0.570589569161;"""4/4""";70;1;0;-1;NC;I1;lick
10.9482086168;0.185759637188;4;3;1;3;1;0.563106575964;"""4/4""";65;2;1;1;C-7;A1;#lick
11.1571882086;0.116099773243;4;3;1;3;2;0.563106575964;"""4/4""";72;2;0;1;C-7;A1;#lick
11.3197278912;0.197369614512;4;3;1;3;3;0.563106575964;"""4/4""";70;2;0;1;C-7;A1;#lick
11.8530612245;0.116099773243;4;4;1;4;3;0.589092970522;"""4/4""";65;2;0;1;C-7;A1;#lick
12.0;0.255419501134;4;4;1;4;4;0.589092970522;"""4/4""";67;2;0;1;C-7;A1;#lick
12.9567346939;0.150929705215;4;3;2;2;2;0.543378684807;"""4/4""";65;3;1;1;Eb;A1;lick
13.1076643991;0.174149659864;4;3;2;2;3;0.543378684807;"""4/4""";70;3;0;1;Eb;A1;lick
13.4211337868;0.116099773243;4;8;2;3;3;0.544195011338;"""4/4""";70;3;0;1;Eb;A1;lick
13.5372335601;0.16253968254;4;8;2;3;5;0.544195011338;"""4/4""";67;3;0;1;Eb;A1;lick
