onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
2.95918367347;0.118367346939;4;4;2;1;3;0.476689342404;"""4/4""";55;1;1;1;Bb7;A1;melody
3.11836734694;0.10612244898;4;4;2;1;4;0.476689342404;"""4/4""";58;1;0;1;Bb7;A1;melody
3.22857142857;0.187755102041;4;4;2;2;1;0.45693877551;"""4/4""";60;1;0;1;Bb7;A1;melody
3.41632653061;0.110204081633;4;4;2;2;3;0.45693877551;"""4/4""";63;1;0;1;Bb7;A1;melody
3.52653061224;0.138775510204;4;4;2;2;4;0.45693877551;"""4/4""";65;1;0;1;Bb7;A1;melody
3.66530612245;0.142857142857;4;3;2;3;1;0.482131519274;"""4/4""";67;1;0;1;Bb7;A1;melody
3.81224489796;0.130612244898;4;3;2;3;2;0.482131519274;"""4/4""";70;1;0;1;Bb7;A1;melody
3.94693877551;1.42040816327;4;3;2;3;3;0.482131519274;"""4/4""";72;1;0;1;Bb7;A1;melody
5.40816326531;0.212244897959;4;4;3;2;4;0.44716553288;"""4/4""";70;1;0;1;F7;A1;melody
5.69387755102;0.159183673469;4;2;3;3;2;0.431111111111;"""4/4""";69;1;0;1;F7;A1;melody
6.02857142857;0.232653061224;4;4;3;4;2;0.46664399093;"""4/4""";69;1;0;1;F7;A1;melody
6.29387755102;0.840816326531;4;4;3;4;4;0.46664399093;"""4/4""";67;1;0;1;F7;A1;melody
7.96734693878;0.142857142857;4;3;4;4;2;0.466689342404;"""4/4""";55;2;1;1;F7;A1;#melody
8.12653061224;0.151020408163;4;3;4;4;3;0.466689342404;"""4/4""";58;2;0;1;F7;A1;#melody
8.28163265306;0.142857142857;4;3;5;1;1;0.466870748299;"""4/4""";56;2;0;1;Bb7;A1;#melody
8.44489795918;0.134693877551;4;3;5;1;2;0.466870748299;"""4/4""";58;2;0;1;Bb7;A1;#melody
8.57959183673;0.134693877551;4;3;5;1;3;0.466870748299;"""4/4""";60;2;0;1;Bb7;A1;#melody
