onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
7.16335600907;0.16253968254;4;4;1;3;4;0.447188208617;"""4/4""";70;1;1;1;Ebj7;A1;lick
7.42167800454;0.223492063492;4;6;1;4;3;0.496145124717;"""4/4""";67;1;0;1;Ebj7;A1;lick
7.71192743764;0.229297052154;4;6;1;4;6;0.496145124717;"""4/4""";62;1;0;1;Ebj7;A1;lick
7.99637188209;0.252517006803;4;2;2;1;2;0.466734693878;"""4/4""";68;1;0;1;F-7;A1;lick
8.28371882086;0.484716553288;4;1;2;2;1;0.462562358277;"""4/4""";72;1;0;1;F-7;A1;lick
9.09931972789;0.203174603175;4;6;2;3;6;0.461179138322;"""4/4""";77;2;1;1;Bb7;A1;#+lick
9.34022675737;0.214784580499;4;2;2;4;2;0.457006802721;"""4/4""";74;2;0;1;Bb7;A1;#+lick
9.61886621315;0.240907029478;4;3;3;1;1;0.436462585034;"""4/4""";70;2;0;1;Ebj7;A1;#+lick
9.90911564626;0.281541950113;4;3;3;1;3;0.436462585034;"""4/4""";72;2;0;1;Ebj7;A1;#+lick
10.2285714286;2.43673469388;4;2;3;2;2;0.466712018141;"""4/4""";79;2;0;1;Ebj7;A1;#+lick
12.7571428571;0.191836734694;4;4;4;3;4;0.476530612245;"""4/4""";78;2;0;1;C7;A1;~line_d
12.9734693878;0.214285714286;4;4;4;4;2;0.456825396825;"""4/4""";76;2;0;1;C7;A1;~line_d
13.2163265306;0.161224489796;4;4;4;4;4;0.456825396825;"""4/4""";72;2;0;1;C7;A1;~line_d
13.5;0.24693877551;4;2;5;1;2;0.450612244898;"""4/4""";68;2;0;1;F-7;A1;~line_d
13.7959183673;0.348979591837;4;1;5;2;1;0.473106575964;"""4/4""";62;2;0;1;F-7;A1;~line_d
14.7918367347;0.0836734693878;4;4;5;4;2;0.472176870748;"""4/4""";62;3;1;1;F-7;A1;lick
