onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
9.93367346939;0.167346938776;4;2;1;1;2;0.35126984127;"""4/4""";68;1;1;1;Db7;A1;line_i_dd
10.6463492063;0.19156462585;4;6;1;3;3;0.370181405896;"""4/4""";63;1;0;1;Db7;A1;line_i_dd
10.862585034;0.127709750567;4;6;1;3;6;0.370181405896;"""4/4""";62;1;0;1;Db7;A1;line_i_dd
11.038185941;0.269931972789;4;2;1;4;2;0.376462585034;"""4/4""";61;1;0;1;Db7;A1;line_i_dd
11.3560090703;0.692244897959;4;1;2;1;1;0.370045351474;"""4/4""";68;1;0;1;Db7;A1;line_i_dd
12.0772789116;0.208979591837;4;4;2;3;2;0.3589569161;"""4/4""";63;1;0;1;Db7;A1;line_i_dd
12.3109297052;0.132063492063;4;4;2;3;4;0.3589569161;"""4/4""";61;1;0;1;Db7;A1;line_i_dd
12.4734693878;0.306213151927;4;2;2;4;2;0.370045351474;"""4/4""";60;1;0;1;Db7;A1;line_i_dd
12.8072562358;0.616780045351;4;1;3;1;1;0.359047619048;"""4/4""";68;1;0;1;Gb7;A1;line_i_dd
13.5096598639;0.219138321995;4;3;3;3;1;0.350498866213;"""4/4""";63;1;0;1;Gb7;A1;line_i_dd
13.7418594104;0.133514739229;4;3;3;3;3;0.350498866213;"""4/4""";61;1;0;1;Gb7;A1;line_i_dd
13.904399093;0.269931972789;4;1;3;4;1;0.377596371882;"""4/4""";60;1;0;1;Gb7;A1;line_i_dd
14.2541496599;0.322176870748;4;1;4;1;1;0.3689569161;"""4/4""";68;1;0;1;Gb7;A1;line_i_dd
14.6227664399;0.288798185941;4;1;4;2;1;0.340657596372;"""4/4""";68;1;0;1;Gb7;A1;line_i_dd
14.9408163265;0.198979591837;4;3;4;3;1;0.361088435374;"""4/4""";63;1;0;1;Gb7;A1;line_i_dd
15.1887755102;0.113265306122;4;3;4;3;3;0.361088435374;"""4/4""";61;1;0;1;Gb7;A1;line_i_dd
15.343877551;0.332653061224;4;1;4;4;1;0.367868480726;"""4/4""";60;1;0;1;Gb7;A1;line_i_dd
15.6887755102;0.336734693878;4;1;5;1;1;0.359047619048;"""4/4""";67;1;0;1;F7;A1;line_i_dd
