onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.44235827664;0.16253968254;4;8;1;3;4;0.539863945578;"""4/4""";48;1;1;1;Eb7;A1;line_w_asdl
3.77324263039;0.150929705215;4;8;1;3;8;0.539863945578;"""4/4""";53;1;0;1;Eb7;A1;line_w_asdl
3.95609977324;0.177052154195;4;3;1;4;2;0.542993197279;"""4/4""";55;1;0;1;Eb7;A1;line_w_asdl
4.18469387755;0.159637188209;4;3;1;4;3;0.542993197279;"""4/4""";60;1;0;1;Eb7;A1;line_w_asdl
4.41759637188;0.165442176871;4;2;2;1;1;0.522222222222;"""4/4""";65;1;0;1;Am7b5;A1;line_w_asdl
4.67591836735;0.185759637188;4;2;2;1;2;0.522222222222;"""4/4""";67;1;0;1;Am7b5;A1;line_w_asdl
4.87038548753;0.168344671202;4;4;2;2;1;0.542517006803;"""4/4""";65;1;0;1;Am7b5;A1;line_w_asdl
5.12653061224;0.173424036281;4;4;2;2;3;0.542517006803;"""4/4""";67;1;0;1;Am7b5;A1;line_w_asdl
5.29995464853;0.16253968254;4;4;2;2;4;0.542517006803;"""4/4""";65;1;0;1;Am7b5;A1;line_w_asdl
5.540861678;0.197369614512;4;3;2;3;2;0.533854875283;"""4/4""";63;1;0;1;Ab7;A1;line_w_asdl
5.7556462585;0.185759637188;4;3;2;3;3;0.533854875283;"""4/4""";65;1;0;1;Ab7;A1;line_w_asdl
5.979138322;0.208979591837;4;6;2;4;1;0.555396825397;"""4/4""";63;1;0;1;Ab7;A1;line_w_asdl
6.25204081633;0.159637188209;4;6;2;4;4;0.555396825397;"""4/4""";65;1;0;1;Ab7;A1;line_w_asdl
6.45;0.113197278912;4;6;2;4;6;0.555396825397;"""4/4""";63;1;0;1;Ab7;A1;line_w_asdl
6.57124716553;0.208979591837;4;2;3;1;1;0.530589569161;"""4/4""";60;1;0;1;C-;A1;line_w_asdl
6.80344671202;0.142222222222;4;2;3;1;2;0.530589569161;"""4/4""";58;1;0;1;C-;A1;line_w_asdl
7.07047619048;0.159637188209;4;3;3;2;1;0.513741496599;"""4/4""";60;1;0;1;C-;A1;line_w_asdl
7.26204081633;0.133514739229;4;3;3;2;2;0.513741496599;"""4/4""";58;1;0;1;C-;A1;line_w_asdl
7.45941043084;0.150929705215;4;3;3;2;3;0.513741496599;"""4/4""";60;1;0;1;C-;A1;line_w_asdl
7.79179138322;0.0653514739229;4;4;3;3;3;0.50358276644;"""4/4""";53;1;0;1;Ab7;A1;line_a
7.86612244898;0.15664399093;4;4;3;3;4;0.50358276644;"""4/4""";54;1;0;1;Ab7;A1;line_a
8.15891156463;0.32798185941;4;4;3;4;2;0.547573696145;"""4/4""";53;1;0;1;Ab7;A1;line_a
