onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.41623582766;0.089977324263;4;4;-3;1;2;0.387482993197;"""4/4""";71;1;1;-1;Gb-7;I1;line_cv
3.50621315193;0.400544217687;4;4;-3;1;3;0.387482993197;"""4/4""";72;1;0;-1;Gb-7;I1;line_cv
3.90675736961;0.0551473922902;4;6;-3;2;3;0.412380952381;"""4/4""";71;1;0;-1;Gb-7;I1;line_cv
3.96770975057;0.0580498866213;4;6;-3;2;4;0.412380952381;"""4/4""";69;1;0;-1;Gb-7;I1;line_cv
4.03446712018;0.0580498866213;4;6;-3;2;5;0.412380952381;"""4/4""";67;1;0;-1;Gb-7;I1;line_cv
4.11283446712;0.116099773243;4;6;-3;2;6;0.412380952381;"""4/4""";65;1;0;-1;Gb-7;I1;line_cv
4.27247165533;0.117324263039;4;7;-3;3;3;0.386371882086;"""4/4""";62;1;0;-1;Gb-7;I1;line_cv
4.38979591837;0.0489795918367;4;7;-3;3;5;0.386371882086;"""4/4""";65;1;0;-1;Gb-7;I1;line_cv
4.4387755102;0.0326530612245;4;7;-3;3;6;0.386371882086;"""4/4""";67;1;0;-1;Gb-7;I1;line_cv
4.47142857143;0.0469387755102;4;7;-3;3;7;0.386371882086;"""4/4""";69;1;0;-1;Gb-7;I1;line_cv
4.51836734694;0.0408163265306;4;6;-3;4;1;0.402630385488;"""4/4""";71;1;0;-1;Gb-7;I1;line_cv
4.56326530612;0.0755102040816;4;6;-3;4;2;0.402630385488;"""4/4""";72;1;0;-1;Gb-7;I1;line_cv
4.64489795918;0.173469387755;4;6;-3;4;3;0.402630385488;"""4/4""";71;1;0;-1;Gb-7;I1;line_cv
5.44072562358;0.0275736961451;4;4;-2;2;2;0.422244897959;"""4/4""";70;2;1;-1;Bm7b5;I1;line_d
5.47265306122;0.412154195011;4;4;-2;2;3;0.422244897959;"""4/4""";71;2;0;-1;Bm7b5;I1;line_d
5.90512471655;0.0624036281179;4;5;-2;3;3;0.382108843537;"""4/4""";71;2;0;-1;E7;I1;line_d
5.98349206349;0.043537414966;4;5;-2;3;4;0.382108843537;"""4/4""";69;2;0;-1;E7;I1;line_d
6.04444444444;0.087074829932;4;5;-2;3;5;0.382108843537;"""4/4""";68;2;0;-1;E7;I1;line_d
6.18376417234;0.0507936507937;4;10;-2;4;2;0.406961451247;"""4/4""";66;2;0;-1;E7;I1;line_d
6.24181405896;0.137868480726;4;10;-2;4;4;0.406961451247;"""4/4""";65;2;0;-1;E7;I1;line_d
6.38839002268;0.0798185941043;4;10;-2;4;7;0.406961451247;"""4/4""";62;2;0;-1;E7;I1;line_d
6.46820861678;0.0362811791383;4;10;-2;4;9;0.406961451247;"""4/4""";59;2;0;-1;E7;I1;line_d
6.50594104308;0.101587301587;4;10;-2;4;10;0.406961451247;"""4/4""";61;2;0;-1;E7;I1;line_d
6.61333333333;0.0783673469388;4;4;-1;1;2;0.402426303855;"""4/4""";59;2;0;-1;A-;I1;line_d
6.71346938776;0.454240362812;4;4;-1;1;3;0.402426303855;"""4/4""";57;2;0;-1;A-;I1;line_d
7.18367346939;0.065306122449;4;6;-1;2;4;0.422154195011;"""4/4""";59;2;0;-1;A-;I1;~line_t_asdl
7.25188208617;0.0507936507937;4;6;-1;2;5;0.422154195011;"""4/4""";60;2;0;-1;A-;I1;~line_t_asdl
7.31020408163;0.0478911564626;4;6;-1;2;6;0.422154195011;"""4/4""";61;2;0;-1;A-;I1;~line_t_asdl
