onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
7.78775510204;0.0795918367347;4;4;1;3;2;0.215192743764;"""4/4""";56;1;1;1;E7alt;A1;line_a
7.89081632653;0.0989795918367;4;4;1;3;4;0.215192743764;"""4/4""";58;1;0;1;E7alt;A1;line_a
8.00408163265;0.102040816327;4;4;1;4;2;0.230702947846;"""4/4""";59;1;0;1;E7alt;A1;line_a
8.12653061224;0.0632653061224;4;4;1;4;4;0.230702947846;"""4/4""";61;1;0;1;E7alt;A1;line_a
8.2112244898;0.0744897959184;4;2;2;1;1;0.212448979592;"""4/4""";63;1;0;1;E7alt;A1;line_a
8.30714285714;0.129591836735;4;2;2;1;2;0.212448979592;"""4/4""";64;1;0;1;E7alt;A1;line_a
8.45204081633;0.0857142857143;4;4;2;2;2;0.220997732426;"""4/4""";66;1;0;1;E7alt;A1;line_a
8.55408163265;0.104081632653;4;4;2;2;4;0.220997732426;"""4/4""";68;1;0;1;E7alt;A1;line_a
8.67755102041;0.128571428571;4;2;2;3;2;0.21126984127;"""4/4""";70;1;0;1;E7alt;A1;line_a
8.83673469388;0.330612244898;4;1;2;4;1;0.212698412698;"""4/4""";71;1;0;1;E7alt;A1;line_a
10.3724489796;0.142857142857;4;1;4;3;1;0.212857142857;"""4/4""";69;2;1;1;Fj7;A1;line_w
10.543877551;0.0602040816327;4;2;4;4;1;0.201405895692;"""4/4""";68;2;0;1;Fj7;A1;line_w
10.6255102041;0.10306122449;4;2;4;4;2;0.201405895692;"""4/4""";67;2;0;1;Fj7;A1;line_w
10.743877551;0.0897959183673;4;2;5;1;1;0.212494331066;"""4/4""";66;2;0;1;E7alt;A1;line_w
10.8458956916;0.0957823129252;4;2;5;1;2;0.212494331066;"""4/4""";64;2;0;1;E7alt;A1;line_w
10.9583673469;0.0928798185941;4;2;5;2;1;0.212879818594;"""4/4""";62;2;0;1;E7alt;A1;line_w
11.0657596372;0.0885260770975;4;2;5;2;2;0.212879818594;"""4/4""";60;2;0;1;E7alt;A1;line_w
11.1695238095;0.077641723356;4;2;5;3;1;0.211383219955;"""4/4""";58;2;0;1;E7alt;A1;line_w
11.2812698413;0.251065759637;4;2;5;3;2;0.211383219955;"""4/4""";56;2;0;1;E7alt;A1;line_w
11.554829932;0.0522448979592;4;4;5;4;4;0.222562358277;"""4/4""";58;2;0;1;E7alt;A1;line_w
11.6215873016;0.0471655328798;4;2;6;1;1;0.201678004535;"""4/4""";61;2;0;1;E7alt;A1;line_w
11.6832653061;0.273560090703;4;2;6;1;2;0.201678004535;"""4/4""";62;2;0;1;E7alt;A1;line_w
11.9807709751;0.052970521542;4;4;6;3;1;0.212630385488;"""4/4""";60;2;0;1;E7alt;A1;line_w
12.0409977324;0.158911564626;4;4;6;3;2;0.212630385488;"""4/4""";62;2;0;1;E7alt;A1;line_w
12.2093424036;0.0718367346939;4;2;6;4;1;0.210816326531;"""4/4""";60;2;0;1;E7alt;A1;line_w
12.3073015873;0.0819954648526;4;2;6;4;2;0.210816326531;"""4/4""";58;2;0;1;E7alt;A1;line_w
12.4197732426;0.0515192743764;4;4;7;1;1;0.224172335601;"""4/4""";55;2;0;1;E7alt;A1;line_w
12.4959637188;0.111746031746;4;4;7;1;2;0.224172335601;"""4/4""";57;2;0;1;Ebj7911#;A1;line_w
12.6222222222;0.0515192743764;4;4;7;1;4;0.224172335601;"""4/4""";60;2;0;1;Ebj7911#;A1;line_w
12.6853514739;0.10231292517;4;2;7;2;1;0.222448979592;"""4/4""";62;2;0;1;Ebj7911#;A1;line_w
12.7956462585;0.0696598639456;4;2;7;2;2;0.222448979592;"""4/4""";63;2;0;1;Ebj7911#;A1;line_w
12.8878004535;0.100861678005;4;2;7;3;1;0.208526077098;"""4/4""";67;2;0;1;Ebj7911#;A1;line_w
13.001723356;0.100861678005;4;2;7;3;2;0.208526077098;"""4/4""";65;2;0;1;Ebj7911#;A1;line_w
13.1229024943;0.0754648526077;4;2;7;4;1;0.222426303855;"""4/4""";62;2;0;1;Ebj7911#;A1;line_w
13.2491609977;0.0449886621315;4;2;7;4;2;0.222426303855;"""4/4""";58;2;0;1;Ebj7911#;A1;line_w
13.3311564626;0.0856235827664;4;2;8;1;1;0.202970521542;"""4/4""";63;2;0;1;Ebj7911#;A1;line_w
13.4508843537;0.0616780045351;4;2;8;1;2;0.202970521542;"""4/4""";60;2;0;1;Ebj7911#;A1;line_w
13.5285260771;0.0878004535147;4;2;8;2;1;0.220249433107;"""4/4""";56;2;0;1;Ebj7911#;A1;line_w
13.6402721088;0.0689342403628;4;2;8;2;2;0.220249433107;"""4/4""";55;2;0;1;Ebj7911#;A1;line_w
13.7309750567;0.105941043084;4;2;8;3;1;0.202902494331;"""4/4""";58;2;0;1;Ebj7911#;A1;line_w
13.8514285714;0.12335600907;4;2;8;3;2;0.202902494331;"""4/4""";56;2;0;1;Ebj7911#;A1;line_w
14.5291609977;0.237278911565;4;4;9;2;4;0.202721088435;"""4/4""";56;3;1;1;D7;A1;lick
15.166984127;0.222040816327;4;1;10;2;1;0.211541950113;"""4/4""";57;3;0;1;Ebj7911#;A1;lick
15.7815873016;0.181405895692;4;4;10;4;4;0.222380952381;"""4/4""";58;3;0;1;Ebj7911#;A1;lick
16.3040362812;0.130612244898;4;1;11;3;1;0.232063492063;"""4/4""";59;4;1;1;E7;A1;line_w
16.4890702948;0.135691609977;4;2;11;4;1;0.21253968254;"""4/4""";62;4;0;1;E7;A1;line_w
16.6276643991;0.0819954648526;4;2;11;4;2;0.21253968254;"""4/4""";59;4;0;1;E7;A1;line_w
16.726984127;0.0803174603175;4;2;12;1;1;0.220657596372;"""4/4""";60;4;0;1;Fj7;A1;line_w
16.8167800454;0.119727891156;4;2;12;1;2;0.220657596372;"""4/4""";62;4;0;1;Fj7;A1;line_w
16.9464852608;0.0972789115646;4;4;12;2;1;0.203514739229;"""4/4""";63;4;0;1;Fj7;A1;line_w
17.0517913832;0.0504308390023;4;4;12;2;3;0.203514739229;"""4/4""";65;4;0;1;Fj7;A1;line_w
17.1065759637;0.0943310657596;4;4;12;2;4;0.203514739229;"""4/4""";67;4;0;1;Fj7;A1;line_w
17.227755102;0.0841723356009;4;2;12;3;2;0.210634920635;"""4/4""";64;4;0;1;Eb7;A1;line_w
17.337324263;0.109931972789;4;2;12;4;1;0.222585034014;"""4/4""";66;4;0;1;Eb7;A1;line_w
17.4693877551;0.06820861678;4;2;12;4;2;0.222585034014;"""4/4""";64;4;0;1;Eb7;A1;line_w
17.5611791383;0.0983219954649;4;2;13;1;1;0.211179138322;"""4/4""";65;4;0;1;Eb7;A1;line_w
17.6696598639;0.0932426303855;4;2;13;1;2;0.211179138322;"""4/4""";64;4;0;1;D-79;A1;line_w
17.7785034014;0.104126984127;4;4;13;2;1;0.212358276644;"""4/4""";63;4;0;1;D-79;A1;line_w
17.9432199546;0.065306122449;4;4;13;2;4;0.212358276644;"""4/4""";61;4;0;1;D-79;A1;line_w
18.020861678;0.0848979591837;4;2;13;3;1;0.219365079365;"""4/4""";64;4;0;1;D-79;A1;line_w
18.1228117914;0.0939682539683;4;2;13;3;2;0.219365079365;"""4/4""";61;4;0;1;D-79;A1;line_w
18.2309297052;0.094693877551;4;2;13;4;1;0.218367346939;"""4/4""";62;4;0;1;D-79;A1;line_w
18.3361451247;0.0830839002268;4;2;13;4;2;0.218367346939;"""4/4""";64;4;0;1;D-79;A1;line_w
18.4281179138;0.103764172336;4;2;14;1;1;0.216326530612;"""4/4""";65;4;0;1;D-79;A1;line_w
18.561814059;0.0778231292517;4;2;14;1;2;0.216326530612;"""4/4""";67;4;0;1;G7;A1;line_w
18.6541043084;0.0927891156463;4;2;14;2;1;0.2;"""4/4""";69;4;0;1;G7;A1;line_w
18.7628571429;0.0873015873016;4;2;14;2;2;0.2;"""4/4""";65;4;0;1;G7;A1;line_w
18.859138322;0.0987755102041;4;2;14;3;1;0.196734693878;"""4/4""";67;4;0;1;G7;A1;line_w
