onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.71428571429;0.212244897959;4;2;2;2;2;0.431836734694;"""4/4""";67;1;1;1;Bbsus7;A1;lick
6.0612244898;0.6;4;1;2;3;1;0.422131519274;"""4/4""";67;1;0;1;Bbsus7;A1;lick
6.67346938776;0.142857142857;4;2;2;4;2;0.447414965986;"""4/4""";65;1;0;1;Bbsus7;A1;lick
6.83265306122;0.122448979592;4;3;3;1;1;0.450340136054;"""4/4""";67;1;0;1;Fsus7;A1;lick
6.96734693878;0.138775510204;4;3;3;1;2;0.450340136054;"""4/4""";70;1;0;1;Fsus7;A1;lick
8.97142857143;0.134693877551;4;6;4;1;6;0.417800453515;"""4/4""";67;2;1;1;Fsus7;A1;#lick
9.12244897959;0.240816326531;4;4;4;2;2;0.422108843537;"""4/4""";70;2;0;1;Fsus7;A1;#lick
9.37142857143;0.102040816327;4;4;4;2;4;0.422108843537;"""4/4""";67;2;0;1;Fsus7;A1;#lick
9.48571428571;0.065306122449;4;3;4;3;1;0.405850340136;"""4/4""";70;2;0;1;Fsus7;A1;#lick
9.56734693878;0.171428571429;4;3;4;3;2;0.405850340136;"""4/4""";67;2;0;1;Fsus7;A1;#lick
9.74693877551;0.130612244898;4;3;4;3;3;0.405850340136;"""4/4""";70;2;0;1;Fsus7;A1;#lick
9.90204081633;0.0816326530612;4;6;4;4;2;0.457188208617;"""4/4""";67;2;0;1;Fsus7;A1;#lick
9.98367346939;0.0571428571429;4;6;4;4;3;0.457188208617;"""4/4""";65;2;0;1;Fsus7;A1;#lick
10.06;0.133514739229;4;6;4;4;4;0.457188208617;"""4/4""";67;2;0;1;Fsus7;A1;#lick
10.1994104308;0.0985487528345;4;6;4;4;6;0.457188208617;"""4/4""";70;2;0;1;Fsus7;A1;#lick
10.2979591837;0.0979591836735;4;4;5;1;1;0.4220861678;"""4/4""";67;2;0;1;Bbsus7;A1;#lick
10.3959183673;0.0472789115646;4;4;5;1;2;0.4220861678;"""4/4""";65;2;0;1;Bbsus7;A1;#lick
10.4431972789;0.342494331066;4;4;5;1;3;0.4220861678;"""4/4""";67;2;0;1;Bbsus7;A1;#lick
10.78569161;0.156734693878;4;1;5;2;1;0.421972789116;"""4/4""";70;2;0;1;Bbsus7;A1;#lick
12.693877551;0.0775510204082;4;4;6;2;3;0.4179138322;"""4/4""";70;3;1;1;Bbsus7;A1;lick
12.7755102041;0.848979591837;4;4;6;2;4;0.4179138322;"""4/4""";72;3;0;1;Bbsus7;A1;lick
13.6408163265;0.163265306122;4;2;6;4;2;0.421972789116;"""4/4""";67;3;0;1;Bbsus7;A1;lick
13.8204081633;0.228571428571;4;2;7;1;1;0.427664399093;"""4/4""";72;3;0;1;Fsus7;A1;lick
14.0571428571;0.179591836735;4;2;7;1;2;0.427664399093;"""4/4""";67;3;0;1;Fsus7;A1;lick
