onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
9.83469387755;0.0948979591837;4;12;1;2;7;1.22448979592;"""4/4""";66;1;1;1;G-7;A1;melody
9.9387755102;0.421428571429;4;12;1;2;8;1.22448979592;"""4/4""";67;1;0;1;G-7;A1;melody
10.366984127;0.0819954648526;4;12;1;2;12;1.22448979592;"""4/4""";69;1;0;1;G-7;A1;melody
10.4584126984;0.167619047619;4;6;1;3;1;1.19183673469;"""4/4""";72;1;0;1;G-7;A1;melody
10.7740589569;0.417959183673;4;6;1;3;3;1.19183673469;"""4/4""";67;1;0;1;G-7;A1;melody
11.2058049887;0.0631292517007;4;6;1;3;5;1.19183673469;"""4/4""";71;1;0;1;G-7;A1;melody
11.2734693878;0.381632653061;4;6;1;3;6;1.19183673469;"""4/4""";72;1;0;1;G-7;A1;melody
11.6653061224;0.395918367347;4;2;1;4;1;1.14285714286;"""4/4""";70;1;0;1;G-7;A1;melody
12.0975963719;0.467301587302;4;2;1;4;2;1.14285714286;"""4/4""";67;1;0;1;G-7;A1;melody
14.6053514739;0.325079365079;4;12;2;2;8;1.17551020408;"""4/4""";67;2;1;1;F-7;A1;#melody
14.9333333333;0.0522448979592;4;12;2;2;11;1.17551020408;"""4/4""";70;2;0;1;F-7;A1;#melody
14.9935600907;0.282993197279;4;12;2;2;12;1.17551020408;"""4/4""";72;2;0;1;F-7;A1;#melody
15.3019501134;0.290249433107;4;4;2;3;2;1.11020408163;"""4/4""";70;2;0;1;F-7;A1;#melody
15.6038095238;0.383129251701;4;4;2;3;3;1.11020408163;"""4/4""";67;2;0;1;F-7;A1;#melody
15.9985487528;1.03328798186;4;4;2;3;4;1.11020408163;"""4/4""";65;2;0;1;F-7;A1;#melody
17.0318367347;0.452789115646;4;2;2;4;2;1.15918367347;"""4/4""";60;2;0;1;F-7;A1;#melody
17.542675737;0.476009070295;4;2;3;1;1;1.19183673469;"""4/4""";58;2;0;1;Ebj7;A1;#melody
18.0535147392;1.55573696145;4;2;3;1;2;1.19183673469;"""4/4""";62;2;0;1;Ebj7;A1;#melody
23.3941043084;0.394739229025;4;4;4;2;2;1.20707482993;"""4/4""";57;3;1;1;A79b13;A1;melody
23.8120634921;0.313469387755;4;4;4;2;3;1.20707482993;"""4/4""";56;3;0;1;A79b13;A1;melody
24.1487528345;0.232199546485;4;4;4;2;4;1.20707482993;"""4/4""";55;3;0;1;A79b13;A1;melody
24.4041723356;0.754648526077;4;3;4;3;1;1.23732426304;"""4/4""";61;3;0;1;A79b13;A1;melody
25.170430839;0.348299319728;4;3;4;3;3;1.23732426304;"""4/4""";60;3;0;1;A79b13;A1;melody
25.5755102041;0.734693877551;4;6;4;4;1;1.19795918367;"""4/4""";59;3;0;1;A79b13;A1;melody
26.3996371882;0.0510204081633;4;6;4;4;5;1.19795918367;"""4/4""";70;3;0;1;A79b13;A1;melody
26.4707482993;0.255419501134;4;6;4;4;6;1.19795918367;"""4/4""";67;3;0;1;A79b13;A1;melody
26.7261678005;0.220589569161;4;4;5;1;1;1.10988662132;"""4/4""";66;3;0;1;A79b13;A1;melody
26.9815873016;3.1579138322;4;4;5;1;2;1.10988662132;"""4/4""";65;3;0;1;Gbj7;A1;melody
32.5572789116;0.0856235827664;4;1;6;1;1;1.17201814059;"""4/4""";60;4;1;1;Fsus79;A1;#melody
32.7865759637;0.127709750567;4;6;6;2;2;1.18170068027;"""4/4""";71;4;0;1;Fsus79;A1;#melody
32.9258956916;0.139319727891;4;6;6;2;3;1.18170068027;"""4/4""";72;4;0;1;Fsus79;A1;#melody
33.1000453515;0.24380952381;4;6;6;2;4;1.18170068027;"""4/4""";71;4;0;1;Fsus79;A1;#melody
33.3670748299;2.40326530612;4;6;6;2;5;1.18170068027;"""4/4""";70;4;0;1;Fsus79;A1;#melody
35.812244898;0.220408163265;4;6;6;4;5;1.24299319728;"""4/4""";65;4;0;1;Fsus79;A1;#melody
36.0326530612;0.212244897959;4;6;6;4;6;1.24299319728;"""4/4""";64;4;0;1;Fsus79;A1;#melody
36.2693877551;1.8693877551;4;1;7;1;1;1.18126984127;"""4/4""";63;4;0;1;Eb-7;A1;#melody
38.1469387755;0.228571428571;4;4;7;2;3;1.21653061224;"""4/4""";61;4;0;1;Eb-7;A1;#melody
38.3918367347;0.236734693878;4;4;7;2;4;1.21653061224;"""4/4""";58;4;0;1;Eb-7;A1;#melody
38.6775510204;0.10612244898;4;6;7;3;1;1.21036281179;"""4/4""";62;4;0;1;Eb-7;A1;#melody
38.7918367347;0.620408163265;4;6;7;3;2;1.21036281179;"""4/4""";63;4;0;1;Eb-7;A1;#melody
39.4376417234;0.100136054422;4;6;7;3;5;1.21036281179;"""4/4""";62;4;0;1;Eb-7;A1;#melody
39.5510204082;0.897959183673;4;6;7;3;6;1.21036281179;"""4/4""";63;4;0;1;Eb-7;A1;#melody
40.4816326531;0.204081632653;4;4;7;4;3;1.19183673469;"""4/4""";61;4;0;1;Eb-7;A1;#melody
40.7020408163;0.310204081633;4;4;7;4;4;1.19183673469;"""4/4""";58;4;0;1;Eb-7;A1;#melody
41.0367346939;0.122448979592;4;6;8;1;1;1.14285714286;"""4/4""";63;4;0;1;Bbsus79;A1;#melody
41.1755102041;0.138775510204;4;6;8;1;2;1.14285714286;"""4/4""";61;4;0;1;Bbsus79;A1;#melody
41.3306122449;1.8693877551;4;6;8;1;3;1.14285714286;"""4/4""";58;4;0;1;Bbsus79;A1;#melody
44.987755102;0.277551020408;4;4;8;4;2;1.2506122449;"""4/4""";58;5;1;1;Bbsus79;A1;melody
45.5775510204;0.428571428571;4;4;8;4;4;1.2506122449;"""4/4""";44;5;0;1;Bbsus79;A1;melody
46.0979591837;0.29387755102;4;4;9;1;2;1.19827664399;"""4/4""";47;5;0;1;Bb7;A1;melody
46.4081632653;0.702040816327;4;4;9;1;3;1.19827664399;"""4/4""";52;5;0;1;Bb7;A1;melody
47.1265306122;0.69387755102;4;2;9;2;1;1.20786848073;"""4/4""";54;5;0;1;Bb7;A1;melody
47.8530612245;0.759183673469;4;2;9;2;2;1.20786848073;"""4/4""";56;5;0;1;Bb7;A1;melody
48.6285714286;0.734693877551;4;14;9;3;6;1.21473922902;"""4/4""";59;5;0;1;Bb7;A1;melody
49.3632653061;0.644897959184;4;14;9;3;14;1.21473922902;"""4/4""";64;5;0;1;Bb7;A1;melody
50.0244897959;0.187755102041;4;12;9;4;7;1.16863945578;"""4/4""";66;5;0;1;Bb7;A1;melody
50.2367346939;0.285714285714;4;12;9;4;9;1.16863945578;"""4/4""";68;5;0;1;Bb7;A1;melody
50.5306122449;2.44897959184;4;12;9;4;12;1.16863945578;"""4/4""";70;5;0;1;Bb7;A1;melody
54.8734693878;0.179591836735;4;6;10;4;4;1.20498866213;"""4/4""";70;6;1;1;Ebj7;B1;melody
55.0612244898;0.0816326530612;4;6;10;4;5;1.20498866213;"""4/4""";74;6;0;1;Ebj7;B1;melody
55.1551020408;0.351020408163;4;6;10;4;6;1.20498866213;"""4/4""";75;6;0;1;Ebj7;B1;melody
55.5591836735;4.12244897959;4;1;11;1;1;1.17310657596;"""4/4""";73;6;0;1;Ej7/D#;B1;melody
59.7306122449;0.351020408163;4;2;11;4;2;1.15585034014;"""4/4""";70;6;0;1;Ej7/D#;B1;melody
60.1142857143;0.628571428571;4;5;12;1;1;1.21891156463;"""4/4""";69;6;0;1;Ebj7911#;B1;melody
60.8173469388;0.130612244898;4;5;12;1;4;1.21891156463;"""4/4""";76;6;0;1;Ebj7911#;B1;melody
