onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.72807256236;0.139319727891;3;4;1;1;4;0.313129251701;"""3/4""";67;1;1;1;Bb+7;A1;lick
5.87551020408;1.84489795918;3;1;1;2;1;0.313560090703;"""3/4""";69;1;0;1;Bb+7;A1;lick
7.75764172336;0.0696598639456;3;4;3;1;4;0.340657596372;"""3/4""";66;1;0;1;Bb+7;A1;lick
7.86358276644;0.211156462585;3;3;3;2;1;0.333219954649;"""3/4""";69;1;0;1;Bb+7;A1;lick
8.09578231293;0.167346938776;3;3;3;2;3;0.333219954649;"""3/4""";67;1;0;1;Bb+7;A1;lick
9.6;0.0612244897959;3;4;5;1;1;0.340839002268;"""3/4""";68;2;1;1;Bb+7;A1;#lick
9.67142857143;2.02653061224;3;4;5;1;2;0.340839002268;"""3/4""";69;2;0;1;Bb+7;A1;#lick
11.7142857143;0.175510204082;3;4;7;1;2;0.341700680272;"""3/4""";69;2;0;1;Bb+7;A1;#lick
11.9346938776;0.069387755102;3;4;7;1;4;0.341700680272;"""3/4""";66;2;0;1;Bb+7;A1;#lick
12.0214285714;0.217346938776;3;3;7;2;1;0.350385487528;"""3/4""";69;2;0;1;Bb+7;A1;#lick
12.2428571429;0.892857142857;3;3;7;2;3;0.350385487528;"""3/4""";67;2;0;1;Bb+7;A1;#lick
13.1418367347;0.270408163265;3;1;8;2;1;0.350544217687;"""3/4""";63;2;0;1;Bb+7;A1;#lick
13.9857142857;0.318367346939;3;2;9;1;2;0.359024943311;"""3/4""";62;3;1;1;Bb+7;A1;lick
14.3102040816;0.314285714286;3;2;9;2;2;0.333038548753;"""3/4""";66;3;0;1;Bb+7;A1;lick
14.6867346939;0.624489795918;3;2;9;3;2;0.3310430839;"""3/4""";70;3;0;1;Bb+7;A1;lick
16.0795918367;0.0938775510204;3;2;11;1;2;0.345827664399;"""3/4""";68;4;1;1;A7;A1;#lick
16.1816326531;0.229591836735;3;3;11;2;1;0.34283446712;"""3/4""";69;4;0;1;A7;A1;#lick
16.4153061224;0.320408163265;3;3;11;2;3;0.34283446712;"""3/4""";67;4;0;1;A7;A1;#lick
16.7469387755;0.491836734694;3;2;11;3;2;0.349297052154;"""3/4""";64;4;0;1;A7;A1;#lick
18.1086621315;0.0609523809524;3;4;13;1;3;0.340589569161;"""3/4""";69;5;1;1;Abj7;A1;#lick
18.1775510204;0.287755102041;3;4;13;1;4;0.340589569161;"""3/4""";70;5;0;1;Abj7;A1;#lick
18.4724489796;0.323469387755;3;2;13;2;2;0.342857142857;"""3/4""";68;5;0;1;Abj7;A1;#lick
18.819047619;0.315646258503;3;2;13;3;2;0.367346938776;"""3/4""";63;5;0;1;Abj7;A1;#lick
19.139047619;0.313469387755;3;2;14;1;2;0.334693877551;"""3/4""";65;5;0;1;Abj7;A1;#lick
19.5069387755;0.263401360544;3;2;14;2;2;0.366802721088;"""3/4""";70;5;0;1;Abj7;A1;#lick
19.8276643991;0.0798185941043;3;4;14;3;3;0.340657596372;"""3/4""";68;5;0;1;Abj7;A1;#lick
19.9140136054;0.382403628118;3;4;14;3;4;0.340657596372;"""3/4""";69;5;0;1;Abj7;A1;#lick
20.3145578231;0.179954648526;3;2;15;2;1;0.349160997732;"""3/4""";67;5;0;1;E-7;A1;#lick
20.5285714286;0.206077097506;3;2;15;2;2;0.349160997732;"""3/4""";64;5;0;1;E-7;A1;#lick
