onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.82530612245;0.107392290249;4;4;0;4;3;0.538367346939;"""4/4""";70;1;1;-1;NC;I1;lick
5.95011337868;0.0841723356009;4;4;0;4;4;0.538367346939;"""4/4""";67;1;0;-1;NC;I1;lick
6.11555555556;0.150929705215;4;3;1;1;1;0.491882086168;"""4/4""";72;1;0;1;C-7;A1;lick
6.2780952381;0.152380952381;4;3;1;1;2;0.491882086168;"""4/4""";72;1;0;1;C-7;A1;lick
6.4464399093;0.140770975057;4;3;1;1;3;0.491882086168;"""4/4""";72;1;0;1;C-7;A1;lick
8.08775510204;0.069387755102;4;4;1;4;4;0.559183673469;"""4/4""";67;2;1;1;C-7;A1;lick
8.21224489796;0.289795918367;4;3;2;1;1;0.50612244898;"""4/4""";72;2;0;1;Am7b5;A1;lick
8.53469387755;0.302040816327;4;3;2;1;3;0.50612244898;"""4/4""";69;2;0;1;Am7b5;A1;lick
10.6551020408;0.287755102041;4;4;3;1;4;0.534693877551;"""4/4""";74;3;1;1;Am7b5;A1;lick
11.090430839;0.388934240363;4;2;3;2;2;0.497959183673;"""4/4""";77;3;0;1;Am7b5;A1;lick
11.4897959184;0.0397959183673;4;5;3;3;3;0.522448979592;"""4/4""";76;3;0;1;D7;A1;lick
11.5367346939;0.107142857143;4;5;3;3;4;0.522448979592;"""4/4""";75;3;0;1;D7;A1;lick
11.6540816327;0.518367346939;4;5;3;3;5;0.522448979592;"""4/4""";74;3;0;1;D7;A1;lick
12.220952381;0.197369614512;4;4;3;4;4;0.522448979592;"""4/4""";72;3;0;1;D7;A1;lick
12.4662131519;0.0769160997732;4;4;4;1;2;0.50612244898;"""4/4""";71;3;0;1;Dm7b5;A1;lick
12.5590929705;0.114648526077;4;4;4;1;3;0.50612244898;"""4/4""";74;3;0;1;Dm7b5;A1;lick
12.6911564626;0.087074829932;4;4;4;1;4;0.50612244898;"""4/4""";71;3;0;1;Dm7b5;A1;lick
12.7898412698;0.198820861678;4;3;4;2;1;0.49387755102;"""4/4""";68;3;0;1;Dm7b5;A1;lick
13.0147845805;0.150929705215;4;3;4;2;2;0.49387755102;"""4/4""";67;3;0;1;Dm7b5;A1;lick
13.1990929705;0.139319727891;4;3;4;2;3;0.49387755102;"""4/4""";65;3;0;1;Dm7b5;A1;lick
13.4443537415;0.615328798186;4;1;4;3;1;0.555102040816;"""4/4""";70;3;0;1;G7;A1;lick
14.1278911565;0.124807256236;4;4;4;4;3;0.526530612245;"""4/4""";68;3;0;1;G7;A1;~lick
14.26430839;0.0986848072562;4;4;4;4;4;0.526530612245;"""4/4""";70;3;0;1;G7;A1;~lick
14.4341043084;0.0667573696145;4;4;5;1;1;0.477551020408;"""4/4""";66;3;0;1;C-7;A1;~lick
14.509569161;0.23074829932;4;4;5;1;2;0.477551020408;"""4/4""";67;3;0;1;C-7;A1;~lick
14.9142857143;0.318367346939;4;1;5;2;1;0.551020408163;"""4/4""";60;3;0;1;C-7;A1;~lick
15.4398185941;0.348299319728;4;3;5;3;1;0.534693877551;"""4/4""";63;3;0;1;C-7;A1;~lick
15.8084353741;0.153832199546;4;3;5;3;3;0.534693877551;"""4/4""";60;3;0;1;C-7;A1;~lick
15.9782312925;0.388934240363;4;4;5;4;1;0.49387755102;"""4/4""";63;3;0;1;C-7;A1;~lick
16.3918367347;0.0536961451247;4;4;5;4;4;0.49387755102;"""4/4""";60;3;0;1;C-7;A1;~lick
16.4702040816;0.622585034014;4;1;6;1;1;0.485714285714;"""4/4""";63;3;0;1;Am7b5;A1;~lick
17.8387301587;0.136734693878;4;2;6;3;2;0.510204081633;"""4/4""";63;4;1;1;Abj7;A1;*theme:t7
