onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
7.54648526077;0.150929705215;4;10;1;1;4;1.00709750567;"""4/4""";70;1;1;1;Ebj7;A1;melody
7.70321995465;0.150929705215;4;10;1;1;5;1.00709750567;"""4/4""";72;1;0;1;Ebj7;A1;melody
7.86575963719;0.208979591837;4;10;1;1;7;1.00709750567;"""4/4""";74;1;0;1;Ebj7;A1;melody
8.08634920635;0.0638548752834;4;10;1;1;9;1.00709750567;"""4/4""";75;1;0;1;Ebj7;A1;melody
8.17342403628;0.145124716553;4;10;1;1;10;1.00709750567;"""4/4""";74;1;0;1;Ebj7;A1;melody
8.34176870748;1.27129251701;4;1;1;2;1;1.04761904762;"""4/4""";70;1;0;1;Ebj7;A1;melody
9.64789115646;0.0638548752834;4;4;1;3;2;1.03229024943;"""4/4""";67;1;0;1;Eo7;A1;melody
9.71174603175;0.16253968254;4;4;1;3;3;1.03229024943;"""4/4""";68;1;0;1;Eo7;A1;melody
9.88009070295;1.18421768707;4;4;1;3;4;1.03229024943;"""4/4""";67;1;0;1;Eo7;A1;melody
11.1107482993;0.133514739229;4;6;1;4;5;1.05732426304;"""4/4""";70;1;0;1;Eo7;A1;melody
11.2674829932;0.19156462585;4;6;1;4;6;1.05732426304;"""4/4""";67;1;0;1;Eo7;A1;melody
11.4648526077;0.319274376417;4;2;2;1;1;1.01272108844;"""4/4""";68;1;0;1;F-7;A1;melody
11.8073469388;0.11029478458;4;2;2;1;2;1.01272108844;"""4/4""";65;1;0;1;F-7;A1;melody
13.2411791383;0.208979591837;4;4;2;2;4;1.06163265306;"""4/4""";70;2;1;1;F-7;A1;lick
13.4559637188;0.267029478458;4;4;2;3;1;1.02818594104;"""4/4""";69;2;0;1;F-7;A1;lick
13.7287981859;0.133514739229;4;4;2;3;2;1.02818594104;"""4/4""";74;2;0;1;Bb7;A1;lick
15.2613151927;0.168344671202;4;8;2;4;7;1.00682539683;"""4/4""";72;3;1;1;Bb7;A1;melody
15.4412698413;0.214784580499;4;8;2;4;8;1.00682539683;"""4/4""";74;3;0;1;Bb7;A1;melody
15.7082993197;0.0696598639456;4;6;3;1;2;1.01265306122;"""4/4""";77;3;0;1;Ebj7;A1;melody
15.8;0.0571428571429;4;6;3;1;3;1.01265306122;"""4/4""";76;3;0;1;Ebj7;A1;melody
15.8653061224;0.0938775510204;4;6;3;1;4;1.01265306122;"""4/4""";75;3;0;1;Ebj7;A1;melody
15.9673469388;0.171428571429;4;6;3;1;5;1.01265306122;"""4/4""";74;3;0;1;Ebj7;A1;melody
16.2204081633;0.122448979592;4;6;3;1;6;1.01265306122;"""4/4""";72;3;0;1;Ebj7;A1;melody
16.5297052154;0.754648526077;4;4;3;2;1;1.00303854875;"""4/4""";70;3;0;1;Ebj7;A1;melody
