onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.9706122449;0.142857142857;4;2;1;2;1;0.371587301587;"""4/4""";68;1;1;1;G-79;A1;lick
4.15102040816;0.0775510204082;4;2;1;2;2;0.371587301587;"""4/4""";70;1;0;1;G-79;A1;lick
4.36734693878;0.118367346939;4;2;1;3;1;0.383764172336;"""4/4""";72;1;0;1;F-79;A1;lick
4.51836734694;0.514285714286;4;2;1;3;2;0.383764172336;"""4/4""";74;1;0;1;F-79;A1;lick
5.07346938776;0.183673469388;4;2;2;1;1;0.372426303855;"""4/4""";72;1;0;1;F-79;A1;lick
5.28979591837;0.138775510204;4;2;2;1;2;0.372426303855;"""4/4""";70;1;0;1;G-79;A1;lick
5.45714285714;0.179591836735;4;3;2;2;1;0.330453514739;"""4/4""";67;1;0;1;G-79;A1;lick
5.68571428571;0.551020408163;4;3;2;2;3;0.330453514739;"""4/4""";65;1;0;1;G-79;A1;lick
6.2612244898;0.171428571429;4;2;2;4;2;0.342789115646;"""4/4""";63;1;0;1;F-79;A1;~#-lick
6.48571428571;0.122448979592;4;2;3;1;1;0.37485260771;"""4/4""";67;1;0;1;F-79;A1;~#-lick
6.65306122449;0.30612244898;4;2;3;1;2;0.37485260771;"""4/4""";70;1;0;1;C-79;A1;~#-lick
7.01632653061;0.167346938776;4;2;3;2;2;0.342290249433;"""4/4""";68;1;0;1;C-79;A1;~#-lick
7.22040816327;0.142857142857;4;2;3;3;1;0.37;"""4/4""";65;1;0;1;Bb-79;A1;~#-lick
7.41224489796;0.159183673469;4;2;3;3;2;0.37;"""4/4""";61;1;0;1;Bb-79;A1;~#-lick
7.61224489796;0.167346938776;4;2;3;4;1;0.357414965986;"""4/4""";54;1;0;1;Bb-79;A1;~#-lick
7.81224489796;0.257142857143;4;2;3;4;2;0.357414965986;"""4/4""";56;1;0;1;Bb-79;A1;line_a
8.11428571429;0.118367346939;4;2;4;1;2;0.371587301587;"""4/4""";58;1;0;1;Gb79;A1;line_a
8.30204081633;0.122448979592;4;2;4;2;1;0.349365079365;"""4/4""";62;1;0;1;Gb79;A1;line_a
8.4612244898;0.163265306122;4;2;4;2;2;0.349365079365;"""4/4""";66;1;0;1;Gb79;A1;line_a
8.64897959184;0.167346938776;4;2;4;3;1;0.327551020408;"""4/4""";68;1;0;1;Gb79;A1;line_a
8.84897959184;0.0775510204082;4;2;4;3;2;0.327551020408;"""4/4""";70;1;0;1;Gb79;A1;line_a
9.17142857143;0.151020408163;4;2;4;4;2;0.356485260771;"""4/4""";70;1;0;1;Gb79;A1;lick
9.35102040816;0.0816326530612;4;2;5;1;1;0.35306122449;"""4/4""";67;1;0;1;G-79;A1;lick
9.5387755102;0.10612244898;4;2;5;1;2;0.35306122449;"""4/4""";79;1;0;1;G-79;A1;lick
10.5836734694;0.159183673469;4;2;5;4;2;0.370861678005;"""4/4""";77;2;1;1;F-79;A1;#+lick
10.7740589569;0.188662131519;4;2;6;1;1;0.354444444444;"""4/4""";79;2;0;1;F-79;A1;#+lick
11.0033560091;0.0812698412698;4;2;6;1;2;0.354444444444;"""4/4""";82;2;0;1;G-79;A1;#+lick
