onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.38367346939;0.248979591837;4;3;0;2;1;0.431904761905;"""4/4""";64;1;1;-1;NC;I1;lick
4.66530612245;0.142857142857;4;3;0;2;3;0.431904761905;"""4/4""";59;1;0;-1;NC;I1;lick
4.81632653061;0.228571428571;4;2;0;3;1;0.421995464853;"""4/4""";64;1;0;-1;NC;I1;lick
5.0693877551;0.110204081633;4;2;0;3;2;0.421995464853;"""4/4""";64;1;0;-1;NC;I1;lick
5.20816326531;0.167346938776;4;3;0;4;1;0.422108843537;"""4/4""";59;1;0;-1;NC;I1;lick
5.49795918367;0.118367346939;4;3;0;4;3;0.422108843537;"""4/4""";64;1;0;-1;NC;I1;lick
5.66530612245;0.220408163265;4;2;1;1;1;0.42231292517;"""4/4""";63;1;0;1;Bj7;A1;lick
5.92244897959;0.10612244898;4;2;1;1;2;0.42231292517;"""4/4""";66;1;0;1;Bj7;A1;lick
6.04489795918;0.232653061224;4;1;1;2;1;0.437392290249;"""4/4""";71;1;0;1;Bj7;A1;lick
6.49795918367;0.0857142857143;4;4;1;3;1;0.4310430839;"""4/4""";61;1;0;1;Bj7;A1;lick
6.59591836735;0.216326530612;4;4;1;3;2;0.4310430839;"""4/4""";63;1;0;1;Bj7;A1;lick
8.94285714286;0.54693877551;4;2;2;4;2;0.39947845805;"""4/4""";70;2;1;1;Bj7;A1;lick
9.52244897959;0.269387755102;4;1;3;2;1;0.431927437642;"""4/4""";70;2;0;1;F-7;A1;lick
9.92244897959;0.714285714286;4;1;3;3;1;0.457074829932;"""4/4""";70;2;0;1;F-7;A1;lick
10.6612244898;0.179591836735;4;2;3;4;2;0.421133786848;"""4/4""";68;2;0;1;Bb7;A1;lick
10.9183673469;0.318367346939;4;1;4;1;1;0.422108843537;"""4/4""";66;2;0;1;Eb-7;A1;lick
11.3102040816;0.236734693878;4;4;4;2;2;0.447029478458;"""4/4""";66;2;0;1;Eb-7;A1;lick
11.5918367347;0.526530612245;4;4;4;2;4;0.447029478458;"""4/4""";66;2;0;1;Eb-7;A1;lick
12.1591836735;0.216326530612;4;2;4;4;1;0.439795918367;"""4/4""";68;2;0;1;Ab7;A1;lick
12.4204081633;0.14693877551;4;2;4;4;2;0.439795918367;"""4/4""";66;2;0;1;Ab7;A1;lick
12.5755102041;0.277551020408;4;6;5;1;1;0.433922902494;"""4/4""";64;2;0;1;Db-7;A1;lick
12.8734693878;0.0938775510204;4;6;5;1;5;0.433922902494;"""4/4""";64;2;0;1;Db-7;A1;lick
12.9714285714;0.285714285714;4;6;5;1;6;0.433922902494;"""4/4""";75;2;0;1;Db-7;A1;lick
13.3142857143;1.2693877551;4;2;5;2;2;0.427709750567;"""4/4""";64;2;0;1;Db-7;A1;lick
15.5183673469;0.110204081633;4;4;6;3;4;0.441678004535;"""4/4""";68;3;1;1;Db-7;A1;lick
15.6653061224;0.240816326531;4;2;6;4;1;0.416870748299;"""4/4""";71;3;0;1;Db-7;A1;lick
15.9102040816;0.126530612245;4;2;6;4;2;0.416870748299;"""4/4""";69;3;0;1;Db-7;A1;lick
16.0530612245;1.27346938776;4;1;7;1;1;0.432063492063;"""4/4""";70;3;0;1;Gb7;A1;lick
17.3306122449;0.273469387755;4;3;7;4;1;0.441723356009;"""4/4""";68;3;0;1;Gb7;A1;lick
17.6285714286;0.187755102041;4;3;7;4;3;0.441723356009;"""4/4""";66;3;0;1;Gb7;A1;lick
17.9102040816;0.277551020408;4;2;8;1;2;0.436507936508;"""4/4""";64;3;0;1;E-;A1;lick
18.2244897959;0.244897959184;4;3;8;2;1;0.44179138322;"""4/4""";64;3;0;1;E-;A1;lick
18.5224489796;0.808163265306;4;3;8;2;3;0.44179138322;"""4/4""";63;3;0;1;E-;A1;lick
19.3591836735;0.163265306122;4;2;8;4;2;0.441995464853;"""4/4""";61;3;0;1;E-;A1;~line_w
19.5959183673;0.167346938776;4;2;9;1;1;0.437369614512;"""4/4""";63;3;0;1;Eb-7;A1;~line_w
19.812244898;0.138775510204;4;2;9;1;2;0.437369614512;"""4/4""";66;3;0;1;Eb-7;A1;~line_w
19.9918367347;0.212244897959;4;2;9;2;1;0.430929705215;"""4/4""";70;3;0;1;Eb-7;A1;~line_w
20.2448979592;0.208163265306;4;2;9;2;2;0.430929705215;"""4/4""";74;3;0;1;Eb-7;A1;~line_w
20.506122449;0.0530612244898;4;4;9;3;2;0.422199546485;"""4/4""";76;3;0;1;Eb-7;A1;~line_w
20.5755102041;0.261224489796;4;4;9;3;3;0.422199546485;"""4/4""";77;3;0;1;Eb-7;A1;~line_w
20.8530612245;0.220408163265;4;2;9;4;1;0.431972789116;"""4/4""";75;3;0;1;Eb-7;A1;~line_w
21.1102040816;0.187755102041;4;2;9;4;2;0.431972789116;"""4/4""";76;3;0;1;Eb-7;A1;~line_w
21.3632653061;0.118367346939;4;4;10;1;2;0.44693877551;"""4/4""";81;3;0;1;D-7;A1;~line_w
21.493877551;0.102040816327;4;4;10;1;3;0.44693877551;"""4/4""";79;3;0;1;D-7;A1;~line_w
21.6204081633;0.0897959183673;4;4;10;1;4;0.44693877551;"""4/4""";77;3;0;1;D-7;A1;~line_w
21.7265306122;0.216326530612;4;2;10;2;1;0.422267573696;"""4/4""";76;3;0;1;D-7;A1;~line_w
21.9836734694;0.183673469388;4;2;10;2;2;0.422267573696;"""4/4""";74;3;0;1;D-7;A1;~line_w
22.2448979592;0.138775510204;4;3;10;3;2;0.431859410431;"""4/4""";72;3;0;1;G79;A1;~line_w
22.4285714286;0.122448979592;4;3;10;3;3;0.431859410431;"""4/4""";71;3;0;1;G79;A1;~line_w
22.5714285714;0.208163265306;4;3;10;4;1;0.426802721088;"""4/4""";69;3;0;1;G79;A1;~line_w
22.8408163265;0.171428571429;4;3;10;4;3;0.426802721088;"""4/4""";68;3;0;1;G79;A1;~line_w
23.0530612245;0.171428571429;4;2;11;1;1;0.441700680272;"""4/4""";66;3;0;1;D-7;A1;~line_w
23.2897959184;0.175510204082;4;2;11;1;2;0.441700680272;"""4/4""";75;3;0;1;D-7;A1;~##lick
23.5673469388;0.138775510204;4;4;11;2;2;0.447029478458;"""4/4""";73;3;0;1;D-7;A1;~##lick
23.7836734694;0.14693877551;4;4;11;2;4;0.447029478458;"""4/4""";64;3;0;1;D-7;A1;~##lick
24.0448979592;0.236734693878;4;2;11;3;2;0.457097505669;"""4/4""";66;3;0;1;D-7;A1;~##lick
24.3387755102;0.289795918367;4;4;11;4;1;0.416575963719;"""4/4""";64;3;0;1;D-7;A1;~##lick
24.6653061224;0.971428571429;4;4;11;4;4;0.416575963719;"""4/4""";63;3;0;1;D-7;A1;~##lick
26.387755102;0.45306122449;4;2;12;4;2;0.463446712018;"""4/4""";71;4;1;1;Eb7;A1;lick
26.8693877551;0.102040816327;4;4;13;1;4;0.422154195011;"""4/4""";68;4;0;1;Ab-7;A1;lick
26.9755102041;0.289795918367;4;1;13;2;1;0.446961451247;"""4/4""";71;4;0;1;Ab-7;A1;lick
27.4;0.265306122449;4;4;13;3;1;0.422267573696;"""4/4""";68;4;0;1;Ab-7;A1;lick
27.7469387755;0.579591836735;4;4;13;3;4;0.422267573696;"""4/4""";59;4;0;1;Ab-7;A1;lick
29.1755102041;0.669387755102;4;1;14;3;1;0.431950113379;"""4/4""";77;5;1;1;Db79;A1;line_i_dd
29.8775510204;0.224489795918;4;2;14;4;2;0.431655328798;"""4/4""";78;5;0;1;Db79;A1;line_i_dd
30.1510204082;0.302040816327;4;1;15;1;1;0.422335600907;"""4/4""";76;5;0;1;Db-7;A1;line_i_dd
30.4653061224;0.248979591837;4;3;15;2;1;0.437369614512;"""4/4""";73;5;0;1;Db-7;A1;line_i_dd
30.7673469388;0.212244897959;4;3;15;2;3;0.437369614512;"""4/4""";75;5;0;1;Db-7;A1;line_i_dd
31.0530612245;0.322448979592;4;2;15;3;2;0.451292517007;"""4/4""";73;5;0;1;Db-7;A1;line_i_dd
31.3836734694;0.244897959184;4;3;15;4;1;0.437437641723;"""4/4""";70;5;0;1;Db-7;A1;line_i_dd
31.6693877551;0.14693877551;4;3;15;4;3;0.437437641723;"""4/4""";71;5;0;1;Db-7;A1;line_i_dd
31.8897959184;0.204081632653;4;4;16;1;2;0.455918367347;"""4/4""";67;5;0;1;Gb7;A1;line_i_dd
32.1142857143;0.159183673469;4;4;16;1;4;0.455918367347;"""4/4""";68;5;0;1;Gb7;A1;line_i_dd
32.3102040816;0.204081632653;4;2;16;2;1;0.44179138322;"""4/4""";64;5;0;1;Gb7;A1;line_i_dd
32.5224489796;0.175510204082;4;2;16;2;2;0.44179138322;"""4/4""";61;5;0;1;Gb7;A1;line_i_dd
32.7795918367;0.371428571429;4;1;16;3;1;0.437641723356;"""4/4""";55;5;0;1;Gb7;A1;~melody
33.1959183673;0.302040816327;4;1;16;4;1;0.441496598639;"""4/4""";56;5;0;1;Gb7;A1;~melody
33.5673469388;0.804081632653;4;1;17;1;1;0.457142857143;"""4/4""";66;5;0;1;Bj7;B1;~melody
34.4642176871;0.719818594104;4;1;17;3;1;0.426598639456;"""4/4""";66;5;0;1;Bj7;B1;~melody
35.2163265306;0.885714285714;4;2;17;4;2;0.44179138322;"""4/4""";63;5;0;1;Bj7;B1;~melody
36.6448979592;0.261224489796;4;3;18;4;1;0.431950113379;"""4/4""";57;6;1;1;Bj7;B1;#-melody
36.9265306122;0.2;4;3;18;4;3;0.431950113379;"""4/4""";58;6;0;1;Bj7;B1;#-melody
37.1265306122;0.0489795918367;4;6;19;1;2;0.430997732426;"""4/4""";65;6;0;1;F-7;B1;#-melody
37.2326530612;0.228571428571;4;6;19;1;3;0.430997732426;"""4/4""";70;6;0;1;F-7;B1;#-melody
37.4653061224;0.29387755102;4;6;19;1;6;0.430997732426;"""4/4""";68;6;0;1;F-7;B1;#-melody
37.7918367347;0.74693877551;4;2;19;2;2;0.447233560091;"""4/4""";68;6;0;1;F-7;B1;#-melody
38.6040816327;0.138775510204;4;3;19;4;2;0.447097505669;"""4/4""";56;6;0;1;Bb7;B1;#-melody
38.7673469388;0.0775510204082;4;3;19;4;3;0.447097505669;"""4/4""";65;6;0;1;Bb7;B1;#-melody
38.906122449;0.289795918367;4;6;20;1;2;0.44179138322;"""4/4""";68;6;0;1;Eb-7;B1;#-melody
39.212244898;0.342857142857;4;6;20;1;6;0.44179138322;"""4/4""";66;6;0;1;Eb-7;B1;#-melody
39.587755102;0.530612244898;4;2;20;2;2;0.430997732426;"""4/4""";66;6;0;1;Eb-7;B1;#-melody
40.1428571429;0.25306122449;4;3;20;4;1;0.431995464853;"""4/4""";68;6;0;1;Ab7;B1;~#9-lick
40.4408163265;0.171428571429;4;3;20;4;3;0.431995464853;"""4/4""";66;6;0;1;Ab7;B1;~#9-lick
40.6530612245;0.208163265306;4;1;21;1;1;0.412176870748;"""4/4""";64;6;0;1;Db-7;B1;~#9-lick
41.012244898;0.114285714286;4;4;21;2;1;0.441723356009;"""4/4""";74;6;0;1;Db-7;B1;~#9-lick
41.1265306122;0.297959183673;4;4;21;2;2;0.441723356009;"""4/4""";75;6;0;1;Db-7;B1;~#9-lick
41.4897959184;1.24489795918;4;1;21;3;1;0.44716553288;"""4/4""";64;6;0;1;Db-7;B1;~#9-lick
43.9469387755;0.212244897959;4;2;22;4;2;0.427437641723;"""4/4""";68;7;1;1;Db-7;B1;line_w
44.1959183673;0.224489795918;4;4;23;1;2;0.441814058957;"""4/4""";70;7;0;1;Bbm7b5;B1;line_w
44.4326530612;0.114285714286;4;4;23;1;4;0.441814058957;"""4/4""";68;7;0;1;Bbm7b5;B1;line_w
44.5755102041;0.232653061224;4;2;23;2;1;0.431700680272;"""4/4""";70;7;0;1;Bbm7b5;B1;line_w
44.8244897959;0.183673469388;4;2;23;2;2;0.431700680272;"""4/4""";68;7;0;1;Bbm7b5;B1;line_w
45.0693877551;0.330612244898;4;1;23;3;1;0.461700680272;"""4/4""";67;7;0;1;Bbm7b5;B1;line_w
45.4489795918;0.191836734694;4;2;23;4;1;0.451473922902;"""4/4""";65;7;0;1;Bbm7b5;B1;line_w
45.6857142857;0.208163265306;4;2;23;4;2;0.451473922902;"""4/4""";62;7;0;1;Bbm7b5;B1;line_w
45.9591836735;0.175510204082;4;4;24;1;2;0.412380952381;"""4/4""";64;7;0;1;Eb7;B1;line_w
46.1551020408;0.14693877551;4;4;24;1;4;0.412380952381;"""4/4""";65;7;0;1;Eb7;B1;line_w
46.3591836735;0.216326530612;4;2;24;2;1;0.447097505669;"""4/4""";68;7;0;1;Eb7;B1;line_w
46.6;0.2;4;2;24;2;2;0.447097505669;"""4/4""";70;7;0;1;Eb7;B1;line_w
46.8571428571;0.204081632653;4;2;24;3;2;0.441814058957;"""4/4""";71;7;0;1;Eb7;B1;line_w
47.2326530612;0.828571428571;4;1;24;4;1;0.441678004535;"""4/4""";73;7;0;1;Eb7;B1;lick
48.1020408163;0.248979591837;4;3;25;2;1;0.455442176871;"""4/4""";71;7;0;1;Ab-7;B1;lick
48.3836734694;0.179591836735;4;3;25;2;3;0.455442176871;"""4/4""";68;7;0;1;Ab-7;B1;lick
48.6816326531;0.265306122449;4;2;25;3;2;0.433492063492;"""4/4""";71;7;0;1;G7913;B1;lick
48.987755102;0.30612244898;4;3;25;4;1;0.486462585034;"""4/4""";68;7;0;1;G7913;B1;lick
49.306122449;0.126530612245;4;3;25;4;3;0.486462585034;"""4/4""";63;7;0;1;G7913;B1;lick
49.4857142857;0.216326530612;4;1;26;1;1;0.427596371882;"""4/4""";68;7;0;1;Gb-7;B1;lick
49.8979591837;0.351020408163;4;1;26;2;1;0.422222222222;"""4/4""";68;7;0;1;Gb-7;B1;lick
50.306122449;0.669387755102;4;1;26;3;1;0.430997732426;"""4/4""";63;7;0;1;B7;B1;lick
51.0326530612;0.2;4;2;26;4;2;0.466666666667;"""4/4""";59;7;0;1;B7;B1;lick
51.2367346939;0.0857142857143;4;2;27;1;1;0.447210884354;"""4/4""";62;7;0;1;Ej7;B1;lick
51.3795918367;0.216326530612;4;2;27;1;2;0.447210884354;"""4/4""";63;7;0;1;Ej7;B1;lick
51.6204081633;0.265306122449;4;4;27;2;1;0.431904761905;"""4/4""";59;7;0;1;Ej7;B1;lick
51.9346938776;0.861224489796;4;4;27;2;4;0.431904761905;"""4/4""";56;7;0;1;Ej7;B1;lick
