onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.2;0.265306122449;4;1;0;2;1;0.31589569161;"""4/4""";60;1;1;-1;NC;I1;lick
4.47755102041;0.191836734694;4;3;0;3;1;0.32798185941;"""4/4""";64;1;0;-1;NC;I1;lick
4.71020408163;0.0857142857143;4;3;0;3;3;0.32798185941;"""4/4""";68;1;0;-1;NC;I1;lick
4.84081632653;0.145124716553;4;2;0;4;1;0.334512471655;"""4/4""";70;1;0;-1;NC;I1;lick
5.0;0.121904761905;4;2;0;4;2;0.334512471655;"""4/4""";72;1;0;-1;NC;I1;lick
5.15102040816;0.214784580499;4;1;1;1;1;0.315646258503;"""4/4""";68;1;0;-1;NC;I1;lick
5.51020408163;0.183673469388;4;2;1;2;1;0.304761904762;"""4/4""";68;1;0;1;F-7;A1;lick
5.69387755102;0.087074829932;4;2;1;2;2;0.304761904762;"""4/4""";65;1;0;1;F-7;A1;lick
5.81632653061;0.484716553288;4;1;1;3;1;0.316371882086;"""4/4""";68;1;0;1;F-7;A1;lick
6.3306122449;0.156734693878;4;2;1;4;2;0.325079365079;"""4/4""";68;1;0;1;F-7;A1;lick
6.67755102041;0.220589569161;4;4;2;1;4;0.326757369615;"""4/4""";68;1;0;1;Bb-7;A1;lick
7.04897959184;0.223492063492;4;4;2;3;1;0.307074829932;"""4/4""";68;1;0;1;Bb-7;A1;lick
7.32244897959;0.51664399093;4;4;2;3;4;0.307074829932;"""4/4""";68;1;0;1;Bb-7;A1;lick
7.96734693878;0.0957823129252;4;4;3;1;4;0.332040816327;"""4/4""";67;1;0;1;Eb7;A1;lick
8.07346938776;0.261224489796;4;1;3;2;1;0.328594104308;"""4/4""";68;1;0;1;Eb7;A1;lick
8.37551020408;0.182857142857;4;3;3;3;1;0.332857142857;"""4/4""";65;1;0;1;Eb7;A1;lick
8.60408163265;0.0812698412698;4;3;3;3;3;0.332857142857;"""4/4""";61;1;0;1;Eb7;A1;lick
8.71020408163;0.182857142857;4;1;3;4;1;0.316825396825;"""4/4""";58;1;0;1;Eb7;A1;lick
8.9977324263;0.444081632653;4;1;4;1;1;0.303560090703;"""4/4""";63;1;0;1;Eb7;A1;lick
9.50566893424;0.156734693878;4;2;4;2;2;0.31253968254;"""4/4""";60;1;0;1;Abj7;A1;lick
9.69433106576;0.13641723356;4;4;4;3;2;0.313265306122;"""4/4""";55;1;0;1;Abj7;A1;lick
9.87428571429;0.577596371882;4;4;4;3;4;0.313265306122;"""4/4""";53;1;0;1;Abj7;A1;lick
11.1107482993;0.0638548752834;4;2;5;3;2;0.322290249433;"""4/4""";53;2;1;1;Dbj7;A1;melody
11.2065306122;0.043537414966;4;4;5;4;1;0.308707482993;"""4/4""";55;2;0;1;Dbj7;A1;melody
11.2848979592;0.148027210884;4;4;5;4;2;0.308707482993;"""4/4""";56;2;0;1;Dbj7;A1;melody
11.4416326531;0.130612244898;4;4;5;4;4;0.308707482993;"""4/4""";55;2;0;1;Dbj7;A1;melody
11.6070748299;0.139319727891;4;4;6;1;2;0.307664399093;"""4/4""";53;2;0;1;D-7;A1;melody
11.7841269841;0.365714285714;4;4;6;1;4;0.307664399093;"""4/4""";55;2;0;1;D-7;A1;melody
12.1759637188;0.148027210884;4;4;6;3;2;0.319115646259;"""4/4""";53;2;0;1;G7;A1;melody
12.361723356;0.0812698412698;4;4;6;3;4;0.319115646259;"""4/4""";51;2;0;1;G7;A1;melody
12.4691156463;0.168344671202;4;3;6;4;1;0.302698412698;"""4/4""";55;2;0;1;G7;A1;melody
12.6734693878;0.11029478458;4;3;6;4;3;0.302698412698;"""4/4""";53;2;0;1;G7;A1;melody
12.8285714286;0.122448979592;4;4;7;1;2;0.313310657596;"""4/4""";52;2;0;1;Cj7;A1;melody
12.9836734694;0.159183673469;4;4;7;1;4;0.313310657596;"""4/4""";53;2;0;1;Cj7;A1;melody
13.1512018141;0.107392290249;4;4;7;2;2;0.310045351474;"""4/4""";55;2;0;1;Cj7;A1;melody
13.3137414966;0.0928798185941;4;4;7;2;4;0.310045351474;"""4/4""";59;2;0;1;Cj7;A1;melody
13.4244897959;0.200272108844;4;6;7;3;2;0.313469387755;"""4/4""";62;2;0;1;Cj7;A1;melody
13.6446258503;0.104489795918;4;6;7;3;6;0.313469387755;"""4/4""";59;2;0;1;Cj7;A1;melody
13.7810430839;0.11029478458;4;4;7;4;2;0.316371882086;"""4/4""";60;2;0;1;Cj7;A1;melody
13.9377777778;0.0725623582766;4;4;7;4;4;0.316371882086;"""4/4""";64;2;0;1;Cj7;A1;melody
14.045170068;0.177052154195;4;2;8;1;1;0.319274376417;"""4/4""";67;2;0;1;Cj7;A1;melody
14.2367346939;0.113197278912;4;2;8;1;2;0.319274376417;"""4/4""";71;2;0;1;Cj7;A1;melody
14.3644444444;0.417959183673;4;1;8;2;1;0.313469387755;"""4/4""";72;2;0;1;Cj7;A1;melody
14.8230385488;0.139319727891;4;2;8;3;2;0.316371882086;"""4/4""";69;2;0;1;Cj7;A1;melody
14.9797732426;0.139319727891;4;2;8;4;1;0.319274376417;"""4/4""";72;2;0;1;Cj7;A1;melody
15.1510204082;0.577596371882;4;2;8;4;2;0.319274376417;"""4/4""";67;2;0;1;Cj7;A1;melody
16.7265306122;0.130612244898;4;4;10;1;4;0.322358276644;"""4/4""";67;3;1;1;F-7;B1;melody
17.0285714286;0.0783673469388;4;2;10;2;2;0.32306122449;"""4/4""";74;3;0;1;F-7;B1;melody
17.1265306122;0.316371882086;4;1;10;3;1;0.303605442177;"""4/4""";75;3;0;1;F-7;B1;melody
17.4693877551;0.124807256236;4;1;10;4;1;0.333242630385;"""4/4""";74;3;0;1;F-7;B1;melody
17.7428571429;0.563083900227;4;1;11;1;1;0.321950113379;"""4/4""";74;3;0;1;F-7;B1;melody
20.2612244898;0.185759637188;4;1;13;1;1;0.316870748299;"""4/4""";65;4;1;1;Abj7;B1;void->#4melody
20.6;0.194467120181;4;1;13;2;1;0.313310657596;"""4/4""";65;4;0;1;Abj7;B1;void->#4melody
20.9142857143;0.124807256236;4;4;13;3;2;0.309886621315;"""4/4""";65;4;0;1;Abj7;B1;void->#4melody
21.0775510204;0.0957823129252;4;4;13;3;4;0.309886621315;"""4/4""";67;4;0;1;Abj7;B1;void->#4melody
21.2;0.148027210884;4;2;13;4;1;0.325691609977;"""4/4""";68;4;0;1;Abj7;B1;void->#4melody
21.3959183673;0.165442176871;4;2;13;4;2;0.325691609977;"""4/4""";67;4;0;1;Abj7;B1;void->#4melody
21.7428571429;0.589206349206;4;4;14;1;4;0.333038548753;"""4/4""";67;4;0;1;A-7;B1;void->#4melody
22.3714285714;0.0986848072562;4;4;14;3;4;0.297959183673;"""4/4""";65;4;0;1;D7;B1;void->#4melody
22.493877551;0.139319727891;4;1;14;4;1;0.302448979592;"""4/4""";64;4;0;1;D7;B1;void->#4melody
22.693877551;0.127709750567;4;4;15;1;1;0.323242630385;"""4/4""";62;4;0;1;D7;B1;void->#4melody
22.9632653061;0.0609523809524;4;4;15;1;4;0.323242630385;"""4/4""";63;4;0;1;Gj7;B1;void->#4melody
23.0408163265;0.284444444444;4;1;15;2;1;0.317573696145;"""4/4""";64;4;0;1;Gj7;B1;void->#4melody
23.4;0.145124716553;4;3;15;3;1;0.30283446712;"""4/4""";62;4;0;1;Gj7;B1;void->#4melody
23.587755102;0.153832199546;4;3;15;3;3;0.30283446712;"""4/4""";59;4;0;1;Gj7;B1;void->#4melody
23.7795918367;0.0725623582766;4;3;15;4;2;0.307868480726;"""4/4""";55;4;0;1;Gj7;B1;void->#4melody
23.9020408163;0.0812698412698;4;3;15;4;3;0.307868480726;"""4/4""";52;4;0;1;Gj7;B1;void->#4melody
24.012244898;0.426666666667;4;1;16;1;1;0.312426303855;"""4/4""";55;4;0;1;Gj7;B1;void->#4melody
24.506122449;0.107392290249;4;2;16;2;2;0.323242630385;"""4/4""";52;4;0;1;Gj7;B1;void->#4melody
24.6775510204;0.0957823129252;4;3;16;3;2;0.303514739229;"""4/4""";55;4;0;1;Gj7;B1;void->#4melody
24.8081632653;0.0957823129252;4;3;16;3;3;0.303514739229;"""4/4""";59;4;0;1;Gj7;B1;void->#4melody
24.9673469388;0.165442176871;4;4;16;4;2;0.312448979592;"""4/4""";62;4;0;1;Gj7;B1;void->#4melody
25.1673469388;0.116099773243;4;4;16;4;4;0.312448979592;"""4/4""";60;4;0;1;Gj7;B1;void->#4melody
25.3102040816;0.670476190476;4;2;17;1;2;0.300385487528;"""4/4""";64;4;0;1;A-7;C1;void->#4melody
26.0326530612;0.113197278912;4;2;17;3;2;0.313265306122;"""4/4""";60;4;0;1;A-7;C1;void->#4melody
26.2489795918;0.11029478458;4;3;17;4;2;0.322199546485;"""4/4""";57;4;0;1;A-7;C1;void->#4melody
26.3755102041;0.133514739229;4;3;17;4;3;0.322199546485;"""4/4""";52;4;0;1;A-7;C1;void->#4melody
26.51138322;0.214784580499;4;1;18;1;1;0.31335600907;"""4/4""";57;4;0;1;D7;C1;void->#4melody
26.7813151927;0.185759637188;4;4;18;2;1;0.313401360544;"""4/4""";57;4;0;1;D7;C1;void->#4melody
27.0193197279;0.0957823129252;4;4;18;2;4;0.313401360544;"""4/4""";53;4;0;1;D7;C1;void->#4melody
27.1551020408;0.101587301587;4;3;18;3;2;0.293605442177;"""4/4""";57;4;0;1;D7;C1;void->#4melody
27.2653061224;0.415056689342;4;3;18;3;3;0.293605442177;"""4/4""";58;4;0;1;D7;C1;void->#4melody
27.7768707483;0.432471655329;4;1;19;1;1;0.328526077098;"""4/4""";57;4;0;1;Gj7;C1;void->#4melody
28.2441723356;0.11029478458;4;4;19;2;4;0.286802721088;"""4/4""";55;4;0;1;Gj7;C1;void->#4melody
28.3747845805;0.194467120181;4;1;19;3;1;0.31410430839;"""4/4""";54;4;0;1;Gj7;C1;void->#4melody
28.6571428571;0.113197278912;4;2;19;4;1;0.29798185941;"""4/4""";59;4;0;1;Gj7;C1;void->#4melody
28.8040816327;0.153832199546;4;2;19;4;2;0.29798185941;"""4/4""";62;4;0;1;Gj7;C1;void->#4melody
29.0040816327;0.0580498866213;4;4;20;1;2;0.312448979592;"""4/4""";65;4;0;1;Gj7;C1;void->#4melody
29.0775510204;0.148027210884;4;4;20;1;3;0.312448979592;"""4/4""";67;4;0;1;Gj7;C1;void->#4melody
29.2571428571;0.647256235828;4;1;20;2;1;0.288367346939;"""4/4""";62;4;0;1;Gj7;C1;void->#4melody
30.6039002268;0.0783673469388;4;4;21;2;3;0.295600907029;"""4/4""";64;5;1;1;F#-7;C1;melody
