onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.68979591837;0.224489795918;4;2;1;1;2;0.498866213152;"""4/4""";56;1;1;1;Abj7;A1;lick
5.9306122449;0.24693877551;4;2;1;2;1;0.506394557823;"""4/4""";55;1;0;1;Abj7;A1;lick
6.2306122449;0.216326530612;4;2;1;2;2;0.506394557823;"""4/4""";55;1;0;1;Abj7;A1;lick
6.62448979592;0.2;4;2;1;3;2;0.48820861678;"""4/4""";56;1;0;1;Abj7;A1;lick
6.86326530612;0.279591836735;4;3;1;4;1;0.469591836735;"""4/4""";55;1;0;1;Abj7;A1;lick
7.17142857143;0.673469387755;4;3;1;4;3;0.469591836735;"""4/4""";55;1;0;1;Abj7;A1;lick
8.01836734694;0.314285714286;4;2;2;2;2;0.48074829932;"""4/4""";51;1;0;1;Abj7;A1;lick
8.35918367347;0.691836734694;4;1;2;3;1;0.506485260771;"""4/4""";55;1;0;1;Abj7;A1;lick
10.1204081633;0.687755102041;4;2;3;2;2;0.50798185941;"""4/4""";53;2;1;1;Abo7;A1;lick
10.8979591837;0.289795918367;4;1;3;4;1;0.496757369615;"""4/4""";55;2;0;1;Abo7;A1;lick
11.3102040816;0.483673469388;4;1;4;1;1;0.498004535147;"""4/4""";56;2;0;1;Abo7;A1;lick
11.8306122449;0.15306122449;4;6;4;2;1;0.489070294785;"""4/4""";55;2;0;1;Abo7;A1;lick
11.9887755102;0.0632653061224;4;6;4;2;3;0.489070294785;"""4/4""";56;2;0;1;Abo7;A1;lick
12.0673469388;0.138775510204;4;6;4;2;4;0.489070294785;"""4/4""";55;2;0;1;Abo7;A1;lick
12.2195011338;0.103038548753;4;6;4;2;6;0.489070294785;"""4/4""";53;2;0;1;Abo7;A1;lick
12.3486621315;0.242358276644;4;2;4;3;1;0.498049886621;"""4/4""";52;2;0;1;Abo7;A1;lick
12.6127891156;0.194467120181;4;2;4;3;2;0.498049886621;"""4/4""";53;2;0;1;Abo7;A1;lick
12.8624036281;0.294603174603;4;6;4;4;2;0.478548752834;"""4/4""";55;2;0;1;Abo7;A1;lick
13.1990929705;0.195918367347;4;6;4;4;6;0.478548752834;"""4/4""";56;2;0;1;Abo7;A1;lick
13.4559637188;0.583401360544;4;2;5;1;2;0.489115646259;"""4/4""";61;2;0;1;Bb-7;A1;~lick
14.0654875283;0.161088435374;4;2;5;2;2;0.488140589569;"""4/4""";56;2;0;1;Bb-7;A1;~lick
14.3020408163;0.340816326531;4;1;5;3;1;0.479637188209;"""4/4""";61;2;0;1;Bb-7;A1;~lick
14.6897959184;0.338775510204;4;4;5;4;1;0.488140589569;"""4/4""";61;2;0;1;Bb-7;A1;~lick
15.0959183673;0.842857142857;4;4;5;4;4;0.488140589569;"""4/4""";61;2;0;1;Bb-7;A1;~lick
16.5459183673;0.131632653061;4;2;6;3;2;0.516462585034;"""4/4""";56;3;1;1;Bb-7;A1;lick
16.75;0.231632653061;4;2;6;4;1;0.443492063492;"""4/4""";61;3;0;1;Bb-7;A1;lick
17.0112244898;0.228571428571;4;2;6;4;2;0.443492063492;"""4/4""";63;3;0;1;Bb-7;A1;lick
17.2642857143;0.20306122449;4;2;7;1;1;0.506575963719;"""4/4""";61;3;0;1;Bbm7b5;A1;lick
17.4979591837;0.234693877551;4;2;7;1;2;0.506575963719;"""4/4""";63;3;0;1;Bbm7b5;A1;lick
17.7571428571;0.485714285714;4;1;7;2;1;0.470385487528;"""4/4""";64;3;0;1;Bbm7b5;A1;lick
18.2734693878;0.218367346939;4;4;7;3;2;0.506780045351;"""4/4""";63;3;0;1;Bbm7b5;A1;lick
18.5179138322;0.201723356009;4;4;7;3;4;0.506780045351;"""4/4""";61;3;0;1;Bbm7b5;A1;lick
18.8009070295;0.158185941043;4;3;7;4;2;0.478480725624;"""4/4""";56;3;0;1;Bbm7b5;A1;lick
18.9881179138;0.152380952381;4;3;7;4;3;0.478480725624;"""4/4""";52;3;0;1;Bbm7b5;A1;lick
19.1811337868;0.473106575964;4;1;8;1;1;0.489206349206;"""4/4""";56;3;0;1;Eb79b;A1;lick
19.7064852608;0.227845804989;4;2;8;2;1;0.507755102041;"""4/4""";52;3;0;1;Eb79b;A1;lick
19.9502947846;0.245260770975;4;2;8;2;2;0.507755102041;"""4/4""";61;3;0;1;Eb79b;A1;lick
20.2231292517;0.484716553288;4;1;8;3;1;0.496757369615;"""4/4""";60;3;0;1;Eb79b;A1;lick
20.7702494331;0.224943310658;4;2;8;4;2;0.461201814059;"""4/4""";58;3;0;1;Eb79b;A1;lick
21.1229024943;0.783673469388;4;1;9;1;1;0.480589569161;"""4/4""";63;3;0;1;Abj7;A1;##+lick
21.9326984127;0.130612244898;4;4;9;2;4;0.496757369615;"""4/4""";60;3;0;1;Abj7;A1;##+lick
22.0981405896;0.660317460317;4;1;9;3;1;0.488117913832;"""4/4""";63;3;0;1;Abj7;A1;##+lick
22.8687528345;0.301859410431;4;2;9;4;2;0.498117913832;"""4/4""";63;3;0;1;Abj7;A1;##+lick
23.1938321995;0.268480725624;4;2;10;1;2;0.489070294785;"""4/4""";63;3;0;1;Ab-7;A1;##+lick
23.4985941043;0.512290249433;4;1;10;2;1;0.488299319728;"""4/4""";65;3;0;1;Ab-7;A1;##+lick
24.8497052154;0.223492063492;4;2;10;4;2;0.478526077098;"""4/4""";63;4;1;1;Ab-7;A1;melody
25.23138322;1.29015873016;4;2;11;1;2;0.480589569161;"""4/4""";66;4;0;1;C7911#;A1;melody
26.5476643991;0.255419501134;4;4;11;4;2;0.488253968254;"""4/4""";65;4;0;1;C7911#;A1;melody
26.836462585;0.962176870748;4;4;11;4;4;0.488253968254;"""4/4""";63;4;0;1;C7911#;A1;melody
29.2629478458;0.213333333333;4;2;13;1;2;0.49664399093;"""4/4""";53;5;1;1;Bbm7b5;A1;#3lick
29.5241723356;0.216235827664;4;2;13;2;1;0.498911564626;"""4/4""";58;5;0;1;Bbm7b5;A1;#3lick
29.7679818594;0.220589569161;4;2;13;2;2;0.498911564626;"""4/4""";60;5;0;1;Bbm7b5;A1;#3lick
30.0059863946;0.274285714286;4;2;13;3;1;0.506530612245;"""4/4""";61;5;0;1;Bbm7b5;A1;#3lick
30.3121995465;0.338140589569;4;2;13;3;2;0.506530612245;"""4/4""";63;5;0;1;Bbm7b5;A1;#3lick
30.6953287982;0.226394557823;4;2;13;4;2;0.456734693878;"""4/4""";61;5;0;1;Bbm7b5;A1;#3lick
31.0305668934;0.368616780045;4;1;14;1;1;0.48283446712;"""4/4""";64;5;0;1;Bbm7b5;A1;#3lick
31.4253061224;0.28589569161;4;3;14;2;1;0.488253968254;"""4/4""";63;5;0;1;Bbm7b5;A1;#3lick
31.7532879819;0.798185941043;4;3;14;2;3;0.488253968254;"""4/4""";61;5;0;1;Bbm7b5;A1;#3lick
32.6167800454;0.161088435374;4;2;14;4;2;0.470975056689;"""4/4""";63;5;0;1;Bbm7b5;A1;#3lick
32.8141496599;0.187210884354;4;2;15;1;1;0.478367346939;"""4/4""";61;5;0;1;Bbm7b5;A1;#3lick
33.043446712;0.78947845805;4;2;15;1;2;0.478367346939;"""4/4""";59;5;0;1;Bbm7b5;A1;#3lick
33.9765986395;0.193015873016;4;4;15;3;3;0.479387755102;"""4/4""";65;5;0;1;Bbm7b5;A1;~lick
34.2000907029;0.168344671202;4;4;15;3;4;0.479387755102;"""4/4""";63;5;0;1;Bbm7b5;A1;~lick
34.4380952381;0.21768707483;4;4;15;4;2;0.470929705215;"""4/4""";59;5;0;1;Bbm7b5;A1;~lick
34.6673922902;0.116099773243;4;4;15;4;4;0.470929705215;"""4/4""";53;5;0;1;Bbm7b5;A1;~lick
34.8530612245;0.579591836735;4;1;16;1;1;0.506235827664;"""4/4""";58;5;0;1;Eb79b;A1;~lick
36.217324263;0.166893424036;4;3;16;4;1;0.468775510204;"""4/4""";56;6;1;1;Eb79b;A1;#4-lick
36.419047619;0.103038548753;4;3;16;4;2;0.468775510204;"""4/4""";58;6;0;1;Eb79b;A1;#4-lick
36.5656235828;0.181405895692;4;3;16;4;3;0.468775510204;"""4/4""";56;6;0;1;Eb79b;A1;#4-lick
36.7775056689;0.754648526077;4;1;17;1;1;0.508571428571;"""4/4""";55;6;0;1;Abj7;B1;#4-lick
37.558276644;0.19156462585;4;4;17;2;4;0.478526077098;"""4/4""";55;6;0;1;Abj7;B1;#4-lick
37.786122449;0.563083900227;4;1;17;3;1;0.506598639456;"""4/4""";55;6;0;1;Abj7;B1;#4-lick
38.4040816327;0.338775510204;4;2;17;4;2;0.49485260771;"""4/4""";55;6;0;1;Abj7;B1;#4-lick
38.8092517007;1.33369614512;4;1;18;1;1;0.529818594104;"""4/4""";55;6;0;1;Abj7;B1;#4-lick
40.2440362812;0.0468934240363;4;4;18;4;1;0.488276643991;"""4/4""";63;6;0;1;Abj7;B1;lick
40.297414966;0.04589569161;4;4;18;4;2;0.488276643991;"""4/4""";64;6;0;1;Abj7;B1;lick
40.3607709751;0.138684807256;4;4;18;4;3;0.488276643991;"""4/4""";63;6;0;1;Abj7;B1;lick
40.506122449;0.109183673469;4;4;18;4;4;0.488276643991;"""4/4""";60;6;0;1;Abj7;B1;lick
40.6540816327;0.197959183673;4;2;19;1;1;0.489070294785;"""4/4""";55;6;0;1;Abj7;B1;lick
40.8734693878;0.832653061224;4;2;19;1;2;0.489070294785;"""4/4""";53;6;0;1;Abo7;B1;lick
42.493877551;0.238775510204;4;2;19;4;2;0.470725623583;"""4/4""";53;7;1;1;Abo7;B1;lick
42.7673469388;0.232653061224;4;4;20;1;2;0.50641723356;"""4/4""";55;7;0;1;Abo7;B1;lick
43.0306122449;0.224489795918;4;4;20;1;4;0.50641723356;"""4/4""";56;7;0;1;Abo7;B1;lick
43.287755102;0.179591836735;4;3;20;2;2;0.498004535147;"""4/4""";55;7;0;1;Abo7;B1;lick
43.5020408163;0.120408163265;4;3;20;2;3;0.498004535147;"""4/4""";53;7;0;1;Abo7;B1;lick
43.693877551;0.510204081633;4;1;20;3;1;0.506870748299;"""4/4""";56;7;0;1;Abo7;B1;lick
44.2204081633;0.195918367347;4;2;20;4;1;0.460816326531;"""4/4""";55;7;0;1;Abo7;B1;lick
44.4591836735;0.0938775510204;4;2;20;4;2;0.460816326531;"""4/4""";53;7;0;1;Abo7;B1;lick
44.6612244898;0.381632653061;4;1;21;1;1;0.498004535147;"""4/4""";61;7;0;1;Bb-7;B1;lick
45.112244898;0.397959183673;4;1;21;2;1;0.506780045351;"""4/4""";61;7;0;1;Bb-7;B1;lick
45.6081632653;0.528571428571;4;1;21;3;1;0.498888888889;"""4/4""";61;7;0;1;Bb-7;B1;lick
46.2;0.124489795918;4;2;21;4;1;0.461088435374;"""4/4""";56;7;0;1;Bb-7;B1;lick
46.3653061224;0.165306122449;4;2;21;4;2;0.461088435374;"""4/4""";53;7;0;1;Bb-7;B1;lick
46.5653061224;0.318367346939;4;4;22;1;1;0.468775510204;"""4/4""";61;7;0;1;Bb-7;B1;lick
46.9244897959;0.577551020408;4;4;22;1;4;0.468775510204;"""4/4""";61;7;0;1;Bb-7;B1;lick
48.0540816327;0.133673469388;4;6;22;4;2;0.459909297052;"""4/4""";56;8;1;1;Bb-7;B1;lick
48.1989795918;0.0663265306122;4;6;22;4;4;0.459909297052;"""4/4""";55;8;0;1;Bb-7;B1;lick
48.2846938776;0.0836734693878;4;6;22;4;5;0.459909297052;"""4/4""";54;8;0;1;Bb-7;B1;lick
48.3959183673;0.151020408163;4;6;22;4;6;0.459909297052;"""4/4""";53;8;0;1;Bb-7;B1;lick
