onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.06503401361;0.150929705215;4;3;-7;2;2;0.395941043084;"""4/4""";58;1;1;-1;Eb7;I1;lick
3.21596371882;0.16253968254;4;3;-7;2;3;0.395941043084;"""4/4""";61;1;0;-1;Eb7;I1;lick
3.41333333333;0.359909297052;4;1;-7;3;1;0.396167800454;"""4/4""";63;1;0;-1;Eb7;I1;lick
4.32471655329;0.133514739229;4;3;-6;1;2;0.40589569161;"""4/4""";58;2;1;-1;Eb7;I1;lick
4.48725623583;0.121904761905;4;3;-6;1;3;0.40589569161;"""4/4""";61;2;0;-1;Eb7;I1;lick
4.62077097506;0.0986848072562;4;3;-6;2;1;0.402902494331;"""4/4""";63;2;0;-1;Eb7;I1;lick
4.76009070295;0.087074829932;4;3;-6;2;2;0.402902494331;"""4/4""";66;2;0;-1;Eb7;I1;lick
4.85297052154;0.0928798185941;4;3;-6;2;3;0.402902494331;"""4/4""";64;2;0;-1;Eb7;I1;lick
4.96326530612;0.104489795918;4;4;-6;3;1;0.412154195011;"""4/4""";63;2;0;-1;Eb7;I1;lick
5.09097505669;0.174149659864;4;4;-6;3;2;0.412154195011;"""4/4""";61;2;0;-1;Eb7;I1;lick
5.28253968254;0.11029478458;4;4;-6;3;4;0.412154195011;"""4/4""";58;2;0;-1;Eb7;I1;lick
5.49151927438;0.133514739229;4;1;-6;4;1;0.394739229025;"""4/4""";53;2;0;-1;Eb7;I1;lick
5.7643537415;0.145124716553;4;3;-5;1;1;0.404285714286;"""4/4""";53;2;0;-1;Eb7;I1;lick
5.91528344671;0.487619047619;4;3;-5;1;2;0.404285714286;"""4/4""";50;2;0;-1;Bb7;I1;lick
6.46675736961;0.377324263039;4;2;-5;2;2;0.395691609977;"""4/4""";58;2;0;-1;Bb7;I1;lick
7.73224489796;0.116099773243;4;6;-4;1;6;0.416054421769;"""4/4""";49;3;1;-1;D-7;I1;lick
7.85414965986;0.592108843537;4;1;-4;2;1;0.378163265306;"""4/4""";50;3;0;-1;D-7;I1;lick
8.45714285714;0.685714285714;4;4;-4;3;4;0.399705215419;"""4/4""";56;3;0;-1;G7;I1;lick
9.97297052154;0.0812698412698;4;4;-3;3;3;0.386235827664;"""4/4""";55;4;1;-1;C-7;I1;line_w
10.0658503401;0.0754648526077;4;4;-3;3;4;0.386235827664;"""4/4""";53;4;0;-1;C-7;I1;line_w
10.1819501134;0.0812698412698;4;4;-3;4;2;0.400249433107;"""4/4""";52;4;0;-1;C-7;I1;line_w
10.2980498866;0.0754648526077;4;4;-3;4;3;0.400249433107;"""4/4""";55;4;0;-1;C-7;I1;line_w
10.3909297052;0.0986848072562;4;4;-3;4;4;0.400249433107;"""4/4""";58;4;0;-1;C-7;I1;line_w
10.5070294785;0.0754648526077;4;4;-2;1;1;0.365714285714;"""4/4""";62;4;0;-1;C-7;I1;line_w
10.5941043084;0.0928798185941;4;4;-2;1;2;0.365714285714;"""4/4""";61;4;0;-1;F7;I1;line_w
10.6927891156;0.11029478458;4;4;-2;1;3;0.365714285714;"""4/4""";56;4;0;-1;F7;I1;line_w
10.8263038549;0.0580498866213;4;4;-2;1;4;0.365714285714;"""4/4""";53;4;0;-1;F7;I1;line_w
10.9249886621;0.0638548752834;4;6;-2;2;2;0.378798185941;"""4/4""";51;4;0;-1;F7;I1;line_w
11.0352834467;0.0812698412698;4;6;-2;2;3;0.378798185941;"""4/4""";49;4;0;-1;F7;I1;line_w
11.1510204082;0.0775510204082;4;6;-2;2;5;0.378798185941;"""4/4""";50;4;0;-1;F7;I1;line_w
11.2285714286;0.0775510204082;4;6;-2;2;6;0.378798185941;"""4/4""";53;4;0;-1;F7;I1;line_w
11.3346938776;0.0775510204082;4;4;-2;3;2;0.403718820862;"""4/4""";57;4;0;-1;F7;I1;line_w
11.4204081633;0.608163265306;4;4;-2;3;3;0.403718820862;"""4/4""";60;4;0;-1;F7;I1;line_w
12.6979591837;0.0489795918367;4;4;-1;2;3;0.392290249433;"""4/4""";55;5;1;-1;Bb7;I1;lick
12.7632653061;0.069387755102;4;4;-1;2;4;0.392290249433;"""4/4""";53;5;0;-1;Bb7;I1;lick
12.8448979592;0.10612244898;4;4;-1;3;1;0.409501133787;"""4/4""";51;5;0;-1;Bb7;I1;lick
13.1591836735;0.0979591836735;4;4;-1;3;4;0.409501133787;"""4/4""";53;5;0;-1;Bb7;I1;lick
13.3224489796;0.187755102041;4;1;-1;4;1;0.415419501134;"""4/4""";58;5;0;-1;Bb7;I1;lick
13.7755102041;0.204081632653;4;4;0;1;2;0.396145124717;"""4/4""";51;6;1;-1;C-7;I1;#lick
13.9836734694;0.0775510204082;4;4;0;1;4;0.396145124717;"""4/4""";55;6;0;-1;C-7;I1;#lick
14.1102040816;0.228571428571;4;3;0;2;1;0.41410430839;"""4/4""";58;6;0;-1;C-7;I1;#lick
14.3673469388;0.0857142857143;4;3;0;2;3;0.41410430839;"""4/4""";56;6;0;-1;C-7;I1;#lick
