onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.09832199546;0.139319727891;4;1;0;3;1;0.282811791383;"""4/4""";69;1;1;-1;E7;I1;lick
4.37115646259;0.197369614512;4;1;0;4;1;0.282811791383;"""4/4""";69;1;0;-1;A7;I1;lick
4.690430839;0.429569160998;4;1;1;1;1;0.295464852608;"""4/4""";69;1;0;1;Em7b5;A1;lick
5.28253968254;0.255419501134;4;1;1;3;1;0.295351473923;"""4/4""";69;1;0;1;Em7b5;A1;lick
5.74113378685;0.446984126984;4;2;1;4;2;0.295351473923;"""4/4""";69;1;0;1;Em7b5;A1;lick
6.21714285714;0.11029478458;4;1;2;2;1;0.280022675737;"""4/4""";67;1;0;1;A7;A1;lick
6.42612244898;0.476009070295;4;1;2;3;1;0.287755102041;"""4/4""";69;1;0;1;A7;A1;lick
6.90213151927;0.150929705215;4;2;2;4;2;0.287755102041;"""4/4""";64;1;0;1;A7;A1;~lick
7.05306122449;0.0638548752834;4;4;3;1;2;0.286893424036;"""4/4""";65;1;0;1;Dj7;A1;~lick
7.12272108844;0.0522448979592;4;4;3;1;3;0.286893424036;"""4/4""";66;1;0;1;Dj7;A1;~lick
7.21560090703;0.116099773243;4;4;3;1;4;0.286893424036;"""4/4""";67;1;0;1;Dj7;A1;~lick
7.3433106576;0.156734693878;4;4;3;2;2;0.286893424036;"""4/4""";66;1;0;1;Dj7;A1;~lick
7.5116553288;0.0812698412698;4;4;3;2;4;0.286893424036;"""4/4""";62;1;0;1;Dj7;A1;~lick
7.6335600907;0.290249433107;4;1;3;3;1;0.281541950113;"""4/4""";64;1;0;1;Dj7;A1;~lick
7.92380952381;0.121904761905;4;4;3;4;2;0.281541950113;"""4/4""";62;1;0;1;Dj7;A1;~lick
8.05151927438;0.19156462585;4;4;3;4;4;0.281541950113;"""4/4""";66;1;0;1;Dj7;A1;~lick
8.24308390023;0.638548752834;4;2;4;1;2;0.266258503401;"""4/4""";57;1;0;1;Dj7;A1;~lick
9.65950113379;0.133514739229;4;2;5;2;2;0.281655328798;"""4/4""";67;2;1;1;Em7b5;A1;lick
